timeline,Bandai Namco
31 Mar 2006,$1.41B
28 Apr 2006,$1.43B
30 Jun 2006,$1.52B
31 Jul 2006,$1.44B
31 Aug 2006,$1.61B
29 Sep 2006,$1.62B
30 Nov 2006,$1.53B
29 Dec 2006,$1.52B
28 Feb 2007,$1.53B
30 Mar 2007,$1.6B
30 Apr 2007,$1.7B
31 May 2007,$1.8B
29 Jun 2007,$1.7B
31 Jul 2007,$1.63B
31 Aug 2007,$1.46B
31 Oct 2007,$1.54B
30 Nov 2007,$1.59B
31 Dec 2007,$1.52B
31 Jan 2008,$1.29B
29 Feb 2008,$1.14B
31 Mar 2008,$1.18B
30 Apr 2008,$1.14B
30 May 2008,$1.2B
31 Mar 2009,$2.09B
30 Apr 2009,$2.08B
29 May 2009,$2.14B
30 Jun 2009,$2.26B
31 Aug 2009,$2.1B
30 Sep 2009,$1.96B
30 Oct 2009,$1.99B
30 Nov 2009,$1.83B
31 Dec 2009,$1.89B
29 Jan 2010,$1.92B
26 Feb 2010,$1.75B
31 Mar 2010,$1.94B
30 Apr 2010,$2B
31 May 2010,$1.76B
30 Jun 2010,$1.67B
30 Jul 2010,$1.65B
31 Aug 2010,$1.7B
30 Sep 2010,$1.65B
29 Oct 2010,$1.58B
30 Nov 2010,$1.72B
31 Dec 2010,$1.86B
31 Jan 2011,$1.91B
28 Feb 2011,$2.05B
31 Mar 2011,$1.89B
29 Apr 2011,$1.86B
31 May 2011,$1.95B
30 Jun 2011,$2.01B
29 Jul 2011,$2.03B
