timeline,Central Japan Railway
31 Mar 2006,$20.16B
28 Apr 2006,$20.33B
31 May 2006,$19.47B
30 Jun 2006,$19.81B
31 Jul 2006,$22.07B
29 Sep 2006,$21.9B
30 Nov 2006,$21.72B
29 Dec 2006,$21.55B
31 Jan 2007,$22.42B
28 Feb 2007,$24.68B
30 Mar 2007,$23.29B
30 Apr 2007,$22.95B
31 May 2007,$21.73B
29 Jun 2007,$22.6B
31 Jul 2007,$21.38B
31 Aug 2007,$22.6B
28 Sep 2007,$21.21B
31 Oct 2007,$20.69B
30 Nov 2007,$20.34B
31 Dec 2007,$16.57B
31 Jan 2008,$17.09B
29 Feb 2008,$17.39B
31 Mar 2008,$17.91B
30 Apr 2008,$17.73B
30 May 2008,$17.91B
30 Jun 2008,$20.34B
31 Jul 2008,$19.09B
29 Aug 2008,$19.77B
30 Sep 2008,$17.3B
31 Oct 2008,$13.89B
28 Nov 2008,$14.05B
31 Dec 2008,$13.51B
30 Jan 2009,$11.2B
27 Feb 2009,$10.34B
31 Mar 2009,$9.63B
30 Apr 2009,$10.14B
29 May 2009,$10.61B
30 Jun 2009,$9.83B
31 Jul 2009,$9.46B
31 Aug 2009,$10.43B
30 Sep 2009,$10.69B
30 Oct 2009,$10.01B
30 Nov 2009,$10.36B
31 Dec 2009,$10.31B
29 Jan 2010,$11.01B
26 Feb 2010,$11.15B
31 Mar 2010,$12.38B
30 Apr 2010,$13.34B
31 May 2010,$12.92B
30 Jun 2010,$12.76B
30 Jul 2010,$12.24B
31 Aug 2010,$11.79B
30 Sep 2010,$10.68B
29 Oct 2010,$10.59B
30 Nov 2010,$11.23B
31 Dec 2010,$11.82B
31 Jan 2011,$12.03B
28 Feb 2011,$12.71B
31 Mar 2011,$11.43B
29 Apr 2011,$10.6B
31 May 2011,$11.07B
30 Jun 2011,$10.97B
29 Jul 2011,$11.54B
31 Aug 2011,$10.98B
30 Sep 2011,$11.75B
31 Oct 2011,$11.62B
30 Nov 2011,$10.65B
30 Dec 2011,$11.28B
31 Jan 2012,$11.36B
29 Feb 2012,$11.57B
30 Mar 2012,$11.83B
30 Apr 2012,$11.52B
31 May 2012,$11.07B
29 Jun 2012,$10.38B
31 Jul 2012,$10.74B
31 Aug 2012,$11.28B
28 Sep 2012,$11.36B
31 Oct 2012,$11.37B
30 Nov 2012,$10.81B
31 Dec 2012,$11.59B
31 Jan 2013,$13.25B
28 Feb 2013,$14.92B
29 Mar 2013,$16.42B
30 Apr 2013,$20.39B
31 May 2013,$19.43B
28 Jun 2013,$21.05B
31 Jul 2013,$20.86B
30 Aug 2013,$19.54B
30 Sep 2013,$21.83B
31 Oct 2013,$22.04B
29 Nov 2013,$21.38B
31 Dec 2013,$21.48B
31 Jan 2014,$19.64B
28 Feb 2014,$20.53B
31 Mar 2014,$20.92B
30 Apr 2014,$21.76B
30 May 2014,$23.39B
30 Jun 2014,$25.07B
31 Jul 2014,$25.59B
29 Aug 2014,$25.3B
30 Sep 2014,$25.7B
31 Oct 2014,$28.64B
28 Nov 2014,$29.97B
31 Dec 2014,$31.47B
30 Jan 2015,$35.26B
27 Feb 2015,$38.6B
31 Mar 2015,$37.73B
30 Apr 2015,$37.23B
29 May 2015,$37.52B
30 Jun 2015,$38.35B
31 Jul 2015,$37.69B
31 Aug 2015,$34.5B
30 Sep 2015,$33.36B
30 Oct 2015,$38.52B
30 Nov 2015,$38.14B
31 Dec 2015,$37.48B
