timeline,East Japan Railway
31 Jan 2001,$21.05B
28 Feb 2001,$23.24B
30 Mar 2001,$23.73B
30 Apr 2001,$24.26B
31 May 2001,$24.93B
29 Jun 2001,$25.39B
31 Jul 2001,$23.59B
31 Aug 2001,$24.76B
28 Sep 2001,$23.87B
31 Oct 2001,$25.14B
30 Nov 2001,$22.82B
31 Dec 2001,$22.32B
31 Jan 2002,$20.45B
28 Feb 2002,$17.99B
29 Mar 2002,$19.36B
30 Apr 2002,$19.15B
31 May 2002,$20.49B
28 Jun 2002,$19.78B
31 Jul 2002,$19.75B
30 Aug 2002,$20.1B
30 Sep 2002,$20.03B
31 Oct 2002,$19.68B
29 Nov 2002,$20.38B
31 Dec 2002,$20.77B
31 Jan 2003,$19.43B
28 Feb 2003,$19.22B
31 Mar 2003,$18.26B
30 Apr 2003,$19.04B
30 May 2003,$20.27B
30 Jun 2003,$18.83B
31 Jul 2003,$18.65B
29 Aug 2003,$17.38B
30 Sep 2003,$19.07B
31 Oct 2003,$17.56B
28 Nov 2003,$17.63B
31 Dec 2003,$17.81B
30 Jan 2004,$18.58B
27 Feb 2004,$17.98B
31 Mar 2004,$19.29B
30 Apr 2004,$19.89B
31 May 2004,$20.2B
30 Jun 2004,$21.58B
30 Jul 2004,$21.4B
31 Aug 2004,$21.65B
30 Sep 2004,$20.1B
29 Oct 2004,$19.64B
30 Nov 2004,$19.96B
31 Dec 2004,$20.1B
31 Jan 2005,$19.71B
28 Feb 2005,$19.64B
31 Mar 2005,$20.29B
29 Apr 2005,$19.24B
31 May 2005,$18.99B
30 Jun 2005,$20.08B
29 Jul 2005,$19.45B
31 Aug 2005,$20.96B
30 Sep 2005,$22.83B
31 Oct 2005,$24.31B
30 Nov 2005,$26.57B
30 Dec 2005,$28.57B
31 Jan 2006,$28.71B
28 Feb 2006,$29.17B
31 Mar 2006,$30.72B
28 Apr 2006,$31.32B
31 May 2006,$28.22B
30 Jun 2006,$29.95B
31 Jul 2006,$30.05B
31 Aug 2006,$30.55B
29 Sep 2006,$29.1B
31 Oct 2006,$28.82B
30 Nov 2006,$28.61B
29 Dec 2006,$28.01B
31 Jan 2007,$29.49B
28 Feb 2007,$31.99B
30 Mar 2007,$32.34B
30 Apr 2007,$34.28B
31 May 2007,$33.12B
29 Jun 2007,$33.47B
31 Jul 2007,$31.14B
31 Aug 2007,$32.52B
28 Sep 2007,$31.92B
31 Oct 2007,$33.36B
30 Nov 2007,$32.34B
31 Dec 2007,$32.48B
31 Jan 2008,$30.97B
29 Feb 2008,$29.56B
31 Mar 2008,$29.21B
30 May 2008,$28.68B
30 Jun 2008,$30.48B
31 Jul 2008,$29.81B
29 Aug 2008,$30.65B
30 Sep 2008,$27.69B
31 Oct 2008,$24.42B
28 Nov 2008,$25.9B
31 Dec 2008,$24.27B
30 Jan 2009,$21.67B
27 Feb 2009,$20.61B
31 Mar 2009,$18.07B
30 Apr 2009,$19.59B
29 May 2009,$20.01B
30 Jun 2009,$20.47B
31 Jul 2009,$19.13B
31 Aug 2009,$21.42B
30 Sep 2009,$22.76B
30 Oct 2009,$20.47B
30 Nov 2009,$21.49B
31 Dec 2009,$20.68B
29 Jan 2010,$21.38B
26 Feb 2010,$21.56B
31 Mar 2010,$22.9B
30 Apr 2010,$22.19B
31 May 2010,$20.71B
30 Jun 2010,$20.89B
30 Jul 2010,$19.62B
31 Aug 2010,$19.16B
30 Sep 2010,$17.75B
29 Oct 2010,$17.53B
30 Nov 2010,$17.61B
31 Dec 2010,$18.6B
31 Jan 2011,$19.09B
28 Feb 2011,$20.04B
31 Mar 2011,$16.13B
29 Apr 2011,$15.61B
31 May 2011,$16.53B
30 Jun 2011,$16.04B
29 Jul 2011,$16.88B
31 Aug 2011,$15.96B
30 Sep 2011,$16.43B
31 Oct 2011,$16.62B
30 Nov 2011,$16.37B
30 Dec 2011,$17.09B
31 Jan 2012,$17.21B
29 Feb 2012,$18.17B
30 Apr 2012,$17.37B
31 May 2012,$16.27B
29 Jun 2012,$17.44B
31 Jul 2012,$17.58B
31 Aug 2012,$18.27B
28 Sep 2012,$18.03B
31 Oct 2012,$19.11B
30 Nov 2012,$18.68B
31 Dec 2012,$19.23B
31 Jan 2013,$21.29B
28 Feb 2013,$23.57B
29 Mar 2013,$26.6B
30 Apr 2013,$28.65B
31 May 2013,$26.42B
28 Jun 2013,$26.88B
31 Jul 2013,$27.5B
30 Aug 2013,$26.22B
30 Sep 2013,$29.35B
31 Oct 2013,$29.59B
29 Nov 2013,$29.17B
31 Dec 2013,$29.14B
31 Jan 2014,$26.54B
28 Feb 2014,$27.62B
31 Mar 2014,$26.45B
30 Apr 2014,$25.91B
30 May 2014,$27B
30 Jun 2014,$27.74B
31 Jul 2014,$28.93B
29 Aug 2014,$28.1B
30 Sep 2014,$28.47B
31 Oct 2014,$29.94B
28 Nov 2014,$30.82B
31 Dec 2014,$31.6B
30 Jan 2015,$31.62B
27 Feb 2015,$34.76B
31 Mar 2015,$33.39B
30 Apr 2015,$36.7B
29 May 2015,$39.36B
30 Jun 2015,$38.13B
31 Jul 2015,$42.43B
31 Aug 2015,$38.71B
30 Sep 2015,$34.74B
30 Oct 2015,$39.97B
30 Nov 2015,$40.14B
31 Dec 2015,$39.56B
29 Jan 2016,$37.97B
29 Feb 2016,$34.26B
31 Mar 2016,$33.55B
29 Apr 2016,$33.94B
31 May 2016,$35.01B
30 Jun 2016,$32.59B
29 Jul 2016,$32.77B
31 Aug 2016,$30.37B
30 Sep 2016,$31.12B
31 Oct 2016,$31.73B
30 Nov 2016,$33.47B
30 Dec 2016,$34.62B
31 Jan 2017,$35.06B
28 Feb 2017,$34.8B
31 Mar 2017,$33.22B
28 Apr 2017,$34.12B
31 May 2017,$36.38B
30 Jun 2017,$36.57B
31 Jul 2017,$35.16B
31 Aug 2017,$33.99B
29 Sep 2017,$35B
31 Oct 2017,$37.27B
30 Nov 2017,$36.91B
29 Dec 2017,$37.35B
31 Jan 2018,$36.84B
28 Feb 2018,$34.18B
30 Mar 2018,$33.5B
30 Apr 2018,$35.64B
31 May 2018,$36.32B
29 Jun 2018,$35.85B
31 Jul 2018,$35.11B
31 Aug 2018,$33.82B
28 Sep 2018,$35.5B
31 Oct 2018,$33.21B
30 Nov 2018,$34.71B
31 Dec 2018,$32.66B
31 Jan 2019,$33.9B
28 Feb 2019,$35.85B
29 Mar 2019,$35.92B
30 Apr 2019,$35.2B
31 May 2019,$34.55B
28 Jun 2019,$33.78B
31 Jul 2019,$33.31B
30 Aug 2019,$33.44B
30 Sep 2019,$34.08B
31 Oct 2019,$32.56B
29 Nov 2019,$33.29B
31 Dec 2019,$32.48B
31 Jan 2020,$31.96B
28 Feb 2020,$27.41B
31 Mar 2020,$27.19B
30 Apr 2020,$26.18B
29 May 2020,$28.1B
30 Jun 2020,$24.86B
6 Aug 2020,$20.38B
13 Aug 2020,$22.54B
19 Aug 2020,$22.04B
31 Aug 2020,$22.94B
2 Sep 2020,$22.59B
16 Sep 2020,$22.95B
30 Sep 2020,$21.55B
8 Oct 2020,$21.45B
22 Oct 2020,$19.06B
30 Oct 2020,$18.15B
5 Nov 2020,$18.83B
12 Nov 2020,$21.12B
19 Nov 2020,$21.81B
3 Dec 2020,$23.24B
10 Dec 2020,$22.98B
17 Dec 2020,$22.2B
24 Dec 2020,$22.05B
31 Dec 2020,$22.9B
8 Jan 2021,$21.95B
29 Jan 2021,$22.92B
5 Feb 2021,$24.4B
18 Feb 2021,$25.39B
26 Feb 2021,$26.13B
5 Mar 2021,$26.59B
24 Mar 2021,$25.9B
31 Mar 2021,$26.07B
9 Apr 2021,$24.78B
15 Apr 2021,$25.16B
30 Apr 2021,$24.87B
12 May 2021,$24.59B
21 May 2021,$24.83B
31 May 2021,$25.44B
4 Jun 2021,$27.53B
11 Jun 2021,$27.81B
30 Jun 2021,$26.36B
12 Jul 2021,$26.94B
21 Jul 2021,$24.84B
30 Jul 2021,$25.09B
6 Aug 2021,$24.08B
13 Aug 2021,$24.85B
20 Aug 2021,$24.58B
27 Aug 2021,$25.66B
10 Sep 2021,$24.35B
17 Sep 2021,$23.88B
24 Sep 2021,$24.38B
2 Oct 2021,$25.93B
9 Oct 2021,$24.62B
23 Oct 2021,$24.08B
30 Oct 2021,$23.53B
6 Nov 2021,$23.84B
13 Nov 2021,$23.6B
20 Nov 2021,$23.15B
4 Dec 2021,$23.97B
9 Dec 2021,$23.78B
