timeline,Fast Retailing
30 Sep 2009,$12.92B
30 Oct 2009,$15.22B
30 Nov 2009,$18.81B
29 Jan 2010,$17.51B
26 Feb 2010,$16.44B
31 Mar 2010,$18.93B
30 Apr 2010,$15.78B
31 May 2010,$14.25B
30 Jun 2010,$14.35B
30 Jul 2010,$15.06B
31 Aug 2010,$14.76B
30 Sep 2010,$14.45B
29 Oct 2010,$13.38B
30 Nov 2010,$16.29B
31 Jan 2011,$15.55B
28 Feb 2011,$15.88B
31 Mar 2011,$13.06B
29 Apr 2011,$15.27B
31 May 2011,$14.76B
30 Jun 2011,$16.49B
31 Aug 2011,$18.79B
31 Oct 2011,$18.63B
30 Nov 2011,$16.39B
30 Dec 2011,$18.07B
31 Jan 2012,$19.65B
29 Feb 2012,$21.33B
30 Mar 2012,$21.76B
30 Apr 2012,$22.44B
31 May 2012,$22.53B
29 Jun 2012,$20.37B
31 Jul 2012,$21.05B
31 Aug 2012,$23.69B
28 Sep 2012,$23.81B
31 Oct 2012,$22.73B
30 Nov 2012,$23.2B
31 Dec 2012,$25.87B
31 Jan 2013,$26.93B
28 Feb 2013,$28.05B
29 Mar 2013,$33.15B
30 Apr 2013,$37.16B
31 May 2013,$35.16B
28 Jun 2013,$34.59B
31 Jul 2013,$34.86B
30 Aug 2013,$33.04B
30 Sep 2013,$38.37B
31 Oct 2013,$33.97B
29 Nov 2013,$38.63B
31 Dec 2013,$42.14B
31 Jan 2014,$37.78B
28 Feb 2014,$34.97B
31 Mar 2014,$37.06B
30 Apr 2014,$31.56B
30 May 2014,$33.64B
30 Jun 2014,$33.49B
31 Jul 2014,$34.08B
29 Aug 2014,$31.98B
30 Sep 2014,$34.19B
31 Oct 2014,$37.67B
28 Nov 2014,$37.36B
31 Dec 2014,$37.57B
30 Jan 2015,$37.93B
27 Feb 2015,$39.55B
31 Mar 2015,$39.48B
30 Apr 2015,$40.51B
29 May 2015,$42.22B
30 Jun 2015,$46.15B
31 Jul 2015,$50.4B
31 Aug 2015,$41.42B
30 Sep 2015,$41.22B
30 Oct 2015,$37.38B
30 Nov 2015,$41.3B
31 Dec 2015,$36.07B
29 Jan 2016,$32.94B
29 Feb 2016,$28.08B
31 Mar 2016,$32.67B
29 Apr 2016,$27.52B
31 May 2016,$27.49B
30 Jun 2016,$27.07B
29 Jul 2016,$32.51B
31 Aug 2016,$36.01B
30 Sep 2016,$32.53B
31 Oct 2016,$34.57B
30 Nov 2016,$35.86B
30 Dec 2016,$36.67B
31 Jan 2017,$31.91B
28 Feb 2017,$32.09B
31 Mar 2017,$31.85B
28 Apr 2017,$33.32B
31 May 2017,$34.13B
30 Jun 2017,$34.06B
31 Jul 2017,$30.56B
31 Aug 2017,$29.05B
29 Sep 2017,$30.09B
