timeline,Fujifilm
31 Jan 2001,$21.05B
28 Feb 2001,$19.28B
30 Mar 2001,$21.05B
30 Apr 2001,$22.59B
31 May 2001,$22.73B
29 Jun 2001,$24.41B
31 Jul 2001,$22.41B
31 Aug 2001,$20.05B
28 Sep 2001,$17.65B
31 Oct 2001,$18.33B
30 Nov 2001,$19.24B
31 Dec 2001,$21.23B
31 Jan 2002,$19.06B
28 Feb 2002,$19.15B
29 Mar 2002,$18.91B
30 Apr 2002,$18.51B
31 May 2002,$17.69B
28 Jun 2002,$17.55B
31 Jul 2002,$16.83B
30 Aug 2002,$16.42B
30 Sep 2002,$16.47B
31 Oct 2002,$15.33B
29 Nov 2002,$18.05B
31 Dec 2002,$17.55B
31 Jan 2003,$16.37B
28 Feb 2003,$17.01B
31 Mar 2003,$16.47B
30 Apr 2003,$13.76B
30 May 2003,$14.98B
30 Jun 2003,$15.7B
31 Jul 2003,$16.25B
29 Aug 2003,$15.84B
30 Sep 2003,$14.84B
31 Oct 2003,$14.66B
28 Nov 2003,$14.03B
31 Dec 2003,$15.66B
30 Jan 2004,$16.25B
27 Feb 2004,$15.43B
31 Mar 2004,$14.98B
30 Apr 2004,$16.06B
31 May 2004,$15.2B
30 Jun 2004,$15.47B
30 Jul 2004,$15.11B
31 Aug 2004,$15.56B
30 Sep 2004,$16.38B
31 Dec 2004,$16.92B
31 Jan 2005,$16.83B
28 Feb 2005,$17.87B
31 Mar 2005,$17.79B
29 Apr 2005,$15.74B
31 May 2005,$15.34B
30 Jun 2005,$16.2B
29 Jul 2005,$15.83B
31 Aug 2005,$16.15B
30 Sep 2005,$16.97B
31 Oct 2005,$16.65B
30 Nov 2005,$17.42B
30 Dec 2005,$17.69B
31 Jan 2006,$18.24B
28 Feb 2006,$17.01B
31 Mar 2006,$17.83B
28 Apr 2006,$17.56B
31 May 2006,$16.65B
30 Jun 2006,$17.42B
31 Jul 2006,$17.51B
31 Aug 2006,$19.51B
29 Sep 2006,$19.55B
31 Oct 2006,$19.69B
30 Nov 2006,$20.92B
29 Dec 2006,$22.19B
31 Jan 2007,$22.59B
28 Feb 2007,$23.09B
30 Mar 2007,$21.87B
30 Apr 2007,$22.59B
31 May 2007,$22.87B
29 Jun 2007,$25B
31 Jul 2007,$23.55B
31 Aug 2007,$22.87B
28 Sep 2007,$24.09B
31 Oct 2007,$24.95B
30 Nov 2007,$22.23B
31 Dec 2007,$21.46B
31 Jan 2008,$18.87B
29 Feb 2008,$18.01B
31 Mar 2008,$16.02B
