timeline,Hoya
31 Mar 2009,$7.19B
30 Apr 2009,$6.35B
29 May 2009,$7.18B
30 Jun 2009,$7B
31 Jul 2009,$8.27B
31 Aug 2009,$7.7B
30 Sep 2009,$7.9B
30 Oct 2009,$7.48B
30 Nov 2009,$8.33B
31 Dec 2009,$9.02B
29 Jan 2010,$9.43B
26 Feb 2010,$8.99B
31 Mar 2010,$10.07B
30 Apr 2010,$10.23B
31 May 2010,$9.32B
30 Jun 2010,$8.62B
30 Jul 2010,$8.86B
31 Aug 2010,$8.46B
30 Sep 2010,$8.71B
29 Oct 2010,$8.17B
30 Nov 2010,$8.74B
31 Dec 2010,$8.89B
31 Jan 2011,$8.48B
28 Feb 2011,$8.51B
31 Mar 2011,$7.87B
29 Apr 2011,$6.97B
31 May 2011,$7.07B
30 Jun 2011,$7.4B
29 Jul 2011,$8.19B
31 Aug 2011,$7.38B
30 Sep 2011,$8.43B
31 Oct 2011,$7.91B
30 Nov 2011,$7.59B
30 Dec 2011,$8.03B
31 Jan 2012,$7.84B
29 Feb 2012,$8.49B
30 Mar 2012,$8.26B
30 Apr 2012,$8.42B
31 May 2012,$8.37B
29 Jun 2012,$8.62B
31 Jul 2012,$8.88B
31 Aug 2012,$8.76B
28 Sep 2012,$8.33B
31 Oct 2012,$7.62B
30 Nov 2012,$7.23B
31 Dec 2012,$7.24B
31 Jan 2013,$6.96B
28 Feb 2013,$7.13B
29 Mar 2013,$7.07B
30 Apr 2013,$7.47B
31 May 2013,$7.62B
28 Jun 2013,$7.78B
31 Jul 2013,$7.92B
30 Aug 2013,$7.84B
30 Sep 2013,$8.56B
31 Oct 2013,$8.48B
29 Nov 2013,$9.7B
31 Dec 2013,$9.83B
31 Jan 2014,$9.94B
28 Feb 2014,$10.5B
31 Mar 2014,$11.08B
30 Apr 2014,$10.38B
30 May 2014,$11.11B
30 Jun 2014,$11.95B
31 Jul 2014,$12.02B
29 Aug 2014,$12.08B
30 Sep 2014,$12.67B
31 Oct 2014,$13.55B
28 Nov 2014,$13.72B
31 Dec 2014,$13.49B
30 Jan 2015,$16.38B
27 Feb 2015,$17.23B
31 Mar 2015,$17.74B
30 Apr 2015,$16.8B
29 May 2015,$16.21B
30 Jun 2015,$17.07B
31 Jul 2015,$18.5B
31 Aug 2015,$16.73B
30 Sep 2015,$13.54B
30 Oct 2015,$17.69B
30 Nov 2015,$17.96B
31 Dec 2015,$17.7B
29 Jan 2016,$16.56B
29 Feb 2016,$15.37B
31 Mar 2016,$15.05B
29 Apr 2016,$15.55B
31 May 2016,$14.16B
30 Jun 2016,$14.23B
29 Jul 2016,$14.17B
31 Aug 2016,$15.65B
30 Sep 2016,$15.64B
31 Oct 2016,$16.79B
30 Nov 2016,$16.19B
30 Dec 2016,$17.22B
31 Jan 2017,$17.43B
28 Feb 2017,$18.36B
31 Mar 2017,$19.64B
28 Apr 2017,$19.3B
30 Jun 2017,$19.95B
31 Jul 2017,$21.03B
31 Aug 2017,$20.96B
29 Sep 2017,$20.05B
31 Oct 2017,$20.24B
30 Nov 2017,$17.81B
29 Dec 2017,$18.12B
31 Jan 2018,$17.68B
28 Feb 2018,$18.49B
30 Mar 2018,$17.35B
30 Apr 2018,$19B
31 May 2018,$21.87B
29 Jun 2018,$21.12B
31 Jul 2018,$22.09B
31 Aug 2018,$21.5B
28 Sep 2018,$21.92B
31 Oct 2018,$21.43B
30 Nov 2018,$22.88B
31 Dec 2018,$22.46B
31 Jan 2019,$21.56B
28 Feb 2019,$23.11B
29 Mar 2019,$25.21B
30 Apr 2019,$26.84B
31 May 2019,$26.56B
28 Jun 2019,$28.82B
31 Jul 2019,$29.54B
30 Aug 2019,$31.32B
30 Sep 2019,$31.79B
31 Oct 2019,$33.7B
29 Nov 2019,$35.27B
31 Dec 2019,$36.39B
31 Jan 2020,$37.48B
28 Feb 2020,$33.84B
31 Mar 2020,$32.68B
30 Apr 2020,$36B
29 May 2020,$35.87B
30 Jun 2020,$35.64B
10 Jul 2020,$37.28B
16 Jul 2020,$36.3B
31 Jul 2020,$35.24B
6 Aug 2020,$35.13B
14 Aug 2020,$35.74B
31 Aug 2020,$34.81B
10 Sep 2020,$35.35B
24 Sep 2020,$40.66B
30 Sep 2020,$40.19B
7 Oct 2020,$41.33B
15 Oct 2020,$41.65B
30 Oct 2020,$40.63B
6 Nov 2020,$42.79B
13 Nov 2020,$42.91B
20 Nov 2020,$43.07B
27 Nov 2020,$48.1B
30 Nov 2020,$47.23B
4 Dec 2020,$43.43B
18 Dec 2020,$46.49B
23 Dec 2020,$46.86B
31 Dec 2020,$47.31B
15 Jan 2021,$46.62B
22 Jan 2021,$45.5B
29 Jan 2021,$44.62B
4 Feb 2021,$42.55B
11 Feb 2021,$43.48B
19 Feb 2021,$43.8B
26 Feb 2021,$39.28B
10 Mar 2021,$38.6B
17 Mar 2021,$40.56B
23 Mar 2021,$40.79B
31 Mar 2021,$42.05B
9 Apr 2021,$43.99B
16 Apr 2021,$43.91B
21 Apr 2021,$41.79B
30 Apr 2021,$39.27B
5 May 2021,$39.47B
11 May 2021,$40.13B
20 May 2021,$44.56B
28 May 2021,$45.13B
31 May 2021,$44.61B
4 Jun 2021,$43.16B
10 Jun 2021,$42.5B
30 Jun 2021,$46.24B
12 Jul 2021,$47.43B
16 Jul 2021,$46.37B
21 Jul 2021,$47.02B
30 Jul 2021,$51.72B
6 Aug 2021,$55.3B
13 Aug 2021,$57.12B
20 Aug 2021,$55.3B
27 Aug 2021,$56.85B
3 Sep 2021,$60.49B
10 Sep 2021,$61.5B
17 Sep 2021,$61.2B
24 Sep 2021,$61.24B
2 Oct 2021,$55.48B
9 Oct 2021,$54.33B
16 Oct 2021,$55.43B
23 Oct 2021,$55.18B
30 Oct 2021,$53.43B
6 Nov 2021,$57.63B
13 Nov 2021,$57.78B
20 Nov 2021,$60.07B
27 Nov 2021,$58.3B
4 Dec 2021,$58.75B
9 Dec 2021,$59.47B
