timeline,Itōchū Shōji
31 Dec 2009,$11.58B
30 Sep 2010,$14.42B
29 Oct 2010,$13.66B
30 Nov 2010,$14.56B
31 Dec 2010,$15.94B
31 Jan 2011,$17.17B
28 Feb 2011,$16.38B
31 Mar 2011,$16.55B
29 Apr 2011,$16.26B
31 May 2011,$16.37B
30 Jun 2011,$16.31B
29 Jul 2011,$18.09B
31 Aug 2011,$16.77B
30 Sep 2011,$15.4B
31 Oct 2011,$16.42B
30 Nov 2011,$15.46B
30 Dec 2011,$15.91B
31 Jan 2012,$17.15B
29 Feb 2012,$18.16B
30 Mar 2012,$17.34B
30 Apr 2012,$17.81B
31 May 2012,$17.17B
29 Jun 2012,$16.57B
31 Jul 2012,$16.61B
31 Aug 2012,$16.02B
28 Sep 2012,$16.15B
31 Oct 2012,$15.89B
31 Dec 2012,$16.67B
31 Jan 2013,$17.94B
28 Feb 2013,$18.32B
29 Mar 2013,$18.98B
30 Apr 2013,$19.46B
31 May 2013,$20.02B
28 Jun 2013,$18.37B
31 Jul 2013,$18.8B
30 Aug 2013,$17.91B
30 Sep 2013,$19.42B
31 Oct 2013,$18.9B
29 Nov 2013,$19.95B
31 Dec 2013,$19.56B
31 Jan 2014,$19.45B
28 Feb 2014,$19.56B
31 Mar 2014,$18.57B
30 Apr 2014,$17.67B
30 May 2014,$18.74B
30 Jun 2014,$20.27B
31 Jul 2014,$20.39B
29 Aug 2014,$20.15B
30 Sep 2014,$20.31B
31 Oct 2014,$20.29B
28 Nov 2014,$19.22B
31 Dec 2014,$17.93B
30 Jan 2015,$16.83B
27 Feb 2015,$18.61B
31 Mar 2015,$17.14B
30 Apr 2015,$19.66B
29 May 2015,$21.44B
30 Jun 2015,$20.83B
31 Jul 2015,$19.37B
31 Aug 2015,$18.98B
30 Sep 2015,$16.58B
30 Oct 2015,$19.9B
30 Nov 2015,$19.32B
31 Dec 2015,$18.92B
29 Jan 2016,$18.58B
29 Feb 2016,$18.48B
31 Mar 2016,$19.48B
29 Apr 2016,$20.68B
31 May 2016,$19.83B
30 Jun 2016,$19.07B
29 Jul 2016,$17.69B
31 Aug 2016,$18.77B
30 Sep 2016,$19.72B
31 Oct 2016,$20.09B
30 Nov 2016,$21.96B
30 Dec 2016,$21.11B
31 Jan 2017,$21.62B
28 Feb 2017,$22.81B
31 Mar 2017,$22.15B
28 Apr 2017,$22.2B
31 May 2017,$22.24B
30 Jun 2017,$23.35B
31 Jul 2017,$24.78B
31 Aug 2017,$25.47B
29 Sep 2017,$25.68B
31 Oct 2017,$27.43B
30 Nov 2017,$27.22B
29 Dec 2017,$29.19B
31 Jan 2018,$30.83B
28 Feb 2018,$30.13B
30 Mar 2018,$30.41B
30 Apr 2018,$31.19B
31 May 2018,$29.17B
29 Jun 2018,$28.16B
31 Jul 2018,$27.65B
31 Aug 2018,$27.14B
28 Sep 2018,$28.44B
31 Oct 2018,$28.72B
30 Nov 2018,$26.17B
31 Dec 2018,$26.03B
31 Jan 2019,$28.09B
28 Feb 2019,$27.64B
29 Mar 2019,$27.75B
30 Apr 2019,$27.14B
31 May 2019,$27.38B
28 Jun 2019,$28.64B
31 Jul 2019,$28.62B
30 Aug 2019,$29.7B
30 Sep 2019,$30.85B
31 Oct 2019,$31.15B
11 Nov 2019,$32.39B
29 Nov 2019,$32.54B
31 Dec 2019,$34.74B
31 Jan 2020,$35.19B
27 Feb 2020,$34.39B
28 Feb 2020,$33.5B
5 Mar 2020,$33.72B
31 Mar 2020,$30.92B
30 Apr 2020,$29.75B
29 May 2020,$32.03B
2 Jul 2020,$32.05B
22 Jul 2020,$33.31B
31 Jul 2020,$32.74B
5 Aug 2020,$34.13B
12 Aug 2020,$35.77B
19 Aug 2020,$36.91B
25 Aug 2020,$37.19B
4 Sep 2020,$39.35B
16 Sep 2020,$38.47B
24 Sep 2020,$39.06B
30 Sep 2020,$37.87B
8 Oct 2020,$37.74B
16 Oct 2020,$36.94B
22 Oct 2020,$35.98B
30 Oct 2020,$35.63B
6 Nov 2020,$36.9B
12 Nov 2020,$38.33B
19 Nov 2020,$39.41B
25 Nov 2020,$40.31B
30 Nov 2020,$39.47B
1 Dec 2020,$39.98B
7 Dec 2020,$41.46B
14 Dec 2020,$41.99B
24 Dec 2020,$41.62B
