timeline,Japan Post Bank
30 Nov 2015,$57.52B
31 Dec 2015,$57.85B
29 Jan 2016,$48.66B
29 Feb 2016,$40.46B
31 Mar 2016,$45.78B
29 Apr 2016,$44.46B
31 May 2016,$43.83B
30 Jun 2016,$39.63B
29 Jul 2016,$41.72B
31 Aug 2016,$40.2B
30 Sep 2016,$39.5B
31 Oct 2016,$40.92B
30 Nov 2016,$44.59B
30 Dec 2016,$46.37B
31 Jan 2017,$45.45B
28 Feb 2017,$46.54B
31 Mar 2017,$45.65B
28 Apr 2017,$45.85B
31 May 2017,$45.42B
30 Jun 2017,$47.53B
31 Jul 2017,$46.87B
31 Aug 2017,$46.28B
29 Sep 2017,$45.94B
31 Oct 2017,$47.3B
30 Nov 2017,$47.16B
29 Dec 2017,$48.49B
31 Jan 2018,$48.69B
28 Feb 2018,$48.45B
30 Mar 2018,$47.2B
30 Apr 2018,$49.18B
31 May 2018,$44.98B
29 Jun 2018,$42.64B
31 Jul 2018,$44.32B
31 Aug 2018,$42.9B
28 Sep 2018,$44.39B
31 Oct 2018,$43.53B
30 Nov 2018,$43.82B
31 Dec 2018,$39.99B
31 Jan 2019,$41.87B
28 Feb 2019,$41.08B
29 Mar 2019,$39.96B
30 Apr 2019,$40.42B
31 May 2019,$36.75B
28 Jun 2019,$36.16B
31 Jul 2019,$34.97B
30 Aug 2019,$31.99B
30 Sep 2019,$34.6B
31 Oct 2019,$35.76B
29 Nov 2019,$35.03B
31 Dec 2019,$34.7B
31 Jan 2020,$33.58B
27 Feb 2020,$32.46B
28 Feb 2020,$31.86B
1 Apr 2020,$31.63B
30 Apr 2020,$33.02B
29 May 2020,$29.41B
2 Jun 2020,$29.45B
30 Jun 2020,$26.51B
9 Jul 2020,$26.8B
16 Jul 2020,$27.17B
31 Jul 2020,$25.98B
4 Aug 2020,$27.2B
7 Aug 2020,$26.7B
11 Aug 2020,$27.93B
14 Aug 2020,$28.42B
20 Aug 2020,$27.46B
31 Aug 2020,$28.19B
2 Sep 2020,$28.42B
10 Sep 2020,$27.89B
16 Sep 2020,$28.46B
24 Sep 2020,$27.33B
30 Sep 2020,$27.13B
15 Oct 2020,$27.04B
23 Oct 2020,$27.23B
30 Oct 2020,$27.46B
13 Nov 2020,$29.08B
20 Nov 2020,$29.88B
26 Nov 2020,$28.85B
30 Nov 2020,$27.17B
3 Dec 2020,$27.6B
9 Dec 2020,$28.03B
16 Dec 2020,$28.72B
23 Dec 2020,$27.8B
30 Dec 2020,$27.99B
5 Jan 2021,$27.8B
12 Jan 2021,$29.41B
18 Jan 2021,$29.88B
25 Jan 2021,$29.71B
29 Jan 2021,$29.88B
1 Feb 2021,$30.44B
5 Feb 2021,$31.07B
15 Feb 2021,$34.27B
26 Feb 2021,$33.51B
1 Mar 2021,$34.07B
11 Mar 2021,$35.86B
25 Mar 2021,$36.82B
31 Mar 2021,$35.17B
1 Apr 2021,$33.78B
7 Apr 2021,$33.28B
13 Apr 2021,$32.82B
22 Apr 2021,$32.16B
30 Apr 2021,$33.02B
7 May 2021,$33.78B
13 May 2021,$33.51B
19 May 2021,$31.73B
26 May 2021,$31B
31 May 2021,$30.77B
4 Jun 2021,$30.87B
11 Jun 2021,$30.8B
30 Jun 2021,$30.84B
12 Jul 2021,$30.67B
16 Jul 2021,$30.93B
20 Jul 2021,$30.51B
21 Jul 2021,$30.74B
30 Jul 2021,$31.91B
6 Aug 2021,$32.33B
13 Aug 2021,$33.02B
20 Aug 2021,$32.5B
27 Aug 2021,$32.4B
3 Sep 2021,$33.29B
10 Sep 2021,$33.06B
17 Sep 2021,$33.42B
24 Sep 2021,$32.87B
2 Oct 2021,$31.86B
9 Oct 2021,$32.44B
16 Oct 2021,$30.91B
23 Oct 2021,$30.24B
30 Oct 2021,$29.33B
6 Nov 2021,$28.46B
13 Nov 2021,$28.45B
20 Nov 2021,$30.75B
27 Nov 2021,$30.53B
4 Dec 2021,$31.37B
9 Dec 2021,$31.83B
