timeline,Japan Post Holdings
30 Nov 2015,$75.66B
31 Dec 2015,$73.99B
29 Jan 2016,$63.28B
29 Feb 2016,$57.01B
31 Mar 2016,$54.51B
29 Apr 2016,$53.9B
31 May 2016,$52.01B
30 Jun 2016,$45.04B
29 Jul 2016,$49.47B
31 Aug 2016,$49.18B
30 Sep 2016,$45.83B
31 Oct 2016,$48.55B
30 Nov 2016,$51.42B
30 Dec 2016,$52.94B
31 Jan 2017,$51.53B
28 Feb 2017,$52.29B
31 Mar 2017,$50.69B
28 Apr 2017,$50.11B
31 May 2017,$49.06B
30 Jun 2017,$50.58B
31 Jul 2017,$50.48B
31 Aug 2017,$49.57B
29 Sep 2017,$48.23B
31 Oct 2017,$46.62B
30 Nov 2017,$46.05B
31 Jan 2018,$46.41B
28 Feb 2018,$46.02B
30 Mar 2018,$45.66B
30 Apr 2018,$47.41B
31 May 2018,$44.45B
29 Jun 2018,$43.24B
31 Jul 2018,$43.92B
31 Aug 2018,$47.05B
28 Sep 2018,$48.19B
31 Oct 2018,$47.77B
30 Nov 2018,$49.26B
31 Dec 2018,$45.09B
31 Jan 2019,$47.66B
28 Feb 2019,$48.3B
29 Mar 2019,$46.2B
30 Apr 2019,$44.31B
31 May 2019,$42.85B
28 Jun 2019,$43.49B
31 Jul 2019,$38.07B
30 Aug 2019,$34.43B
30 Sep 2019,$35.47B
31 Oct 2019,$35.5B
29 Nov 2019,$36.68B
31 Dec 2019,$36.57B
31 Jan 2020,$35.51B
28 Feb 2020,$33.53B
31 Mar 2020,$30.15B
30 Apr 2020,$30.83B
29 May 2020,$27.95B
2 Jun 2020,$27.83B
30 Jun 2020,$27.33B
9 Jul 2020,$27B
31 Jul 2020,$25.57B
13 Aug 2020,$28.05B
20 Aug 2020,$27.47B
31 Aug 2020,$27.94B
2 Sep 2020,$27.46B
10 Sep 2020,$27.27B
24 Sep 2020,$26.51B
30 Sep 2020,$25.52B
8 Oct 2020,$26.38B
23 Oct 2020,$26.44B
30 Oct 2020,$25.48B
13 Nov 2020,$27.07B
20 Nov 2020,$29.37B
26 Nov 2020,$28.46B
30 Nov 2020,$27.54B
3 Dec 2020,$27.68B
9 Dec 2020,$27.81B
16 Dec 2020,$27.8B
23 Dec 2020,$28.02B
30 Dec 2020,$28.62B
5 Jan 2021,$28.35B
12 Jan 2021,$30.15B
18 Jan 2021,$30.49B
25 Jan 2021,$29.79B
29 Jan 2021,$29.65B
1 Feb 2021,$29.88B
15 Feb 2021,$32.27B
26 Feb 2021,$32.46B
11 Mar 2021,$34.85B
25 Mar 2021,$37.84B
31 Mar 2021,$35.17B
1 Apr 2021,$34.3B
7 Apr 2021,$33.65B
13 Apr 2021,$33.32B
22 Apr 2021,$32.33B
30 Apr 2021,$32.71B
7 May 2021,$33.28B
13 May 2021,$32.89B
19 May 2021,$33.32B
26 May 2021,$32.35B
31 May 2021,$32.47B
4 Jun 2021,$32.84B
11 Jun 2021,$33.07B
30 Jun 2021,$32.45B
12 Jul 2021,$32.85B
16 Jul 2021,$30.78B
20 Jul 2021,$30.29B
21 Jul 2021,$30.58B
30 Jul 2021,$31.89B
6 Aug 2021,$32.32B
13 Aug 2021,$32.7B
20 Aug 2021,$31.94B
27 Aug 2021,$31.88B
3 Sep 2021,$33.4B
10 Sep 2021,$33.25B
17 Sep 2021,$33.5B
24 Sep 2021,$33.72B
2 Oct 2021,$31.5B
9 Oct 2021,$31.27B
16 Oct 2021,$30.55B
23 Oct 2021,$29B
30 Oct 2021,$29.01B
6 Nov 2021,$27.98B
13 Nov 2021,$28.26B
20 Nov 2021,$28.62B
27 Nov 2021,$28.68B
4 Dec 2021,$29.11B
9 Dec 2021,$29.37B
