timeline,Kaō
31 Mar 2006,$13.17B
28 Apr 2006,$12.97B
31 May 2006,$11.74B
30 Jun 2006,$12.65B
31 Jul 2006,$12.39B
31 Aug 2006,$12.51B
29 Sep 2006,$12.67B
31 Oct 2006,$12.45B
30 Nov 2006,$12.38B
29 Dec 2006,$12.42B
31 Jan 2007,$13.38B
28 Feb 2007,$13.43B
30 Mar 2007,$13.41B
30 Apr 2007,$12.37B
31 May 2007,$12.61B
29 Jun 2007,$12.1B
31 Jul 2007,$12.32B
31 Aug 2007,$12.63B
28 Sep 2007,$12.86B
31 Oct 2007,$12.15B
30 Nov 2007,$12.63B
31 Dec 2007,$12.38B
31 Jan 2008,$12.3B
29 Feb 2008,$12.38B
31 Mar 2008,$10.89B
30 Apr 2008,$10.7B
30 May 2008,$10.23B
30 Jun 2008,$10.19B
31 Jul 2008,$9.66B
29 Aug 2008,$11.78B
30 Sep 2008,$11.51B
31 Oct 2008,$14.02B
28 Nov 2008,$13.52B
31 Dec 2008,$12.81B
30 Jan 2009,$12.76B
31 Mar 2009,$12.45B
30 Apr 2009,$9.27B
31 Aug 2009,$9.56B
30 Sep 2009,$10.46B
30 Oct 2009,$10.05B
29 Jan 2010,$10.24B
26 Feb 2010,$11.17B
31 Mar 2010,$11.41B
30 Apr 2010,$11.09B
31 May 2010,$10.83B
30 Jun 2010,$11.42B
30 Jul 2010,$10.68B
31 Aug 2010,$10.86B
30 Sep 2010,$10.69B
29 Oct 2010,$10.89B
30 Nov 2010,$11.37B
31 Dec 2010,$12.09B
31 Jan 2011,$11.44B
28 Feb 2011,$11.58B
31 Mar 2011,$10.28B
29 Apr 2011,$9.7B
31 May 2011,$10.31B
30 Jun 2011,$10.2B
29 Jul 2011,$11.09B
31 Aug 2011,$10.35B
30 Sep 2011,$11.79B
31 Oct 2011,$10.91B
30 Nov 2011,$10.97B
30 Dec 2011,$11.83B
31 Jan 2012,$11.27B
29 Feb 2012,$10.84B
30 Mar 2012,$11.51B
30 Apr 2012,$11.89B
31 May 2012,$12.21B
29 Jun 2012,$13.09B
31 Jul 2012,$13.11B
31 Aug 2012,$14.18B
28 Sep 2012,$13.52B
31 Oct 2012,$12.79B
30 Nov 2012,$12.51B
31 Dec 2012,$11.65B
31 Jan 2013,$12.51B
28 Feb 2013,$14.38B
29 Mar 2013,$15.04B
30 Apr 2013,$15.5B
31 May 2013,$14.21B
28 Jun 2013,$15.49B
31 Jul 2013,$13.95B
30 Aug 2013,$12.74B
30 Sep 2013,$13.39B
31 Oct 2013,$13.95B
29 Nov 2013,$13.96B
31 Dec 2013,$13.21B
31 Jan 2014,$13.59B
28 Feb 2014,$14.44B
31 Mar 2014,$14.94B
30 Apr 2014,$15.7B
30 May 2014,$16.81B
30 Jun 2014,$16.66B
31 Jul 2014,$17.82B
29 Aug 2014,$18.97B
30 Sep 2014,$17.82B
31 Oct 2014,$18.08B
28 Nov 2014,$17.32B
31 Dec 2014,$18.53B
30 Jan 2015,$21.87B
27 Feb 2015,$22.63B
31 Mar 2015,$26.12B
30 Apr 2015,$24.6B
29 May 2015,$23.58B
30 Jun 2015,$23.41B
31 Jul 2015,$26.22B
31 Aug 2015,$23.12B
30 Sep 2015,$22.66B
30 Oct 2015,$26.54B
30 Nov 2015,$27.47B
31 Dec 2015,$26.89B
29 Jan 2016,$27.85B
29 Feb 2016,$25.97B
31 Mar 2016,$26.68B
29 Apr 2016,$28.21B
31 May 2016,$27.96B
30 Jun 2016,$29.36B
29 Jul 2016,$27.07B
31 Aug 2016,$26.54B
30 Sep 2016,$28.38B
31 Oct 2016,$26.64B
30 Nov 2016,$24.9B
30 Dec 2016,$25.52B
28 Feb 2017,$27.05B
31 Mar 2017,$27.91B
28 Apr 2017,$27.79B
31 May 2017,$30.81B
30 Jun 2017,$28.44B
31 Jul 2017,$28.26B
31 Aug 2017,$28.54B
29 Sep 2017,$27.29B
31 Oct 2017,$28.36B
30 Nov 2017,$30.61B
29 Dec 2017,$30.88B
31 Jan 2018,$31.19B
28 Feb 2018,$33.24B
30 Mar 2018,$33.89B
30 Apr 2018,$33.12B
31 May 2018,$36.74B
29 Jun 2018,$36.5B
31 Jul 2018,$34.46B
31 Aug 2018,$36.66B
28 Sep 2018,$38.27B
31 Oct 2018,$31.89B
30 Nov 2018,$35.14B
31 Dec 2018,$35.5B
31 Jan 2019,$33.68B
28 Feb 2019,$36.69B
29 Mar 2019,$38.56B
30 Apr 2019,$37.7B
31 May 2019,$38.07B
28 Jun 2019,$36.62B
31 Jul 2019,$35.82B
30 Aug 2019,$34.95B
30 Sep 2019,$36.25B
31 Oct 2019,$38.65B
29 Nov 2019,$38.3B
31 Dec 2019,$40.18B
31 Jan 2020,$39.7B
21 Feb 2020,$37.32B
28 Feb 2020,$35.42B
31 Mar 2020,$40.23B
30 Apr 2020,$38.94B
29 May 2020,$39.37B
30 Jun 2020,$38.32B
31 Jul 2020,$33.36B
6 Aug 2020,$34.07B
31 Aug 2020,$34.83B
1 Sep 2020,$34.5B
10 Sep 2020,$34.73B
24 Sep 2020,$35.87B
30 Sep 2020,$34.52B
8 Oct 2020,$33.88B
15 Oct 2020,$34.37B
28 Oct 2020,$33.63B
30 Oct 2020,$33B
12 Nov 2020,$35.55B
18 Nov 2020,$34.37B
26 Nov 2020,$34.78B
4 Dec 2020,$33.85B
11 Dec 2020,$33.18B
18 Dec 2020,$33.51B
31 Dec 2020,$34.12B
8 Jan 2021,$33.45B
15 Jan 2021,$33.67B
22 Jan 2021,$33.14B
29 Jan 2021,$32.64B
5 Feb 2021,$31.2B
26 Feb 2021,$29.99B
11 Mar 2021,$29.8B
17 Mar 2021,$30.32B
24 Mar 2021,$30.24B
30 Mar 2021,$30.74B
31 Mar 2021,$30.67B
9 Apr 2021,$30.54B
15 Apr 2021,$30.22B
21 Apr 2021,$29.28B
30 Apr 2021,$28.61B
5 May 2021,$28.76B
12 May 2021,$27.29B
18 May 2021,$27.5B
31 May 2021,$26.94B
11 Jun 2021,$27.66B
