timeline,Kubota
31 Jan 2001,$4.54B
28 Feb 2001,$4.05B
30 Mar 2001,$5.01B
30 Apr 2001,$5.59B
31 May 2001,$5.47B
29 Jun 2001,$6.16B
31 Jul 2001,$6.13B
31 Aug 2001,$5.08B
28 Sep 2001,$4B
31 Oct 2001,$4.82B
30 Nov 2001,$4.44B
31 Dec 2001,$4.26B
31 Jan 2002,$4.4B
28 Feb 2002,$4.61B
29 Mar 2002,$4.85B
30 Apr 2002,$4.74B
31 May 2002,$4.93B
28 Jun 2002,$4.47B
31 Jul 2002,$4.45B
30 Aug 2002,$4.17B
30 Sep 2002,$4.28B
31 Oct 2002,$3.79B
29 Nov 2002,$4.02B
31 Dec 2002,$3.95B
31 Jan 2003,$3.98B
28 Feb 2003,$3.71B
30 Apr 2003,$3.42B
30 May 2003,$3.52B
30 Jun 2003,$4.05B
31 Jul 2003,$4.41B
29 Aug 2003,$4.8B
30 Sep 2003,$4.79B
31 Oct 2003,$4.92B
28 Nov 2003,$4.97B
31 Dec 2003,$5.5B
30 Jan 2004,$5.4B
27 Feb 2004,$6.18B
31 Mar 2004,$6.17B
30 Apr 2004,$5.96B
31 May 2004,$6.3B
30 Jun 2004,$7.22B
30 Jul 2004,$6.28B
31 Aug 2004,$6.84B
30 Sep 2004,$6.47B
29 Oct 2004,$6.01B
30 Nov 2004,$6.33B
31 Dec 2004,$6.32B
31 Jan 2005,$6.89B
28 Feb 2005,$7.16B
31 Mar 2005,$6.76B
29 Apr 2005,$6.41B
31 May 2005,$7.12B
30 Jun 2005,$7.19B
29 Jul 2005,$7.73B
31 Aug 2005,$8.12B
30 Sep 2005,$9.29B
31 Oct 2005,$9.94B
30 Nov 2005,$11.04B
30 Dec 2005,$11.71B
31 Jan 2006,$13.22B
28 Feb 2006,$13.59B
31 Mar 2006,$14.55B
28 Apr 2006,$14.74B
31 May 2006,$11.88B
30 Jun 2006,$12.43B
31 Jul 2006,$12.08B
31 Aug 2006,$11.07B
29 Sep 2006,$11.11B
31 Oct 2006,$11.72B
30 Nov 2006,$11.67B
29 Dec 2006,$12.63B
31 Jan 2007,$14.56B
28 Feb 2007,$13.48B
30 Mar 2007,$11.77B
30 Apr 2007,$12.98B
31 May 2007,$11.61B
29 Jun 2007,$11.39B
31 Jul 2007,$11.34B
