timeline,Kyocera
31 Jan 2001,$21.1B
28 Feb 2001,$17.65B
30 Mar 2001,$19.11B
30 Apr 2001,$19.82B
31 May 2001,$18.61B
29 Jun 2001,$18.46B
31 Jul 2001,$15.71B
31 Aug 2001,$13.47B
28 Sep 2001,$12.8B
31 Oct 2001,$13.88B
30 Nov 2001,$15.37B
31 Dec 2001,$14.25B
31 Jan 2002,$12.9B
28 Feb 2002,$13.37B
29 Mar 2002,$14.68B
30 Apr 2002,$14.57B
31 May 2002,$16.68B
28 Jun 2002,$14.64B
31 Jul 2002,$13.52B
30 Aug 2002,$13.77B
30 Sep 2002,$13.29B
31 Oct 2002,$11.78B
29 Nov 2002,$13.29B
31 Dec 2002,$11.27B
31 Jan 2003,$10.84B
28 Feb 2003,$10.13B
31 Mar 2003,$9.59B
30 Apr 2003,$9.49B
30 May 2003,$10.49B
30 Jun 2003,$11.2B
31 Jul 2003,$11.14B
29 Aug 2003,$12.23B
30 Sep 2003,$10.91B
31 Oct 2003,$10.94B
28 Nov 2003,$11.02B
31 Dec 2003,$11.8B
30 Jan 2004,$13.21B
27 Feb 2004,$13.27B
31 Mar 2004,$14.45B
30 Apr 2004,$15.09B
31 May 2004,$14.94B
30 Jun 2004,$15.31B
30 Jul 2004,$14.22B
31 Aug 2004,$13.26B
30 Sep 2004,$12.81B
29 Oct 2004,$12.71B
30 Nov 2004,$11.98B
31 Dec 2004,$13.04B
31 Jan 2005,$12.33B
28 Feb 2005,$12.93B
31 Mar 2005,$12.64B
29 Apr 2005,$12.66B
31 May 2005,$13.77B
30 Jun 2005,$14.02B
29 Jul 2005,$13.11B
31 Aug 2005,$12.66B
30 Sep 2005,$13.06B
31 Oct 2005,$12.38B
30 Nov 2005,$13.55B
30 Dec 2005,$14.21B
31 Jan 2006,$17.27B
28 Feb 2006,$17.19B
31 Mar 2006,$17.25B
28 Apr 2006,$17.6B
31 May 2006,$15.34B
30 Jun 2006,$14.67B
31 Jul 2006,$15.54B
31 Aug 2006,$16.78B
29 Sep 2006,$16.76B
31 Oct 2006,$17.39B
30 Nov 2006,$17.32B
29 Dec 2006,$18.63B
31 Jan 2007,$18.41B
28 Feb 2007,$17.89B
30 Mar 2007,$18.48B
30 Apr 2007,$19.41B
31 May 2007,$19.89B
29 Jun 2007,$21.88B
31 Jul 2007,$19.15B
31 Aug 2007,$17.65B
28 Sep 2007,$17.99B
31 Oct 2007,$16.13B
30 Nov 2007,$16.62B
31 Dec 2007,$16.53B
31 Jan 2008,$14.13B
29 Feb 2008,$14.43B
31 Mar 2008,$13.98B
30 Apr 2008,$15.97B
30 May 2008,$16.95B
30 Jun 2008,$16.71B
31 Jul 2008,$15.57B
29 Aug 2008,$15.42B
30 Sep 2008,$13.18B
31 Oct 2008,$9.44B
28 Nov 2008,$9.97B
31 Dec 2008,$10.32B
30 Jan 2009,$9.51B
27 Feb 2009,$9.47B
31 Mar 2009,$10.48B
30 Apr 2009,$12.33B
29 May 2009,$12.07B
30 Jun 2009,$11.76B
31 Jul 2009,$12.33B
31 Aug 2009,$12.54B
30 Sep 2009,$13.48B
30 Oct 2009,$12.54B
30 Nov 2009,$11.13B
31 Dec 2009,$13.22B
29 Jan 2010,$13.27B
26 Feb 2010,$12.8B
31 Mar 2010,$14.74B
30 Apr 2010,$15.35B
31 May 2010,$12.83B
30 Jun 2010,$11.75B
30 Jul 2010,$12.47B
31 Aug 2010,$11.55B
30 Sep 2010,$12.77B
29 Oct 2010,$12.99B
30 Nov 2010,$13.82B
31 Dec 2010,$13.41B
31 Jan 2011,$13.82B
28 Feb 2011,$13.72B
31 Mar 2011,$13.64B
29 Apr 2011,$14.38B
31 May 2011,$13.77B
30 Jun 2011,$13.19B
29 Jul 2011,$13.35B
31 Aug 2011,$11.33B
30 Sep 2011,$10.58B
31 Oct 2011,$11.34B
30 Nov 2011,$10.93B
30 Dec 2011,$10.01B
31 Jan 2012,$10.51B
29 Feb 2012,$11.63B
30 Mar 2012,$12.26B
30 Apr 2012,$12.71B
31 May 2012,$10.5B
29 Jun 2012,$11.05B
31 Jul 2012,$10.02B
31 Aug 2012,$10.87B
28 Sep 2012,$10.93B
31 Oct 2012,$11.34B
30 Nov 2012,$12.28B
31 Dec 2012,$12.57B
31 Jan 2013,$13.37B
28 Feb 2013,$13.04B
29 Mar 2013,$14.25B
30 Apr 2013,$16.03B
31 May 2013,$16.33B
31 Jul 2013,$16.09B
30 Aug 2013,$16.3B
30 Sep 2013,$16.85B
31 Oct 2013,$16.43B
