timeline,Micro Focus
31 Dec 2012,$1.4B
31 Dec 2013,$1.76B
30 Apr 2014,$1.82B
31 Dec 2014,$3.64B
31 Dec 2015,$5.14B
30 Nov 2016,$6.05B
30 Dec 2016,$6.14B
31 Aug 2017,$6.75B
29 Sep 2017,$13.95B
31 Oct 2017,$15.21B
30 Nov 2017,$14.54B
29 Dec 2017,$14.76B
31 Jan 2018,$13.25B
28 Feb 2018,$12.51B
30 Mar 2018,$6.04B
30 Apr 2018,$7.53B
31 May 2018,$7.73B
29 Jun 2018,$7.55B
31 Jul 2018,$7.17B
31 Aug 2018,$7.4B
28 Sep 2018,$8.04B
31 Oct 2018,$6.61B
30 Nov 2018,$8.33B
31 Dec 2018,$7.34B
31 Jan 2019,$7.9B
28 Feb 2019,$10.29B
29 Mar 2019,$10.69B
30 Apr 2019,$8.6B
31 May 2019,$8.3B
28 Jun 2019,$8.98B
31 Jul 2019,$7.24B
30 Aug 2019,$4.58B
30 Sep 2019,$4.66B
31 Oct 2019,$4.69B
29 Nov 2019,$5.02B
31 Dec 2019,$4.65B
31 Jan 2020,$4.47B
28 Feb 2020,$3.18B
5 Mar 2020,$2.93B
31 Mar 2020,$1.66B
30 Apr 2020,$2.01B
4 May 2020,$1.88B
29 May 2020,$1.68B
4 Jun 2020,$2B
30 Jun 2020,$1.78B
16 Jul 2020,$1.29B
31 Jul 2020,$1.22B
19 Aug 2020,$1.33B
31 Aug 2020,$1.34B
24 Sep 2020,$1.08B
30 Sep 2020,$1.06B
16 Oct 2020,$1.08B
30 Oct 2020,$0.93B
6 Nov 2020,$0.94B
20 Nov 2020,$1.46B
30 Nov 2020,$1.57B
24 Dec 2020,$2B
31 Dec 2020,$1.94B
29 Jan 2021,$2.05B
5 Feb 2021,$2.24B
16 Feb 2021,$2.06B
19 Feb 2021,$2B
26 Feb 2021,$1.96B
2 Mar 2021,$2.05B
8 Mar 2021,$2.26B
18 Mar 2021,$2.29B
26 Mar 2021,$2.42B
30 Mar 2021,$2.71B
1 Apr 2021,$2.58B
8 Apr 2021,$2.59B
14 Apr 2021,$2.54B
21 Apr 2021,$2.41B
30 Apr 2021,$2.42B
6 May 2021,$2.26B
14 May 2021,$2.28B
20 May 2021,$2.29B
26 May 2021,$2.42B
31 May 2021,$2.47B
1 Jun 2021,$2.5B
8 Jun 2021,$2.46B
30 Jun 2021,$2.54B
8 Jul 2021,$1.98B
14 Jul 2021,$1.92B
21 Jul 2021,$1.88B
30 Jul 2021,$1.9B
12 Aug 2021,$1.94B
13 Aug 2021,$1.95B
20 Aug 2021,$1.93B
27 Aug 2021,$2.04B
3 Sep 2021,$1.97B
10 Sep 2021,$1.8B
17 Sep 2021,$1.77B
24 Sep 2021,$1.82B
2 Oct 2021,$1.88B
9 Oct 2021,$1.73B
16 Oct 2021,$1.76B
23 Oct 2021,$1.71B
30 Oct 2021,$1.65B
6 Nov 2021,$1.91B
13 Nov 2021,$1.82B
27 Nov 2021,$1.75B
4 Dec 2021,$1.53B
9 Dec 2021,$1.63B
