timeline,Mitsubishi UFJ Financial
31 Jan 2001,$43.72B
28 Feb 2001,$47.13B
30 Mar 2001,$44.79B
30 Apr 2001,$48.16B
31 May 2001,$43.95B
29 Jun 2001,$39.55B
31 Jul 2001,$37.64B
31 Aug 2001,$39.65B
28 Sep 2001,$36.23B
31 Oct 2001,$35.02B
30 Nov 2001,$32.49B
31 Dec 2001,$30.25B
31 Jan 2002,$27.07B
28 Feb 2002,$28.57B
29 Mar 2002,$35.32B
30 Apr 2002,$39.97B
31 May 2002,$45.25B
28 Jun 2002,$39.05B
31 Jul 2002,$38.76B
30 Aug 2002,$39.22B
30 Sep 2002,$42.15B
31 Oct 2002,$36.81B
29 Nov 2002,$35.32B
31 Dec 2002,$30.72B
31 Jan 2003,$30.15B
28 Feb 2003,$25.44B
31 Mar 2003,$23.87B
30 Apr 2003,$22.59B
30 May 2003,$24.96B
30 Jun 2003,$29.39B
31 Jul 2003,$28.68B
29 Aug 2003,$37.67B
30 Sep 2003,$40.93B
31 Oct 2003,$46.65B
28 Nov 2003,$46.97B
31 Dec 2003,$49.76B
30 Jan 2004,$49.13B
27 Feb 2004,$49.57B
31 Mar 2004,$65.29B
30 Apr 2004,$58.52B
31 May 2004,$57.34B
30 Jun 2004,$60.66B
30 Jul 2004,$58.65B
30 Sep 2004,$54.34B
29 Oct 2004,$55.32B
30 Nov 2004,$61.77B
31 Dec 2004,$66.6B
31 Jan 2005,$62.03B
28 Feb 2005,$59.75B
31 Mar 2005,$56.56B
31 May 2005,$54.27B
30 Jun 2005,$55.5B
29 Jul 2005,$54.33B
31 Aug 2005,$67.74B
30 Sep 2005,$85.19B
31 Oct 2005,$82.97B
30 Nov 2005,$82.71B
30 Dec 2005,$89.51B
31 Jan 2006,$94.48B
28 Feb 2006,$97.42B
31 Mar 2006,$148.97B
28 Apr 2006,$153.32B
31 May 2006,$132.68B
30 Jun 2006,$136.1B
31 Jul 2006,$137.86B
31 Aug 2006,$132.84B
29 Sep 2006,$125.43B
31 Oct 2006,$122.63B
30 Nov 2006,$124.72B
29 Dec 2006,$120.31B
31 Jan 2007,$117.59B
28 Feb 2007,$120.11B
30 Mar 2007,$110.28B
30 Apr 2007,$101.94B
31 May 2007,$111.98B
29 Jun 2007,$107.48B
31 Jul 2007,$103.85B
31 Aug 2007,$93.26B
28 Sep 2007,$85.74B
31 Oct 2007,$96.33B
30 Nov 2007,$95.7B
31 Dec 2007,$91.25B
31 Jan 2008,$94.47B
29 Feb 2008,$88.33B
31 Mar 2008,$84.02B
30 Apr 2008,$119.37B
30 May 2008,$110.25B
30 Jun 2008,$101.8B
31 Jul 2008,$101.57B
29 Aug 2008,$88.38B
30 Sep 2008,$101.11B
31 Oct 2008,$72.77B
28 Nov 2008,$63.4B
31 Dec 2008,$71.84B
30 Jan 2009,$63.63B
27 Feb 2009,$51.71B
31 Mar 2009,$55.98B
30 Apr 2009,$63.11B
29 May 2009,$72.88B
30 Jun 2009,$72.21B
31 Jul 2009,$69.54B
31 Aug 2009,$74.36B
30 Sep 2009,$62.58B
30 Oct 2009,$63.96B
30 Nov 2009,$64.98B
31 Dec 2009,$68.67B
29 Jan 2010,$73.19B
26 Feb 2010,$71.43B
31 Mar 2010,$74.55B
30 Apr 2010,$74.19B
31 May 2010,$68.47B
30 Jun 2010,$64.6B
30 Jul 2010,$69.94B
31 Aug 2010,$67.08B
30 Sep 2010,$65.66B
29 Oct 2010,$64.9B
30 Nov 2010,$66.46B
31 Dec 2010,$76.17B
31 Jan 2011,$73.38B
28 Feb 2011,$78.47B
31 Mar 2011,$65.24B
29 Apr 2011,$67.06B
31 May 2011,$65.51B
30 Jun 2011,$68.34B
29 Jul 2011,$71.29B
31 Aug 2011,$63.22B
30 Sep 2011,$65.24B
31 Oct 2011,$64.41B
30 Nov 2011,$59.47B
30 Dec 2011,$59.52B
31 Jan 2012,$64.62B
29 Feb 2012,$73.79B
30 Mar 2012,$70.81B
