timeline,Murata Seisakusho
31 Dec 2008,$8.25B
31 Dec 2009,$10.61B
31 Dec 2010,$15.04B
30 Dec 2011,$10.88B
31 Dec 2012,$12.27B
28 Feb 2013,$13.76B
29 Mar 2013,$15.62B
30 Apr 2013,$16.93B
31 May 2013,$16.49B
28 Jun 2013,$16.11B
31 Jul 2013,$14.51B
30 Aug 2013,$14.49B
30 Sep 2013,$16.21B
31 Oct 2013,$16.91B
29 Nov 2013,$18.22B
31 Dec 2013,$18.84B
31 Jan 2014,$19.78B
28 Feb 2014,$20.09B
31 Mar 2014,$20.03B
30 Apr 2014,$17.54B
30 May 2014,$17.94B
30 Jun 2014,$19.79B
31 Jul 2014,$20.42B
29 Aug 2014,$20.28B
30 Sep 2014,$24.13B
31 Oct 2014,$23.66B
28 Nov 2014,$23.04B
31 Dec 2014,$23.48B
30 Jan 2015,$22.95B
27 Feb 2015,$26.15B
31 Mar 2015,$29.16B
30 Apr 2015,$30.19B
29 May 2015,$34.59B
30 Jun 2015,$36.85B
31 Jul 2015,$31.39B
31 Aug 2015,$30.65B
30 Sep 2015,$27.14B
30 Oct 2015,$30.36B
30 Nov 2015,$32.92B
31 Dec 2015,$30.87B
29 Jan 2016,$24.38B
29 Feb 2016,$25.24B
31 Mar 2016,$25.56B
29 Apr 2016,$28.97B
31 May 2016,$24.73B
30 Jun 2016,$23.55B
29 Jul 2016,$26.03B
31 Aug 2016,$28.75B
30 Sep 2016,$27.39B
31 Oct 2016,$29.84B
30 Nov 2016,$29.17B
30 Dec 2016,$28.63B
31 Jan 2017,$28.55B
28 Feb 2017,$30.46B
31 Mar 2017,$30.13B
28 Apr 2017,$28.58B
31 May 2017,$29.46B
30 Jun 2017,$32.41B
31 Jul 2017,$33.08B
31 Aug 2017,$32.42B
29 Sep 2017,$31.28B
31 Oct 2017,$33.3B
30 Nov 2017,$28.8B
29 Dec 2017,$28.49B
31 Jan 2018,$31.59B
28 Feb 2018,$29.73B
30 Mar 2018,$29.17B
30 Apr 2018,$27.08B
31 May 2018,$31.74B
29 Jun 2018,$35.93B
31 Jul 2018,$37.46B
31 Aug 2018,$36.86B
28 Sep 2018,$32.85B
31 Oct 2018,$32.38B
30 Nov 2018,$32.55B
31 Dec 2018,$28.9B
31 Jan 2019,$30.17B
28 Feb 2019,$33.32B
29 Mar 2019,$31.86B
30 Apr 2019,$34.13B
31 May 2019,$27.52B
28 Jun 2019,$28.73B
31 Jul 2019,$28.53B
30 Aug 2019,$26.79B
30 Sep 2019,$30.73B
31 Oct 2019,$34.47B
29 Nov 2019,$37.05B
31 Dec 2019,$39.63B
31 Jan 2020,$37.17B
28 Feb 2020,$33.37B
31 Mar 2020,$32.39B
30 Apr 2020,$36.12B
29 May 2020,$35.74B
30 Jun 2020,$37.56B
2 Jul 2020,$37.22B
16 Jul 2020,$38.5B
23 Jul 2020,$40.8B
31 Jul 2020,$40.39B
3 Aug 2020,$39.92B
10 Aug 2020,$39.8B
14 Aug 2020,$40.71B
19 Aug 2020,$39.82B
2 Sep 2020,$39.78B
9 Sep 2020,$39.18B
17 Sep 2020,$40.42B
24 Sep 2020,$41.17B
30 Sep 2020,$41.01B
8 Oct 2020,$41.78B
15 Oct 2020,$44.12B
22 Oct 2020,$44B
30 Oct 2020,$44.47B
5 Nov 2020,$45.64B
12 Nov 2020,$48.43B
19 Nov 2020,$50.12B
25 Nov 2020,$53.01B
30 Nov 2020,$56.11B
3 Dec 2020,$55.52B
10 Dec 2020,$53.99B
17 Dec 2020,$55.51B
24 Dec 2020,$54.83B
31 Dec 2020,$57.57B
15 Jan 2021,$61.86B
29 Jan 2021,$61.68B
10 Feb 2021,$58.79B
17 Feb 2021,$59.37B
26 Feb 2021,$54.61B
3 Mar 2021,$55.84B
17 Mar 2021,$53.42B
23 Mar 2021,$52.6B
31 Mar 2021,$51.28B
9 Apr 2021,$53.29B
16 Apr 2021,$52.93B
21 Apr 2021,$51.65B
30 Apr 2021,$51.13B
5 May 2021,$50.92B
11 May 2021,$49.26B
21 May 2021,$47.82B
28 May 2021,$48.66B
4 Jun 2021,$49.5B
10 Jun 2021,$48.35B
30 Jun 2021,$49.09B
16 Jul 2021,$52.6B
22 Jul 2021,$50.91B
30 Jul 2021,$56.72B
6 Aug 2021,$53.53B
13 Aug 2021,$52.31B
20 Aug 2021,$51.98B
27 Aug 2021,$52.02B
31 Aug 2021,$53.06B
3 Sep 2021,$56.3B
10 Sep 2021,$59.64B
17 Sep 2021,$59.33B
20 Sep 2021,$59.19B
24 Sep 2021,$58.38B
2 Oct 2021,$54.3B
9 Oct 2021,$48.89B
16 Oct 2021,$49.67B
23 Oct 2021,$48.05B
30 Oct 2021,$48.08B
6 Nov 2021,$48.98B
13 Nov 2021,$48.21B
20 Nov 2021,$50.7B
27 Nov 2021,$48.05B
4 Dec 2021,$47.95B
9 Dec 2021,$48.54B
