timeline,NTT Data
31 Jan 2001,$17.58B
28 Feb 2001,$16.45B
30 Mar 2001,$14.96B
30 Apr 2001,$19.73B
31 May 2001,$18B
29 Jun 2001,$16.82B
31 Jul 2001,$14.69B
31 Aug 2001,$10.88B
28 Sep 2001,$13.23B
30 Nov 2001,$12.36B
31 Dec 2001,$11.52B
31 Jan 2002,$10.39B
28 Feb 2002,$10.98B
29 Mar 2002,$13.45B
30 Apr 2002,$14.17B
31 May 2002,$14.59B
28 Jun 2002,$11.87B
31 Jul 2002,$11.72B
30 Aug 2002,$10.93B
30 Sep 2002,$10.81B
31 Oct 2002,$9.15B
29 Nov 2002,$9.1B
31 Dec 2002,$8.11B
31 Jan 2003,$8.14B
28 Feb 2003,$8.24B
31 Mar 2003,$7.99B
30 Apr 2003,$6.97B
30 May 2003,$7.42B
30 Jun 2003,$9.15B
31 Jul 2003,$10.16B
29 Aug 2003,$11.62B
30 Sep 2003,$11.6B
31 Oct 2003,$12.04B
28 Nov 2003,$9.94B
31 Dec 2003,$10.02B
30 Jan 2004,$10.07B
27 Feb 2004,$9.82B
31 Mar 2004,$10.93B
30 Apr 2004,$10.68B
31 May 2004,$7.99B
30 Jun 2004,$8.7B
30 Jul 2004,$7.89B
31 Aug 2004,$7.59B
30 Sep 2004,$7.17B
29 Oct 2004,$7.2B
30 Nov 2004,$7.57B
31 Dec 2004,$8.19B
31 Jan 2005,$8.83B
28 Feb 2005,$9.13B
31 Mar 2005,$9.15B
29 Apr 2005,$7.99B
31 May 2005,$8.61B
30 Jun 2005,$9.37B
29 Jul 2005,$9.2B
31 Aug 2005,$9.4B
30 Sep 2005,$10.83B
31 Oct 2005,$9.97B
30 Nov 2005,$10.49B
30 Dec 2005,$14.52B
31 Jan 2006,$14.42B
28 Feb 2006,$13.43B
31 Mar 2006,$14B
28 Apr 2006,$13.03B
31 May 2006,$11.75B
30 Jun 2006,$12.24B
31 Jul 2006,$12.88B
31 Aug 2006,$13.4B
29 Sep 2006,$13.48B
31 Oct 2006,$14.42B
30 Nov 2006,$14.39B
29 Dec 2006,$14.74B
31 Jan 2007,$15.26B
28 Feb 2007,$14.84B
30 Mar 2007,$14.81B
30 Apr 2007,$14.57B
31 May 2007,$14.37B
29 Jun 2007,$14.47B
31 Jul 2007,$12.36B
31 Aug 2007,$13.85B
28 Sep 2007,$12.66B
31 Oct 2007,$12.93B
30 Nov 2007,$12.49B
31 Dec 2007,$12.29B
31 Jan 2008,$11.62B
29 Feb 2008,$12.19B
31 Mar 2008,$10.78B
30 Apr 2008,$10.56B
30 May 2008,$10.81B
30 Jun 2008,$10.26B
31 Jul 2008,$11.03B
29 Aug 2008,$11.15B
30 Sep 2008,$10.24B
31 Oct 2008,$7.91B
28 Nov 2008,$8.51B
31 Dec 2008,$8.85B
30 Jan 2009,$7.21B
27 Feb 2009,$6.07B
31 Mar 2009,$6.61B
30 Apr 2009,$6.39B
29 May 2009,$7B
30 Jun 2009,$7.72B
31 Jul 2009,$7.89B
31 Aug 2009,$7.84B
30 Sep 2009,$7.11B
30 Oct 2009,$6.53B
30 Nov 2009,$6.06B
31 Dec 2009,$7.15B
29 Jan 2010,$6.95B
26 Feb 2010,$6.82B
31 Mar 2010,$7.7B
30 Apr 2010,$8.45B
31 May 2010,$8.37B
30 Jun 2010,$8.16B
30 Jul 2010,$7.77B
31 Aug 2010,$6.5B
30 Sep 2010,$6.53B
29 Oct 2010,$6.12B
30 Nov 2010,$6.71B
31 Dec 2010,$6.95B
31 Jan 2011,$6.59B
28 Feb 2011,$7.19B
31 Mar 2011,$6.36B
29 Apr 2011,$6.58B
31 May 2011,$6.33B
30 Jun 2011,$6.58B
29 Jul 2011,$6.62B
31 Aug 2011,$6.04B
30 Sep 2011,$5.97B
31 Oct 2011,$6.59B
30 Nov 2011,$5.84B
30 Dec 2011,$6.08B
31 Jan 2012,$6.18B
29 Feb 2012,$6.77B
30 Mar 2012,$7.19B
30 Apr 2012,$6.88B
31 May 2012,$5.57B
29 Jun 2012,$6.02B
31 Jul 2012,$5.91B
31 Aug 2012,$5.77B
28 Sep 2012,$6.06B
31 Oct 2012,$6.43B
30 Nov 2012,$5.91B
31 Dec 2012,$6.64B
31 Jan 2013,$6.91B
28 Feb 2013,$7.28B
29 Mar 2013,$7.75B
