timeline,Nexon
30 Dec 2011,$4.16B
31 Jan 2012,$4.19B
29 Feb 2012,$4.41B
30 Mar 2012,$5.5B
30 Apr 2012,$5.81B
31 May 2012,$4.73B
29 Jun 2012,$5.93B
31 Jul 2012,$6.2B
31 Aug 2012,$4.32B
28 Sep 2012,$4.1B
31 Oct 2012,$3.73B
30 Nov 2012,$3.54B
31 Dec 2012,$3.33B
31 Jan 2013,$3.69B
28 Feb 2013,$3.23B
29 Mar 2013,$3.52B
30 Apr 2013,$4.55B
31 May 2013,$4.2B
28 Jun 2013,$4.21B
31 Jul 2013,$4.79B
30 Aug 2013,$4.15B
30 Sep 2013,$4.63B
31 Oct 2013,$4.44B
29 Nov 2013,$3.69B
31 Dec 2013,$3.76B
31 Jan 2014,$3.48B
28 Feb 2014,$3.35B
31 Mar 2014,$3.37B
30 Apr 2014,$3.09B
30 May 2014,$3.46B
30 Jun 2014,$3.71B
31 Jul 2014,$3.84B
29 Aug 2014,$3.49B
30 Sep 2014,$3.43B
31 Oct 2014,$3.66B
28 Nov 2014,$4.26B
31 Dec 2014,$4.28B
30 Jan 2015,$4.43B
31 May 2019,$12.77B
30 Jan 2015,$4.43B
27 Feb 2015,$4.71B
31 Mar 2015,$4.84B
,
