timeline,Nintendo
30 Sep 2009,$32.35B
30 Oct 2009,$32.67B
30 Nov 2009,$32.01B
31 Dec 2009,$30.49B
29 Jan 2010,$35.79B
26 Feb 2010,$34.84B
31 Mar 2010,$43.38B
30 Apr 2010,$42.75B
31 May 2010,$37.81B
30 Jun 2010,$37.66B
30 Jul 2010,$35.59B
31 Aug 2010,$35.37B
30 Sep 2010,$31.79B
29 Oct 2010,$32.37B
30 Nov 2010,$34.73B
31 Dec 2010,$37.38B
31 Jan 2011,$34.69B
28 Feb 2011,$37.58B
31 Mar 2011,$34.97B
29 Apr 2011,$30.15B
31 May 2011,$29.73B
30 Jun 2011,$23.78B
29 Jul 2011,$20.18B
31 Aug 2011,$22.35B
30 Sep 2011,$18.7B
31 Oct 2011,$20.37B
30 Nov 2011,$19.02B
30 Dec 2011,$17.35B
31 Jan 2012,$17.19B
29 Feb 2012,$19.2B
30 Mar 2012,$19.36B
30 Apr 2012,$17.24B
31 May 2012,$14.59B
29 Jun 2012,$14.98B
31 Jul 2012,$14.32B
31 Aug 2012,$14.2B
28 Sep 2012,$16.37B
31 Oct 2012,$16.42B
30 Nov 2012,$15.48B
31 Dec 2012,$13.49B
31 Jan 2013,$12.45B
29 Mar 2013,$13.61B
30 Apr 2013,$14.01B
31 May 2013,$12.81B
28 Jun 2013,$15.14B
31 Jul 2013,$16.2B
30 Aug 2013,$14.46B
30 Sep 2013,$14.55B
31 Oct 2013,$14.3B
29 Nov 2013,$16.4B
31 Dec 2013,$17.07B
31 Jan 2014,$15.12B
28 Feb 2014,$15.72B
31 Mar 2014,$14.1B
30 Apr 2014,$12.39B
30 May 2014,$13.69B
30 Jun 2014,$14.15B
31 Jul 2014,$13.26B
29 Aug 2014,$13.16B
30 Sep 2014,$12.91B
28 Nov 2014,$13.82B
31 Dec 2014,$12.49B
30 Jan 2015,$11.44B
27 Feb 2015,$12.67B
31 Mar 2015,$17.43B
30 Apr 2015,$20.21B
29 May 2015,$20.19B
30 Jun 2015,$19.75B
31 Jul 2015,$20.8B
31 Aug 2015,$24.42B
30 Sep 2015,$19.81B
30 Oct 2015,$19.05B
30 Nov 2015,$18.22B
31 Dec 2015,$16.46B
29 Jan 2016,$16.58B
29 Feb 2016,$16.46B
31 Mar 2016,$17.1B
29 Apr 2016,$16.84B
31 May 2016,$17.83B
30 Jun 2016,$17.04B
29 Jul 2016,$24.65B
31 Aug 2016,$26.48B
30 Sep 2016,$31.57B
31 Oct 2016,$29.22B
30 Nov 2016,$29.66B
30 Dec 2016,$25.35B
31 Jan 2017,$24.43B
28 Feb 2017,$25.03B
31 Mar 2017,$27.76B
28 Apr 2017,$30.28B
31 May 2017,$36.47B
30 Jun 2017,$40.4B
31 Jul 2017,$40.75B
31 Aug 2017,$39.83B
29 Sep 2017,$44.38B
31 Oct 2017,$46.56B
30 Nov 2017,$48.47B
29 Dec 2017,$43.83B
31 Jan 2018,$52.99B
28 Feb 2018,$54.86B
30 Mar 2018,$52.85B
30 Apr 2018,$50.86B
31 May 2018,$49.71B
29 Jun 2018,$39.35B
31 Jul 2018,$39.78B
31 Aug 2018,$43.46B
28 Sep 2018,$43.92B
31 Oct 2018,$37.36B
30 Nov 2018,$36.65B
31 Dec 2018,$31.88B
31 Jan 2019,$37.28B
28 Feb 2019,$32.98B
29 Mar 2019,$34.26B
30 Apr 2019,$40.52B
31 May 2019,$42.15B
28 Jun 2019,$43.65B
31 Jul 2019,$43.99B
30 Aug 2019,$45.08B
30 Sep 2019,$44.16B
31 Oct 2019,$42.28B
29 Nov 2019,$46.06B
31 Dec 2019,$48.1B
31 Jan 2020,$44.59B
28 Feb 2020,$39.39B
31 Mar 2020,$45.87B
30 Apr 2020,$49.89B
29 May 2020,$48.17B
30 Jun 2020,$53.15B
2 Jul 2020,$53.57B
16 Jul 2020,$53.2B
24 Jul 2020,$53.15B
31 Jul 2020,$52.84B
4 Aug 2020,$53.55B
6 Aug 2020,$55.5B
13 Aug 2020,$57.09B
19 Aug 2020,$60.43B
4 Sep 2020,$67.14B
9 Sep 2020,$64.85B
16 Sep 2020,$67.41B
24 Sep 2020,$66.98B
30 Sep 2020,$67.26B
8 Oct 2020,$65.56B
16 Oct 2020,$65.48B
23 Oct 2020,$62.62B
28 Oct 2020,$65.48B
30 Oct 2020,$64.92B
6 Nov 2020,$66.45B
13 Nov 2020,$61.57B
20 Nov 2020,$62.58B
25 Nov 2020,$62.87B
30 Nov 2020,$67.82B
4 Dec 2020,$65.31B
11 Dec 2020,$68.98B
18 Dec 2020,$77.05B
