timeline,Nomura Research Institute
31 Mar 2006,$5.72B
28 Apr 2006,$5.61B
31 May 2006,$5.26B
30 Jun 2006,$5.62B
31 Jul 2006,$6.09B
31 Aug 2006,$6.2B
29 Sep 2006,$6.51B
31 Oct 2006,$6.77B
30 Nov 2006,$6.55B
29 Dec 2006,$6.85B
31 Jan 2007,$7.46B
28 Feb 2007,$7.14B
30 Mar 2007,$6.88B
30 Apr 2007,$5.78B
31 May 2007,$5.85B
29 Jun 2007,$7.06B
31 Jul 2007,$7.37B
31 Aug 2007,$7.59B
28 Sep 2007,$7.61B
31 Oct 2007,$7.88B
30 Nov 2007,$7.65B
31 Dec 2007,$7.16B
31 Jan 2008,$5.46B
29 Feb 2008,$5.86B
31 Mar 2008,$5.07B
30 Apr 2008,$4.47B
30 May 2008,$5.08B
30 Jun 2008,$4.85B
31 Jul 2008,$4.71B
29 Aug 2008,$4.85B
30 Sep 2008,$4.13B
31 Oct 2008,$3.07B
28 Nov 2008,$3.5B
31 Dec 2008,$3.29B
30 Jan 2009,$3.19B
27 Feb 2009,$3.03B
31 Mar 2009,$2.62B
30 Apr 2009,$2.99B
29 May 2009,$3B
30 Jun 2009,$3.68B
31 Jul 2009,$4.02B
31 Aug 2009,$3.81B
30 Sep 2009,$3.66B
30 Oct 2009,$3.41B
30 Nov 2009,$3.12B
31 Dec 2009,$3.14B
29 Jan 2010,$3.47B
26 Feb 2010,$3.34B
31 Mar 2010,$3.65B
30 Apr 2010,$4.13B
31 May 2010,$3.6B
30 Jun 2010,$3.25B
30 Jul 2010,$2.94B
31 Aug 2010,$2.8B
30 Sep 2010,$2.69B
29 Oct 2010,$2.6B
30 Nov 2010,$2.89B
31 Dec 2010,$3.1B
31 Jan 2011,$3.06B
28 Feb 2011,$3.28B
31 Mar 2011,$3.15B
29 Apr 2011,$2.98B
31 May 2011,$2.9B
30 Jun 2011,$3.01B
29 Jul 2011,$3.16B
31 Aug 2011,$2.97B
30 Sep 2011,$3.05B
31 Oct 2011,$3.07B
30 Nov 2011,$2.89B
30 Dec 2011,$2.99B
31 Jan 2012,$2.98B
29 Feb 2012,$3.32B
30 Mar 2012,$3.55B
30 Apr 2012,$3.19B
31 May 2012,$2.93B
29 Jun 2012,$3.02B
31 Jul 2012,$2.82B
31 Aug 2012,$2.83B
28 Sep 2012,$2.78B
31 Oct 2012,$2.93B
30 Nov 2012,$2.75B
31 Dec 2012,$3.1B
31 Jan 2013,$3.62B
28 Feb 2013,$3.63B
29 Mar 2013,$4.18B
30 Apr 2013,$5.11B
28 Jun 2013,$5.63B
31 Jul 2013,$5.59B
30 Aug 2013,$5.34B
30 Sep 2013,$5.94B
31 Oct 2013,$5.73B
29 Nov 2013,$5.85B
31 Dec 2013,$5.78B
31 Jan 2014,$5.9B
28 Feb 2014,$5.8B
31 Mar 2014,$5.73B
30 Apr 2014,$5.19B
30 May 2014,$6B
30 Jun 2014,$5.61B
31 Jul 2014,$5.75B
29 Aug 2014,$5.77B
30 Sep 2014,$6.23B
31 Oct 2014,$6.38B
28 Nov 2014,$6.5B
31 Dec 2014,$6.51B
30 Jan 2015,$7.07B
27 Feb 2015,$7.36B
31 Mar 2015,$7.99B
30 Apr 2015,$8.39B
29 May 2015,$8.44B
30 Jun 2015,$8.47B
31 Jul 2015,$9B
31 Aug 2015,$8.71B
30 Sep 2015,$8.09B
