timeline,SMC
31 Dec 2007,$8.56B
31 Dec 2008,$7.2B
31 Dec 2012,$12.41B
28 Feb 2013,$11.94B
29 Mar 2013,$13.24B
30 Apr 2013,$13.67B
31 May 2013,$13.35B
28 Jun 2013,$13.25B
31 Jul 2013,$13.88B
30 Aug 2013,$13.74B
30 Sep 2013,$15.63B
31 Oct 2013,$15.15B
29 Nov 2013,$15.79B
31 Dec 2013,$16.55B
31 Jan 2014,$16.59B
28 Feb 2014,$16.56B
31 Mar 2014,$17.87B
30 Apr 2014,$15.98B
30 May 2014,$17.66B
30 Jun 2014,$18.05B
31 Jul 2014,$18.91B
29 Aug 2014,$17.71B
30 Sep 2014,$18.68B
31 Oct 2014,$19.21B
28 Nov 2014,$18.69B
31 Dec 2014,$17.67B
30 Jan 2015,$17.8B
27 Feb 2015,$18.41B
31 Mar 2015,$19.72B
30 Apr 2015,$20.08B
30 Jun 2015,$20.19B
31 Jul 2015,$17.03B
31 Aug 2015,$16.33B
30 Sep 2015,$14.6B
30 Oct 2015,$17.4B
30 Nov 2015,$17.84B
31 Dec 2015,$17.72B
29 Jan 2016,$15.1B
29 Feb 2016,$15.43B
31 Mar 2016,$15.63B
29 Apr 2016,$17B
31 May 2016,$17.13B
30 Jun 2016,$16.28B
29 Jul 2016,$17.43B
31 Aug 2016,$19.03B
30 Sep 2016,$19.18B
31 Oct 2016,$19.59B
30 Nov 2016,$19.42B
30 Dec 2016,$16.12B
31 Jan 2017,$18.27B
28 Feb 2017,$18.98B
31 Mar 2017,$19.79B
28 Apr 2017,$18.96B
31 May 2017,$21.22B
30 Jun 2017,$20.48B
31 Jul 2017,$21.35B
31 Aug 2017,$22.93B
29 Sep 2017,$23.71B
31 Oct 2017,$25.71B
30 Nov 2017,$27.27B
29 Dec 2017,$27.6B
31 Jan 2018,$33.07B
28 Feb 2018,$28.16B
30 Mar 2018,$27.17B
30 Apr 2018,$25.72B
31 May 2018,$25.61B
29 Jun 2018,$24.71B
31 Jul 2018,$22.7B
31 Aug 2018,$22.39B
28 Sep 2018,$21.55B
31 Oct 2018,$21.49B
30 Nov 2018,$22.8B
31 Dec 2018,$20.25B
31 Jan 2019,$22.03B
28 Feb 2019,$23.49B
29 Mar 2019,$25.23B
30 Apr 2019,$27.72B
31 May 2019,$21.98B
28 Jun 2019,$25.05B
31 Jul 2019,$24.46B
30 Aug 2019,$25.12B
30 Sep 2019,$28.41B
31 Oct 2019,$28.85B
29 Nov 2019,$30.13B
31 Dec 2019,$30.72B
31 Jan 2020,$29.45B
28 Feb 2020,$26.12B
31 Mar 2020,$28.16B
30 Apr 2020,$30.57B
29 May 2020,$33.59B
30 Jun 2020,$34.11B
2 Jul 2020,$33.61B
9 Jul 2020,$34.92B
23 Jul 2020,$35.59B
31 Jul 2020,$34.99B
4 Aug 2020,$34.55B
13 Aug 2020,$37.31B
19 Aug 2020,$37.48B
31 Aug 2020,$36.71B
2 Sep 2020,$37.23B
9 Sep 2020,$35.51B
16 Sep 2020,$35.92B
23 Sep 2020,$36.81B
24 Sep 2020,$35.81B
30 Sep 2020,$36.8B
8 Oct 2020,$36.6B
15 Oct 2020,$36.59B
28 Oct 2020,$36B
30 Oct 2020,$35.18B
5 Nov 2020,$37.21B
13 Nov 2020,$38.26B
19 Nov 2020,$38.68B
25 Nov 2020,$41.23B
30 Nov 2020,$42.38B
4 Dec 2020,$41.53B
11 Dec 2020,$41.55B
31 Dec 2020,$40.6B
8 Jan 2021,$43.7B
22 Jan 2021,$43.85B
29 Jan 2021,$40.41B
5 Feb 2021,$39.95B
12 Feb 2021,$42.19B
19 Feb 2021,$41.08B
26 Feb 2021,$39.33B
19 Mar 2021,$39.44B
25 Mar 2021,$39.51B
31 Mar 2021,$38.7B
6 Apr 2021,$39.69B
21 Apr 2021,$38.87B
30 Apr 2021,$38.5B
7 May 2021,$38.71B
13 May 2021,$36.75B
19 May 2021,$38.23B
25 May 2021,$38.4B
31 May 2021,$39.38B
4 Jun 2021,$40.09B
11 Jun 2021,$38.17B
30 Jun 2021,$39.24B
16 Jul 2021,$40.19B
20 Jul 2021,$38.5B
30 Jul 2021,$38.91B
6 Aug 2021,$40.37B
13 Aug 2021,$44.18B
20 Aug 2021,$39.28B
27 Aug 2021,$41.65B
3 Sep 2021,$45.59B
10 Sep 2021,$47.32B
17 Sep 2021,$48.08B
24 Sep 2021,$46.12B
2 Oct 2021,$39.98B
9 Oct 2021,$37.97B
16 Oct 2021,$38.46B
23 Oct 2021,$38.98B
30 Oct 2021,$39.35B
6 Nov 2021,$42.69B
13 Nov 2021,$41.09B
20 Nov 2021,$44.86B
27 Nov 2021,$42.83B
4 Dec 2021,$43.1B
9 Dec 2021,$44.87B
