timeline,Shin-Etsu Chemical
30 Sep 2009,$26.66B
30 Oct 2009,$24.63B
30 Nov 2009,$22.79B
31 Dec 2009,$24.09B
31 Mar 2010,$24.47B
30 Apr 2010,$24.31B
31 May 2010,$23.86B
31 Aug 2010,$19.11B
29 Oct 2010,$21.65B
30 Nov 2010,$20.91B
31 Dec 2010,$21.89B
31 Jan 2011,$24.31B
28 Feb 2011,$24.27B
31 Mar 2011,$21.44B
29 Apr 2011,$21.85B
31 May 2011,$21.65B
29 Jul 2011,$23.78B
31 Aug 2011,$21.02B
30 Sep 2011,$21.74B
30 Nov 2011,$20.59B
30 Dec 2011,$20.55B
31 Jan 2012,$22.08B
29 Feb 2012,$23.14B
30 Mar 2012,$23.25B
30 Apr 2012,$24.51B
31 May 2012,$21.65B
29 Jun 2012,$23.33B
31 Jul 2012,$21.63B
31 Aug 2012,$22.62B
28 Sep 2012,$24.01B
31 Oct 2012,$23.98B
30 Nov 2012,$25.06B
31 Dec 2012,$25.83B
31 Jan 2013,$26.06B
28 Feb 2013,$26.21B
29 Mar 2013,$28.18B
30 Apr 2013,$28.49B
31 May 2013,$27.19B
28 Jun 2013,$28.39B
31 Jul 2013,$26.53B
30 Aug 2013,$25.63B
30 Sep 2013,$26.06B
31 Oct 2013,$23.85B
29 Nov 2013,$24.58B
31 Dec 2013,$24.86B
31 Jan 2014,$23.82B
28 Feb 2014,$23.95B
31 Mar 2014,$24.4B
30 Apr 2014,$24.89B
30 May 2014,$25.31B
30 Jun 2014,$25.85B
31 Jul 2014,$27.23B
29 Aug 2014,$26.5B
30 Sep 2014,$27.89B
31 Oct 2014,$27.45B
28 Nov 2014,$28.86B
31 Dec 2014,$28.03B
30 Jan 2015,$28.25B
27 Feb 2015,$29.25B
31 Mar 2015,$27.85B
30 Apr 2015,$26.32B
29 May 2015,$26.13B
30 Jun 2015,$26.38B
31 Jul 2015,$25.46B
31 Aug 2015,$23.45B
30 Sep 2015,$21.72B
30 Oct 2015,$25.46B
30 Nov 2015,$24.14B
31 Dec 2015,$23.39B
29 Jan 2016,$21.78B
29 Feb 2016,$21.21B
31 Mar 2016,$22.07B
29 Apr 2016,$24.44B
31 May 2016,$24.86B
30 Jun 2016,$24.7B
29 Jul 2016,$28.71B
31 Aug 2016,$31.44B
30 Sep 2016,$29.47B
31 Oct 2016,$32.46B
30 Nov 2016,$32.03B
30 Dec 2016,$33.21B
31 Jan 2017,$36.52B
28 Feb 2017,$35.89B
31 Mar 2017,$36.78B
28 Apr 2017,$37.11B
31 May 2017,$38.2B
30 Jun 2017,$38.76B
31 Jul 2017,$39.01B
31 Aug 2017,$37.52B
29 Sep 2017,$38.13B
31 Oct 2017,$44.94B
30 Nov 2017,$44.78B
29 Dec 2017,$43.24B
31 Jan 2018,$48.66B
28 Feb 2018,$45.13B
30 Mar 2018,$44.06B
30 Apr 2018,$43.05B
31 May 2018,$42.72B
29 Jun 2018,$38.11B
31 Jul 2018,$42.85B
31 Aug 2018,$39.64B
28 Sep 2018,$37.46B
31 Oct 2018,$35.35B
30 Nov 2018,$37.71B
31 Dec 2018,$33B
31 Jan 2019,$35.91B
28 Feb 2019,$35.67B
29 Mar 2019,$35.78B
30 Apr 2019,$38.92B
31 May 2019,$34.38B
28 Jun 2019,$38.7B
31 Jul 2019,$42.7B
30 Aug 2019,$41.83B
30 Sep 2019,$44.52B
31 Oct 2019,$46.46B
29 Nov 2019,$43.27B
31 Dec 2019,$46.04B
31 Jan 2020,$48.53B
28 Feb 2020,$46.04B
26 Mar 2020,$38.27B
31 Mar 2020,$41.28B
30 Apr 2020,$46.85B
4 May 2020,$44.83B
29 May 2020,$48.73B
30 Jun 2020,$48.68B
6 Jul 2020,$48.45B
23 Jul 2020,$52.01B
31 Jul 2020,$48.76B
5 Aug 2020,$50.06B
12 Aug 2020,$50.3B
19 Aug 2020,$50.79B
2 Sep 2020,$51.39B
16 Sep 2020,$55.31B
30 Sep 2020,$53.84B
8 Oct 2020,$55.33B
15 Oct 2020,$56.41B
22 Oct 2020,$57.02B
29 Oct 2020,$56.81B
30 Oct 2020,$55.28B
13 Nov 2020,$59.99B
20 Nov 2020,$60.58B
25 Nov 2020,$65.19B
30 Nov 2020,$68.36B
4 Dec 2020,$71.04B
11 Dec 2020,$67.97B
18 Dec 2020,$68.8B
31 Dec 2020,$72.33B
29 Jan 2021,$72.36B
5 Feb 2021,$71.11B
11 Feb 2021,$71.14B
18 Feb 2021,$72.71B
25 Feb 2021,$71.03B
26 Feb 2021,$67.72B
11 Mar 2021,$67.14B
18 Mar 2021,$71.61B
