timeline,Suzuki Motor
31 Jan 2001,$5.61B
28 Feb 2001,$5.83B
30 Mar 2001,$6.58B
30 Apr 2001,$7.48B
31 May 2001,$6.91B
29 Jun 2001,$7.91B
31 Jul 2001,$7B
31 Aug 2001,$6.86B
28 Sep 2001,$5.1B
31 Oct 2001,$5.99B
30 Nov 2001,$6.03B
31 Dec 2001,$6.84B
31 Jan 2002,$6.96B
28 Feb 2002,$7.79B
29 Mar 2002,$7.25B
30 Apr 2002,$7.36B
31 May 2002,$7.43B
28 Jun 2002,$7.06B
31 Jul 2002,$6.37B
30 Aug 2002,$6.11B
30 Sep 2002,$6.55B
31 Oct 2002,$6.25B
29 Nov 2002,$6.19B
31 Dec 2002,$6.15B
31 Jan 2003,$6.17B
28 Feb 2003,$6.44B
31 Mar 2003,$6.52B
30 Apr 2003,$6.76B
30 May 2003,$7.07B
30 Jun 2003,$7.47B
31 Jul 2003,$7.44B
29 Aug 2003,$7.66B
30 Sep 2003,$7.91B
31 Oct 2003,$7.61B
28 Nov 2003,$7.42B
31 Dec 2003,$7.59B
30 Jan 2004,$7.69B
27 Feb 2004,$8.41B
31 Mar 2004,$7.75B
30 Apr 2004,$8.33B
31 May 2004,$8.51B
30 Jun 2004,$9.2B
30 Jul 2004,$9.47B
31 Aug 2004,$8.53B
30 Sep 2004,$8.63B
29 Oct 2004,$8.97B
30 Nov 2004,$8.89B
31 Dec 2004,$8.96B
31 Jan 2005,$9.06B
28 Feb 2005,$9.46B
31 Mar 2005,$9.18B
29 Apr 2005,$8.57B
31 May 2005,$8.49B
30 Jun 2005,$8.34B
29 Jul 2005,$8.55B
31 Aug 2005,$9.18B
30 Sep 2005,$10.05B
31 Oct 2005,$9.52B
30 Nov 2005,$10.69B
30 Dec 2005,$10.45B
31 Jan 2006,$11.43B
28 Feb 2006,$11.1B
31 Mar 2006,$12.94B
28 Apr 2006,$13.3B
31 May 2006,$12.44B
30 Jun 2006,$11.84B
31 Jul 2006,$13.42B
31 Aug 2006,$14.4B
29 Sep 2006,$14.35B
31 Oct 2006,$15.88B
29 Dec 2006,$16.07B
31 Jan 2007,$16.6B
28 Feb 2007,$15.55B
30 Mar 2007,$14.64B
30 Apr 2007,$16.36B
31 May 2007,$16.27B
29 Jun 2007,$16.74B
31 Jul 2007,$16.65B
31 Aug 2007,$14.97B
28 Sep 2007,$16.27B
31 Oct 2007,$17.99B
30 Nov 2007,$17.27B
31 Dec 2007,$16.12B
31 Jan 2008,$12.8B
29 Feb 2008,$13.68B
31 Mar 2008,$12.03B
,
