timeline,Tokio Marine
30 Apr 2002,$14.79B
31 May 2002,$15.75B
28 Jun 2002,$14.26B
31 Jul 2002,$13.74B
30 Aug 2002,$14.26B
31 Oct 2002,$13.07B
29 Nov 2002,$13.39B
31 Dec 2002,$11.78B
31 Jan 2003,$11.37B
28 Feb 2003,$11.02B
31 Mar 2003,$12.16B
30 Apr 2003,$12.02B
30 May 2003,$12.69B
30 Jun 2003,$14.05B
31 Jul 2003,$17.04B
29 Aug 2003,$19.71B
30 Sep 2003,$20.28B
31 Oct 2003,$21.91B
28 Nov 2003,$19.08B
31 Dec 2003,$21.39B
30 Jan 2004,$22.44B
27 Feb 2004,$21.39B
31 Mar 2004,$26.05B
30 Apr 2004,$24.53B
31 May 2004,$23.22B
30 Jun 2004,$24.23B
31 Aug 2004,$23.42B
30 Sep 2004,$21B
29 Oct 2004,$20.19B
30 Nov 2004,$22.41B
31 Dec 2004,$21.2B
31 Jan 2005,$21.6B
28 Feb 2005,$21.81B
31 Mar 2005,$21.56B
29 Apr 2005,$20.39B
31 May 2005,$20B
30 Jun 2005,$20.78B
29 Jul 2005,$20.59B
31 Aug 2005,$23.3B
30 Sep 2005,$25.64B
31 Oct 2005,$28.82B
30 Nov 2005,$27.07B
30 Dec 2005,$28.02B
31 Jan 2006,$30.27B
28 Feb 2006,$33.16B
31 Mar 2006,$30.54B
28 Apr 2006,$29.65B
31 May 2006,$25.54B
30 Jun 2006,$27.32B
31 Jul 2006,$28.43B
31 Aug 2006,$26.83B
29 Sep 2006,$25.91B
31 Oct 2006,$27.73B
30 Nov 2006,$25.49B
29 Dec 2006,$25.18B
31 Jan 2007,$25.69B
28 Feb 2007,$26.56B
30 Mar 2007,$25.51B
30 Apr 2007,$25.09B
31 May 2007,$27.1B
29 Jun 2007,$27.88B
31 Jul 2007,$26.56B
31 Aug 2007,$25.78B
28 Sep 2007,$26.02B
31 Oct 2007,$25.07B
30 Nov 2007,$21.88B
31 Dec 2007,$20.7B
31 Jan 2008,$23.15B
29 Feb 2008,$22.61B
31 Mar 2008,$21.26B
30 Apr 2008,$24.92B
30 May 2008,$24.31B
30 Jun 2008,$22.63B
31 Jul 2008,$20.89B
29 Aug 2008,$21.09B
30 Sep 2008,$22.69B
31 Oct 2008,$21.85B
28 Nov 2008,$17.17B
31 Dec 2008,$18.55B
30 Jan 2009,$17.7B
31 Mar 2009,$16.22B
30 Apr 2009,$17.66B
29 May 2009,$18.44B
30 Jun 2009,$17.56B
31 Jul 2009,$18.1B
31 Aug 2009,$18.47B
30 Sep 2009,$17.62B
30 Oct 2009,$15.99B
