timeline,Æon
31 Jan 2001,$7.76B
28 Feb 2001,$8.06B
30 Mar 2001,$7.53B
30 Apr 2001,$9.02B
31 May 2001,$7.71B
29 Jun 2001,$8.03B
31 Jul 2001,$8.93B
31 Aug 2001,$6.88B
28 Sep 2001,$6.64B
31 Oct 2001,$7.66B
30 Nov 2001,$7.56B
31 Dec 2001,$8.64B
31 Jan 2002,$7.49B
28 Feb 2002,$7.88B
29 Mar 2002,$7.4B
30 Apr 2002,$9.69B
31 May 2002,$10.51B
28 Jun 2002,$9.34B
31 Jul 2002,$9.66B
30 Aug 2002,$9.02B
30 Sep 2002,$9.11B
31 Oct 2002,$8.79B
31 Dec 2002,$8.2B
31 Jan 2003,$8.01B
28 Feb 2003,$6.99B
31 Mar 2003,$6.98B
30 Apr 2003,$7.96B
30 May 2003,$8.45B
30 Jun 2003,$8.08B
31 Jul 2003,$8.8B
29 Aug 2003,$8.48B
30 Sep 2003,$8.64B
31 Oct 2003,$10.67B
28 Nov 2003,$10.4B
31 Dec 2003,$10.55B
30 Jan 2004,$10.58B
27 Feb 2004,$11.66B
31 Mar 2004,$13.19B
30 Apr 2004,$14.22B
31 May 2004,$13.13B
30 Jun 2004,$12.87B
30 Jul 2004,$11.22B
31 Aug 2004,$10.72B
30 Sep 2004,$10.42B
29 Oct 2004,$9.97B
30 Nov 2004,$10.22B
31 Dec 2004,$10.05B
31 Jan 2005,$10.23B
28 Feb 2005,$10.69B
31 Mar 2005,$11.58B
29 Apr 2005,$10.42B
31 May 2005,$10.72B
30 Jun 2005,$10.81B
29 Jul 2005,$11.67B
31 Aug 2005,$13.17B
30 Sep 2005,$14.58B
31 Oct 2005,$15.35B
30 Nov 2005,$17.08B
30 Dec 2005,$19.19B
31 Jan 2006,$19.76B
28 Feb 2006,$17.84B
31 Mar 2006,$18.26B
28 Apr 2006,$18.13B
31 May 2006,$15.29B
30 Jun 2006,$16.05B
31 Jul 2006,$17.11B
31 Aug 2006,$18.9B
29 Sep 2006,$18.51B
31 Oct 2006,$17.62B
30 Nov 2006,$17.46B
29 Dec 2006,$16.47B
31 Jan 2007,$16.79B
28 Feb 2007,$17.41B
30 Mar 2007,$16.57B
30 Apr 2007,$15.51B
31 May 2007,$16.04B
29 Jun 2007,$16.14B
31 Jul 2007,$13.46B
31 Aug 2007,$11.15B
28 Sep 2007,$11.44B
31 Oct 2007,$12.72B
30 Nov 2007,$11.94B
31 Dec 2007,$11.55B
31 Jan 2008,$9.07B
29 Feb 2008,$9.04B
31 Mar 2008,$8.38B
30 Apr 2008,$10.71B
30 May 2008,$10.69B
30 Jun 2008,$9.25B
31 Jul 2008,$9.32B
29 Aug 2008,$8.91B
30 Sep 2008,$7.43B
31 Oct 2008,$6.53B
28 Nov 2008,$5.98B
31 Dec 2008,$6.29B
30 Jan 2009,$5.14B
27 Feb 2009,$3.95B
31 Mar 2009,$4.34B
30 Apr 2009,$5.18B
29 May 2009,$5.96B
30 Jun 2009,$6.44B
31 Jul 2009,$6.21B
31 Aug 2009,$6.66B
30 Sep 2009,$5.8B
30 Oct 2009,$5.79B
30 Nov 2009,$4.91B
31 Dec 2009,$5.31B
29 Jan 2010,$6.37B
26 Feb 2010,$6.17B
31 Mar 2010,$7.16B
30 Apr 2010,$7.29B
31 May 2010,$6.42B
30 Jun 2010,$6.37B
30 Jul 2010,$6.24B
31 Aug 2010,$6.05B
30 Sep 2010,$6.04B
29 Oct 2010,$6.39B
30 Nov 2010,$6.89B
31 Dec 2010,$6.85B
31 Jan 2011,$6.96B
28 Feb 2011,$6.95B
31 Mar 2011,$6.5B
29 Apr 2011,$6.57B
31 May 2011,$6.32B
30 Jun 2011,$6.53B
29 Jul 2011,$6.55B
31 Aug 2011,$6.48B
30 Sep 2011,$7.08B
31 Oct 2011,$6.99B
30 Nov 2011,$7.07B
30 Dec 2011,$7.13B
31 Jan 2012,$6.78B
29 Feb 2012,$7B
30 Mar 2012,$7.38B
30 Apr 2012,$7.08B
31 May 2012,$6.44B
29 Jun 2012,$6.73B
31 Jul 2012,$6.4B
31 Aug 2012,$6.1B
28 Sep 2012,$5.99B
31 Oct 2012,$5.91B
30 Nov 2012,$6.25B
31 Dec 2012,$6.69B
31 Jan 2013,$7.04B
28 Feb 2013,$7.27B
29 Mar 2013,$8.47B
30 Apr 2013,$9.62B
31 May 2013,$8.37B
28 Jun 2013,$9.17B
31 Jul 2013,$9.49B
30 Aug 2013,$9.47B
30 Sep 2013,$9.77B
31 Oct 2013,$9.71B
29 Nov 2013,$10B
31 Dec 2013,$10.52B
31 Jan 2014,$9.51B
28 Feb 2014,$9.19B
31 Mar 2014,$8.59B
30 Apr 2014,$8.72B
30 May 2014,$9.06B
30 Jun 2014,$9.2B
31 Jul 2014,$8.59B
29 Aug 2014,$8.3B
30 Sep 2014,$8.07B
31 Oct 2014,$8.09B
28 Nov 2014,$8.74B
31 Dec 2014,$8.96B
30 Jan 2015,$9.51B
27 Feb 2015,$9.74B
31 Mar 2015,$9.71B
30 Apr 2015,$10.98B
29 May 2015,$12.23B
30 Jun 2015,$12.8B
31 Jul 2015,$13.97B
31 Aug 2015,$13.41B
30 Sep 2015,$13.66B
30 Oct 2015,$13.25B
30 Nov 2015,$14.07B
31 Dec 2015,$13.76B
29 Jan 2016,$11.76B
29 Feb 2016,$10.92B
31 Mar 2016,$11.99B
29 Apr 2016,$12.12B
31 May 2016,$12.42B
30 Jun 2016,$11.7B
29 Jul 2016,$10.93B
31 Aug 2016,$10.49B
30 Sep 2016,$10.98B
31 Oct 2016,$10.72B
30 Nov 2016,$11.63B
30 Dec 2016,$12.22B
31 Jan 2017,$12.03B
28 Feb 2017,$12.38B
31 Mar 2017,$12.01B
28 Apr 2017,$12.22B
31 May 2017,$12.36B
30 Jun 2017,$12.61B
31 Jul 2017,$12.29B
31 Aug 2017,$11.99B
29 Sep 2017,$12.29B
31 Oct 2017,$12.94B
30 Nov 2017,$13.48B
29 Dec 2017,$14.06B
31 Jan 2018,$13.73B
28 Feb 2018,$13.37B
30 Mar 2018,$14.06B
30 Apr 2018,$16.19B
31 May 2018,$15.98B
29 Jun 2018,$17.54B
31 Jul 2018,$16.78B
31 Aug 2018,$17.81B
28 Sep 2018,$20.26B
31 Oct 2018,$19.17B
30 Nov 2018,$20.14B
31 Dec 2018,$15.91B
31 Jan 2019,$16.35B
28 Feb 2019,$17.41B
29 Mar 2019,$17.19B
30 Apr 2019,$15.25B
31 May 2019,$13.93B
28 Jun 2019,$13.74B
31 Jul 2019,$14.04B
30 Aug 2019,$13.98B
30 Sep 2019,$14.7B
31 Oct 2019,$16.21B
29 Nov 2019,$16.57B
31 Dec 2019,$16.74B
31 Jan 2020,$16.72B
28 Feb 2020,$14.95B
31 Mar 2020,$17.8B
1 May 2020,$15.69B
29 May 2020,$17.69B
5 Jun 2020,$18.57B
30 Jun 2020,$18.59B
10 Jul 2020,$17.71B
