company_name,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
株式会社オリエンタルランド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$5.16B,$5.13B,$4.89B,$4.74B,$4.64B,$4.82B,$4.77B,$4.78B,$4.28B,$4.27B,$4.22B,$4.82B,$4.81B,$4.7B,$4.41B,$4.37B,$4.29B,$4.69B,$4.62B,$4.65B,$4.69B,$4.69B,$4.5B,$4.35B,$4.21B,$4.32B,$4.38B,$4.3B,$4.56B,$5.1B,$5.43B,$6.27B,$6.71B,$6.64B,$6.76B,$5.88B,$4.92B,$4.89B,$4.8B,$4.69B,$4.61B,$4.63B,$4.73B,$4.54B,$4.67B,$4.51B,$4.85B,$5.16B,$5.14B,$5.24B,$6.08B,$6.74B,$6.25B,$6.83B,$6.69B,$6.8B,$6.74B,$6.81B,$6.66B,$7.16B,$5.53B,$5.56B,$5.85B,$5.47B,$6.1B,$6.37B,$7.42B,$6.69B,$7.22B,$7.54B,$7.49B,$7.22B,$7.53B,$7.86B,$8.26B,$8.73B,$9.6B,$10.15B,$9.69B,$9.96B,$9.4B,$8.7B,$9.3B,$10.65B,$11.99B,$11.63B,$9.88B,$11.29B,$11.59B,$11.51B,$11.61B,$10.99B,$10.24B,$9.9B,$10.58B,$10.31B,$10.49B,$10.21B,$11.58B,$11.86B,$13.31B,$14.0B,$14.12B,$16.29B,$16.63B,$18.06B,$20.11B,$22.78B,$26.47B,$23.2B,$22.33B,$21.48B,$21.93B,$18.63B,$18.7B,$20.99B,$20.36B,$21.07B,$22.18B,$23.53B,$23.68B,$23.43B,$22.33B,$21.92B,$21.2B,$19.99B,$20.44B,$20.22B,$20.59B,$20.33B,$19.23B,$20.01B,$20.04B,$19.87B,$21.67B,$22.13B,$22.96B,$23.43B,$24.11B,$25.63B,$28.05B,$28.4B,$29.44B,$29.55B,$30.91B,$30.73B,$32.72B,$33.86B,$34.74B,$34.22B,$33.51B,$30.8B,$32.53B,$32.59B,$33.09B,$36.07B,$37.65B,$36.56B,$40.52B,$40.52B,$44.37B,$48.91B,$51.82B,$48.73B,$46.75B,$45.41B,$44.25B,$37.9B,$42.98B,$43.73B,$48.53B,$44.78B,$40.27B,$38.27B,$43.89B,$45.05B,$50.89B,$50.33B,$47.33B,$51.52B,$48.12B,$44.48B,$42.89B,$45.62B,$44.62B,$46.91B,$50.32B,$51.85B,$53.99B,$53.22B
伊藤忠テクノソリューションズ株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2.35B,$2.36B,$2.62B,$2.67B,$2.61B,$2.88B,$3.04B,$3.32B,$3.54B,$3.21B,$3.1B,$2.91B,$2.87B,$2.78B,$2.6B,$2.46B,$2.2B,$2.31B,$2.06B,$2.08B,$2.01B,$1.91B,$1.55B,$1.49B,$1.53B,$1.66B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.96B,$1.15B,$1.26B,$1.39B,$1.62B,$1.61B,$1.55B,$1.56B,$1.42B,$1.34B,$1.41B,$1.55B,$1.6B,$1.73B,$2.01B,$1.89B,$1.84B,$1.78B,$1.55B,$1.54B,$1.55B,$1.7B,$1.72B,$1.61B,$1.63B,$1.52B,$1.6B,$1.55B,$1.52B,$1.62B,$1.75B,$1.86B,$1.82B,$1.77B,$1.84B,$1.88B,$1.93B,$2.04B,$2.01B,$2.0B,$2.12B,$2.17B,$2.3B,$2.18B,$2.21B,$2.03B,$1.91B,$2.13B,$2.17B,$2.53B,$2.43B,$2.28B,$2.15B,$2.04B,$1.75B,$1.83B,$2.02B,$1.97B,$2.14B,$2.14B,$2.37B,$2.26B,$2.21B,$2.18B,$2.29B,$2.42B,$2.4B,$2.39B,$2.3B,$2.41B,$2.22B,$2.19B,$2.44B,$2.54B,$2.79B,$3.0B,$3.11B,$2.95B,$2.72B,$2.6B,$2.71B,$2.59B,$2.47B,$1.97B,$2.3B,$2.17B,$2.2B,$2.51B,$2.24B,$2.53B,$2.57B,$2.64B,$2.64B,$3.14B,$3.1B,$3.1B,$3.11B,$3.33B,$3.31B,$3.85B,$4.01B,$3.92B,$4.17B,$4.28B,$4.49B,$4.82B,$4.99B,$4.88B,$4.48B,$4.54B,$4.63B,$4.03B,$3.9B,$4.33B,$5.02B,$5.04B,$4.36B,$4.46B,$4.33B,$4.61B,$5.34B,$5.27B,$5.54B,$5.49B,$5.63B,$5.73B,$5.97B,$5.83B,$5.96B,$5.96B,$6.27B,$6.61B,$6.1B,$6.14B,$6.72B,$7.42B,$8.23B,$8.71B,$8.02B,$8.1B,$7.34B,$7.55B,$7.56B,$7.56B,$7.15B,$7.04B,$7.38B,$7.32B,$6.9B,$6.98B,$7.02B,$7.79B,$7.32B,$7.69B,$7.92B
飯田グループホールディングス株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$4.71B,$3.99B,$3.64B,$3.87B,$3.9B,$3.91B,$3.95B,$3.79B,$3.41B,$3.13B,$3.31B,$3.76B,$3.76B,$4.21B,$3.81B,$4.13B,$5.17B,$4.96B,$5.54B,$5.46B,$4.74B,$5.8B,$6.09B,$5.75B,$5.4B,$5.26B,$5.58B,$5.32B,$5.91B,$5.3B,$5.22B,$4.93B,$5.15B,$5.16B,$5.64B,$5.64B,$5.38B,$4.83B,$4.34B,$4.51B,$4.65B,$4.76B,$4.79B,$4.75B,$5.1B,$5.51B,$5.27B,$5.41B,$5.5B,$5.15B,$5.06B,$5.45B,$5.29B,$5.44B,$5.57B,$5.22B,$5.14B,$5.22B,$5.09B,$4.84B,$5.04B,$5.17B,$5.1B,$4.78B,$4.38B,$4.43B,$4.56B,$4.21B,$4.47B,$4.61B,$4.95B,$4.88B,$4.73B,$3.79B,$3.79B,$3.66B,$4.07B,$4.2B,$4.32B,$5.29B,$5.45B,$4.93B,$5.42B,$5.35B,$5.75B,$6.2B,$6.86B,$6.89B,$7.32B,$7.49B,$6.79B,$6.83B,$7.66B,$7.2B,$6.55B,$6.44B
トレンドマイクロ株式会社,$0.71B,$0.6B,$0.61B,$0.64B,$0.6B,$0.54B,$0.31B,$0.21B,$0.23B,$0.31B,$0.37B,$3.61B,$3.65B,$3.47B,$3.94B,$4.03B,$4.29B,$3.9B,$3.49B,$3.61B,$3.73B,$3.26B,$3.28B,$2.36B,$2.31B,$2.28B,$1.93B,$1.68B,$2.39B,$2.17B,$2.16B,$2.73B,$2.65B,$3.52B,$3.22B,$3.36B,$3.49B,$3.95B,$4.2B,$4.94B,$4.71B,$5.65B,$5.32B,$5.57B,$5.54B,$5.93B,$6.31B,$6.5B,$5.46B,$5.71B,$5.41B,$4.52B,$3.99B,$4.64B,$4.73B,$4.51B,$4.22B,$4.24B,$4.76B,$5.28B,$4.62B,$4.26B,$4.88B,$5.22B,$4.54B,$4.57B,$4.45B,$4.0B,$4.09B,$4.44B,$4.14B,$4.23B,$4.0B,$4.06B,$3.9B,$4.54B,$4.86B,$4.82B,$4.43B,$5.77B,$6.02B,$6.19B,$5.42B,$4.77B,$4.49B,$4.34B,$4.66B,$4.66B,$4.4B,$4.17B,$4.5B,$4.43B,$4.71B,$2.8B,$3.31B,$3.68B,$2.98B,$2.68B,$3.3B,$3.56B,$3.75B,$3.68B,$3.9B,$4.36B,$3.99B,$3.81B,$3.68B,$4.16B,$3.94B,$3.61B,$3.84B,$3.77B,$3.16B,$2.84B,$3.0B,$2.68B,$2.93B,$2.68B,$3.04B,$3.16B,$2.92B,$2.98B,$2.58B,$2.68B,$2.88B,$2.89B,$2.81B,$2.79B,$2.83B,$3.3B,$2.7B,$2.67B,$2.81B,$2.75B,$2.95B,$2.82B,$2.49B,$2.71B,$2.72B,$2.52B,$2.53B,$2.59B,$2.49B,$3.01B,$3.1B,$3.04B,$3.11B,$3.17B,$3.63B,$3.66B,$3.78B,$3.99B,$4.24B,$4.22B,$4.65B,$4.38B,$3.79B,$4.06B,$3.8B,$3.93B,$3.75B,$3.97B,$4.4B,$3.99B,$4.41B,$4.37B,$4.29B,$3.97B,$3.98B,$4.84B,$4.71B,$4.83B,$5.19B,$4.98B,$5.4B,$5.13B,$5.01B,$5.63B,$5.97B,$5.95B,$6.06B,$4.96B,$4.98B,$5.05B,$4.85B,$4.4B,$4.52B,$4.43B,$4.24B,$4.47B,$4.96B,$5.02B,$5.3B,$5.95B,$5.99B,$5.93B,$6.73B,$7.0B,$6.68B,$6.16B,$6.7B,$7.32B,$7.68B,$7.73B,$7.14B,$7.38B,$7.71B,$7.96B,$7.5B,$7.67B,$8.0B,$8.5B,$8.87B,$7.92B,$7.9B,$7.35B,$7.12B,$6.73B,$6.61B,$6.81B,$5.97B,$5.88B,$5.84B,$6.31B,$6.29B,$6.74B,$7.24B,$6.97B,$7.07B,$6.96B,$6.55B,$6.71B,$6.71B,$7.34B,$7.55B,$8.02B,$7.84B,$7.43B,$7.1B,$7.12B,$7.07B,$6.82B,$6.61B,$6.61B,$6.67B,$6.9B,$7.11B,$7.34B,$7.97B,$7.73B,$8.21B,$8.23B
東北電力株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$11.2B,$11.55B,$11.44B,$11.05B,$10.61B,$11.71B,$11.38B,$11.4B,$11.88B,$13.09B,$13.95B,$13.91B,$13.16B,$12.61B,$12.41B,$12.17B,$11.62B,$12.17B,$10.8B,$10.69B,$11.24B,$11.09B,$11.04B,$10.54B,$10.71B,$10.38B,$9.94B,$10.16B,$10.54B,$11.44B,$10.01B,$9.68B,$10.19B,$10.71B,$10.23B,$10.12B,$9.52B,$9.04B,$8.57B,$8.86B,$8.67B,$8.86B,$8.8B,$8.18B,$8.03B,$8.09B,$8.0B,$8.5B,$8.67B,$8.42B,$7.94B,$8.38B,$8.21B,$8.57B,$8.12B,$7.95B,$8.01B,$7.96B,$8.03B,$8.37B,$6.18B,$5.24B,$4.19B,$5.11B,$4.38B,$4.45B,$4.75B,$3.82B,$3.49B,$3.25B,$3.16B,$4.2B,$4.15B,$3.69B,$3.17B,$3.51B,$2.21B,$2.41B,$2.76B,$2.59B,$3.28B,$3.53B,$3.27B,$3.15B,$3.34B,$4.58B,$5.27B,$5.45B,$5.04B,$4.75B,$5.3B,$5.21B,$4.97B,$5.2B,$4.92B,$5.25B,$4.68B,$4.28B,$4.76B,$5.23B,$5.0B,$5.05B,$5.48B,$6.04B,$6.05B,$6.18B,$6.56B,$6.16B,$6.01B,$6.63B,$7.67B,$7.3B,$8.0B,$7.33B,$7.11B,$7.52B,$6.36B,$6.69B,$6.59B,$6.34B,$6.39B,$6.2B,$6.3B,$5.67B,$5.82B,$5.71B,$5.79B,$5.66B,$5.87B,$6.5B,$6.06B,$6.35B,$6.64B,$6.54B,$7.24B,$6.84B,$6.61B,$6.62B,$6.3B,$6.52B,$6.52B,$6.34B,$6.19B,$6.18B,$6.25B,$6.21B,$6.11B,$5.96B,$6.25B,$6.14B,$6.79B,$6.29B,$6.53B,$6.38B,$6.48B,$6.43B,$6.22B,$5.6B,$4.88B,$4.8B,$4.8B,$4.68B,$4.64B,$4.91B,$4.78B,$4.76B,$4.53B,$4.25B,$4.59B,$4.54B,$4.92B,$4.52B,$4.42B,$4.72B,$4.74B,$4.23B,$4.01B,$3.8B,$3.92B,$4.11B,$4.56B,$4.41B,$4.13B,$3.86B,$3.81B,$3.85B,$3.89B,$3.47B,$3.33B,$3.56B
株式会社ネクソン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$4.16B,$4.19B,$4.41B,$5.5B,$5.81B,$4.73B,$5.93B,$6.2B,$4.32B,$4.1B,$3.73B,$3.54B,$3.33B,$3.69B,$3.23B,$3.52B,$4.55B,$4.2B,$4.21B,$4.79B,$4.15B,$4.63B,$4.44B,$3.69B,$3.76B,$3.48B,$3.35B,$3.37B,$3.09B,$3.46B,$3.71B,$3.84B,$3.49B,$3.43B,$3.66B,$4.26B,$4.28B,$4.43B,$4.71B,$4.84B,$5.76B,$6.34B,$6.38B,$6.44B,$6.41B,$6.05B,$6.45B,$7.46B,$7.57B,$7.42B,$6.48B,$7.36B,$6.38B,$7.0B,$5.8B,$5.92B,$5.45B,$6.05B,$6.87B,$6.14B,$6.5B,$6.6B,$7.16B,$6.81B,$7.29B,$8.05B,$8.59B,$8.89B,$10.63B,$11.37B,$11.83B,$12.53B,$12.77B,$14.07B,$15.06B,$13.69B,$12.47B,$14.12B,$12.62B,$12.62B,$10.96B,$11.68B,$10.14B,$10.58B,$11.14B,$13.1B,$13.93B,$13.67B,$12.6B,$12.77B,$12.34B,$13.69B,$11.29B,$10.38B,$9.9B,$11.82B,$11.28B,$11.53B,$13.75B,$13.75B,$13.44B,$17.48B,$18.97B,$20.23B,$20.67B,$20.35B,$20.62B,$22.46B,$24.62B,$25.28B,$26.5B,$27.9B,$28.33B,$22.05B,$19.41B,$18.23B,$17.35B,$15.97B,$14.85B,$18.28B,$17.91B
戸田建設株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$1.49B,$1.41B,$1.46B,$1.56B,$1.52B,$1.59B,$1.56B,$1.45B,$1.43B,$1.43B,$1.5B,$1.57B,$1.59B,$1.65B,$1.96B,$1.85B,$1.83B,$1.77B,$1.71B,$1.69B,$1.67B,$1.52B,$1.56B,$1.28B,$1.16B,$1.42B,$1.25B,$1.09B,$1.05B,$1.11B,$1.18B,$0.99B,$0.92B,$0.92B,$0.88B,$0.73B,$0.84B,$0.89B,$1.09B,$1.09B,$1.0B,$1.03B,$0.87B,$0.84B,$0.71B,$0.82B,$0.85B,$0.87B,$0.93B,$0.94B,$0.85B,$0.79B,$0.77B,$0.73B,$0.75B,$0.75B,$0.81B,$0.83B,$0.87B,$0.86B,$0.91B,$0.83B,$0.81B,$0.79B,$0.8B,$0.76B,$0.83B,$0.76B,$0.76B,$0.76B,$0.83B,$0.8B,$0.76B,$0.7B,$0.57B,$0.68B,$0.66B,$0.63B,$0.65B,$0.66B,$0.55B,$0.72B,$0.69B,$0.57B,$0.61B,$0.79B,$0.75B,$0.75B,$0.77B,$0.81B,$0.92B,$0.98B,$0.95B,$1.0B,$0.94B,$0.88B,$0.93B,$0.98B,$0.89B,$1.08B,$1.22B,$1.5B,$1.51B,$1.34B,$1.35B,$1.31B,$1.16B,$1.31B,$1.37B,$1.34B,$1.35B,$1.52B,$1.54B,$1.67B,$1.43B,$1.79B,$1.89B,$1.76B,$1.56B,$1.26B,$1.47B,$1.4B,$1.36B,$1.19B,$1.4B,$1.43B,$1.44B,$1.54B,$1.74B,$1.67B,$1.68B,$1.85B,$1.81B,$1.86B,$1.89B,$1.9B,$2.06B,$2.14B,$2.38B,$2.52B,$2.45B,$2.47B,$2.34B,$2.23B,$2.09B,$2.44B,$2.59B,$2.61B,$2.64B,$2.09B,$2.22B,$2.06B,$2.07B,$1.86B,$1.88B,$1.91B,$1.84B,$1.85B,$1.62B,$1.61B,$1.62B,$1.6B,$1.68B,$1.84B,$1.81B,$1.97B,$1.93B,$1.79B,$1.7B,$1.7B,$1.73B,$1.91B,$1.82B,$1.84B,$1.94B,$1.64B,$1.7B,$1.79B,$1.98B,$2.04B,$2.19B,$2.18B,$2.15B,$2.06B,$2.14B,$2.19B,$2.33B,$2.03B,$1.93B,$1.94B
株式会社ＳＲＡホールディングス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$87.3B,$73.9B,$96.4B,$0.1B,$0.1B,$98.5B,$98.9B,$97.5B,$0.1B,$0.1B,$98.4B,$97.8B,$0.1B,$0.11B,$0.1B,$97.9B,$96.8B,$95.7B,$93.6B,$93.3B,$97.8B,$0.11B,$0.11B,$0.11B,$0.1B,$88.3B,$91.6B,$97.0B,$96.2B,$96.6B,$96.3B,$92.3B,$92.9B,$96.4B,$0.1B,$0.11B,$0.11B,$0.11B,$96.9B,$0.1B,$0.1B,$0.1B,$0.1B,$0.1B,$0.1B,$0.11B,$0.12B,$0.12B,$0.12B,$0.13B,$0.13B,$0.12B,$0.13B,$0.12B,$0.13B,$0.13B,$0.14B,$0.15B,$0.16B,$0.16B,$0.15B,$0.15B,$0.16B,$0.16B,$0.19B,$0.18B,$0.17B,$0.16B,$0.15B,$0.15B,$0.15B,$0.17B,$0.18B,$0.17B,$0.2B,$0.24B,$0.25B,$0.23B,$0.2B,$0.26B,$0.29B,$0.31B,$0.3B,$0.27B,$0.28B,$0.28B,$0.24B,$0.21B,$0.24B,$0.24B,$0.23B,$0.27B,$0.25B,$0.27B,$0.28B,$0.31B,$0.32B,$0.32B,$0.33B,$0.33B,$0.33B,$0.31B,$0.32B,$0.35B,$0.38B,$0.43B,$0.42B,$0.37B,$0.33B,$0.34B,$0.36B,$0.33B,$0.35B,$0.36B,$0.38B,$0.35B,$0.33B,$0.28B,$0.28B,$0.28B,$0.27B,$0.26B,$0.26B,$0.29B,$0.27B,$0.26B,$0.26B,$0.29B,$0.28B,$0.29B,$0.28B,$0.25B,$0.23B,$0.23B,$0.27B,$0.26B,$0.25B,$0.26B,$0.26B,$0.25B,$0.27B,$0.29B,$0.28B,$0.28B,$0.29B,$0.29B,$0.29B,$0.29B,$0.3B,$0.31B,$0.33B,$0.32B,$0.32B,$0.32B
アステラス製薬株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$18.8B,$18.22B,$19.28B,$19.15B,$18.82B,$18.12B,$16.75B,$15.94B,$15.43B,$15.32B,$15.72B,$16.53B,$16.97B,$16.41B,$16.66B,$17.25B,$17.72B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$17.9B,$18.89B,$18.23B,$20.43B,$21.95B,$22.46B,$23.59B,$22.99B,$23.44B,$20.82B,$23.61B,$25.06B,$24.82B,$26.14B,$23.34B,$24.09B,$23.57B,$22.52B,$22.49B,$24.39B,$26.1B,$26.13B,$27.4B,$28.42B,$26.54B,$24.73B,$28.59B,$28.95B,$30.34B,$31.86B,$32.93B,$34.32B,$31.95B,$31.14B,$34.12B,$35.13B,$35.95B,$34.46B,$32.09B,$30.66B,$32.42B,$32.0B,$27.77B,$31.43B,$30.41B,$30.97B,$29.91B,$30.76B,$28.29B,$29.43B,$29.08B,$32.01B,$33.78B,$31.6B,$31.98B,$30.67B,$28.88B,$28.71B,$27.38B,$27.58B,$27.08B,$27.25B,$26.05B,$24.29B,$26.33B,$25.56B,$25.97B,$26.95B,$25.67B,$25.67B,$26.71B,$29.33B,$30.23B,$29.11B,$30.27B,$30.22B,$31.88B,$32.83B,$33.85B,$29.7B,$29.56B,$24.41B,$28.39B,$29.44B,$28.47B,$25.48B,$25.21B,$25.56B,$27.0B,$26.09B,$26.89B,$32.24B,$32.18B,$32.07B,$33.33B,$28.93B,$27.71B,$31.12B,$33.03B,$33.03B,$29.92B,$30.04B,$28.27B,$26.08B,$28.02B,$27.48B,$29.8B,$31.08B,$30.22B,$28.33B,$28.75B,$32.19B,$32.21B,$30.55B,$32.09B,$31.35B,$31.79B,$28.95B
ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$15.38B,$15.42B,$13.6B,$13.37B,$13.41B,$12.96B,$9.94B,$8.43B,$10.38B,$8.86B,$8.8B,$8.41B,$9.89B,$10.31B,$9.37B,$8.98B,$9.7B,$9.15B,$8.02B,$8.39B,$8.74B,$8.37B,$8.42B,$9.49B,$9.91B,$8.23B,$10.61B,$10.62B,$10.4B,$10.51B,$10.73B,$10.52B,$11.16B,$10.7B,$11.76B,$10.38B,$10.36B,$10.39B,$10.29B,$10.59B,$9.78B,$9.3B,$8.57B,$8.15B,$7.82B,$8.57B,$9.56B,$9.32B,$8.13B,$6.6B,$7.58B,$6.95B,$6.77B,$7.41B,$7.42B,$7.84B,$9.35B,$10.52B,$10.52B,$11.33B,$14.3B,$14.02B,$13.83B,$13.94B,$13.62B,$13.99B,$13.8B,$15.07B,$15.42B,$13.18B,$13.16B,$12.92B,$12.52B,$13.17B,$13.66B,$13.29B,$13.1B,$12.99B,$12.8B,$15.05B,$15.64B,$15.69B,$17.94B,$18.19B,$18.58B,$20.86B,$20.58B,$21.09B,$20.65B,$17.09B,$19.22B,$18.58B,$19.11B,$17.26B,$16.45B,$16.69B,$15.8B,$16.83B,$13.95B,$16.0B,$15.71B,$14.77B,$16.53B,$18.79B,$19.18B,$20.09B,$20.11B,$18.49B,$18.97B,$20.29B,$18.38B,$18.86B,$17.67B,$17.64B,$20.03B,$19.09B,$19.92B,$19.38B,$17.4B,$17.52B,$19.18B,$18.07B,$17.97B,$17.66B,$17.58B,$19.53B,$17.53B,$17.73B,$16.12B,$16.64B,$17.2B,$17.34B,$17.69B,$17.71B,$17.58B,$18.27B,$17.28B,$17.73B,$17.77B,$17.94B,$18.21B,$18.35B,$17.48B,$15.23B,$15.66B,$15.48B,$14.73B,$14.11B,$14.59B,$14.36B,$14.42B,$15.34B,$15.47B,$15.63B,$15.46B,$16.04B,$15.65B,$16.23B,$16.23B,$16.54B,$17.78B,$19.38B,$18.2B,$17.41B,$16.76B
