コード,都道府県名,緯度,経度
1,北海道,43.420962,142.781281
2,青森県,40.699056,140.726924
3,岩手県,39.511756,141.399429
4,宮城県,38.381565,140.941651
5,秋田県,39.678886,140.392163
6,山形県,38.497668,140.108578
7,福島県,37.418743,140.231252
8,茨城県,36.304975,140.385361
9,栃木県,36.683168,139.817955
10,群馬県,36.481484,138.923514
11,埼玉県,36.003615,139.368331
12,千葉県,35.473969,140.222304
13,東京都,35.686991,139.539242
14,神奈川県,35.40362,139.349213
15,新潟県,37.368708,138.888731
16,富山県,36.607484,137.287216
17,石川県,36.772391,136.778841
18,福井県,35.81261,136.184399
19,山梨県,35.609615,138.628685
20,長野県,36.149935,138.024588
21,岐阜県,35.778724,137.057877
22,静岡県,35.033282,138.312185
23,愛知県,35.002511,137.208724
24,三重県,34.484291,136.432514
25,滋賀県,35.22592,136.139617
26,京都府,35.220152,135.517902
27,大阪府,34.598366,135.545261
28,兵庫県,35.068625,134.794436
29,奈良県,34.292803,135.896845
30,和歌山県,33.848677,135.416815
31,鳥取県,35.391534,133.850276
32,島根県,34.975087,132.423277
33,岡山県,34.861972,133.83399
34,広島県,34.588492,132.792091
35,山口県,34.226281,131.430559
36,徳島県,33.915461,134.273465
37,香川県,34.21968,133.979044
38,愛媛県,33.661193,132.838719
39,高知県,33.507085,133.364174
40,福岡県,33.599679,130.682867
41,佐賀県,33.279436,130.118294
42,長崎県,32.955619,129.715641
43,熊本県,32.58723,130.807836
44,大分県,33.203809,131.411655
45,宮崎県,32.200128,131.353483
46,鹿児島県,31.355836,130.410976
47,沖縄県,26.477084,127.922927
