timeline,Inpex
31 Mar 2009,$14.2B
30 Apr 2009,$12.95B
29 May 2009,$16.02B
30 Jun 2009,$16.05B
31 Jul 2009,$15.05B
31 Aug 2009,$15.8B
30 Sep 2009,$15.92B
30 Oct 2009,$15.8B
30 Nov 2009,$14.01B
31 Dec 2009,$14.57B
29 Jan 2010,$13.72B
26 Feb 2010,$13.51B
31 Mar 2010,$14.24B
30 Apr 2010,$13.85B
31 May 2010,$11.87B
30 Jun 2010,$10.32B
30 Jul 2010,$8.76B
31 Aug 2010,$7.89B
30 Sep 2010,$8.16B
29 Oct 2010,$8.69B
30 Nov 2010,$8.94B
31 Dec 2010,$9.87B
31 Jan 2011,$10.92B
28 Feb 2011,$11.85B
31 Mar 2011,$20.32B
29 Apr 2011,$19.84B
31 May 2011,$18.94B
30 Jun 2011,$19.06B
29 Jul 2011,$19.29B
31 Aug 2011,$16.53B
30 Sep 2011,$15.59B
31 Oct 2011,$16.94B
30 Nov 2011,$16.23B
30 Dec 2011,$15.62B
31 Jan 2012,$16.75B
29 Feb 2012,$18.58B
30 Mar 2012,$18.03B
30 Apr 2012,$17.09B
31 May 2012,$14.61B
29 Jun 2012,$14.33B
31 Jul 2012,$14.13B
31 Aug 2012,$14.33B
28 Sep 2012,$14.99B
31 Oct 2012,$14.65B
30 Nov 2012,$14.23B
31 Dec 2012,$14.73B
31 Jan 2013,$17.07B
28 Feb 2013,$15.88B
29 Mar 2013,$16.1B
30 Apr 2013,$15.14B
31 May 2013,$14.07B
28 Jun 2013,$13.33B
31 Jul 2013,$13.81B
30 Aug 2013,$14.35B
30 Sep 2013,$14.92B
31 Oct 2013,$14.61B
29 Nov 2013,$15.3B
31 Dec 2013,$17.36B
31 Jan 2014,$15.71B
28 Feb 2014,$16.62B
31 Mar 2014,$17.25B
30 Apr 2014,$19.17B
30 May 2014,$18.91B
30 Jun 2014,$19.84B
31 Jul 2014,$19.79B
29 Aug 2014,$19.19B
30 Sep 2014,$19.96B
31 Oct 2014,$18.07B
28 Nov 2014,$16.2B
31 Dec 2014,$17.33B
30 Jan 2015,$16.8B
27 Feb 2015,$18.27B
31 Mar 2015,$17.07B
30 Apr 2015,$19.45B
29 May 2015,$19.71B
30 Jun 2015,$17.92B
31 Jul 2015,$17.4B
31 Aug 2015,$15.74B
30 Sep 2015,$13.7B
30 Oct 2015,$14.88B
30 Nov 2015,$15.75B
31 Dec 2015,$15.27B
29 Jan 2016,$13.57B
29 Feb 2016,$10.52B
31 Mar 2016,$10.99B
29 Apr 2016,$11.44B
31 May 2016,$11.76B
30 Jun 2016,$10.22B
29 Jul 2016,$10.52B
31 Aug 2016,$11.57B
30 Sep 2016,$11.71B
31 Oct 2016,$12.7B
30 Nov 2016,$13.98B
30 Dec 2016,$15.08B
31 Jan 2017,$14.3B
28 Feb 2017,$14.38B
31 Mar 2017,$14.1B
28 Apr 2017,$13.76B
31 May 2017,$13.12B
30 Jun 2017,$13.92B
31 Jul 2017,$13.82B
31 Aug 2017,$13.54B
29 Sep 2017,$15.4B
31 Oct 2017,$15.52B
30 Nov 2017,$16.29B
29 Dec 2017,$18.15B
31 Jan 2018,$18.28B
28 Feb 2018,$16.89B
30 Mar 2018,$16.95B
30 Apr 2018,$18.07B
31 May 2018,$15.64B
29 Jun 2018,$14.81B
31 Jul 2018,$15.85B
31 Aug 2018,$15.65B
28 Sep 2018,$18.25B
31 Oct 2018,$16.74B
30 Nov 2018,$15.52B
31 Dec 2018,$12.65B
31 Jan 2019,$13.47B
28 Feb 2019,$13.95B
29 Mar 2019,$13.6B
30 Apr 2019,$13.92B
31 May 2019,$11.32B
28 Jun 2019,$12.51B
31 Jul 2019,$12.38B
30 Aug 2019,$11.84B
30 Sep 2019,$12.76B
31 Oct 2019,$12.99B
29 Nov 2019,$13.77B
31 Dec 2019,$14.64B
31 Jan 2020,$13.27B
20 Feb 2020,$13.81B
28 Feb 2020,$12.02B
31 Mar 2020,$7.84B
30 Apr 2020,$8.9B
29 May 2020,$9.67B
30 Jun 2020,$8.59B
31 Jul 2020,$7.72B
12 Aug 2020,$9B
21 Aug 2020,$8.5B
31 Aug 2020,$8.68B
2 Sep 2020,$8.44B
17 Sep 2020,$7.76B
25 Sep 2020,$7.34B
30 Sep 2020,$7.26B
22 Oct 2020,$6.78B
29 Oct 2020,$6.5B
30 Oct 2020,$6.34B
6 Nov 2020,$6.53B
12 Nov 2020,$7.1B
19 Nov 2020,$7.41B
30 Nov 2020,$7.52B
1 Dec 2020,$7.47B
8 Dec 2020,$7.33B
14 Dec 2020,$7.5B
21 Dec 2020,$7.41B
31 Dec 2020,$7.16B
8 Jan 2021,$7.84B
22 Jan 2021,$8.01B
29 Jan 2021,$7.79B
5 Feb 2021,$8.41B
26 Feb 2021,$10.1B
5 Mar 2021,$10.45B
11 Mar 2021,$10.37B
18 Mar 2021,$10.46B
24 Mar 2021,$9.61B
30 Mar 2021,$9.97B
31 Mar 2021,$9.74B
9 Apr 2021,$9.71B
16 Apr 2021,$9.99B
22 Apr 2021,$9.47B
30 Apr 2021,$9.61B
6 May 2021,$9.99B
12 May 2021,$10.28B
18 May 2021,$10.63B
31 May 2021,$9.7B
4 Jun 2021,$10.43B
11 Jun 2021,$10.39B
30 Jun 2021,$10.68B
12 Jul 2021,$10.47B
16 Jul 2021,$10.42B
30 Jul 2021,$10.3B
6 Aug 2021,$10.37B
13 Aug 2021,$10.58B
20 Aug 2021,$9.69B
27 Aug 2021,$9.93B
3 Sep 2021,$10.26B
10 Sep 2021,$10.42B
17 Sep 2021,$10.51B
24 Sep 2021,$10.82B
2 Oct 2021,$11.6B
9 Oct 2021,$12.18B
16 Oct 2021,$12.32B
23 Oct 2021,$12.19B
30 Oct 2021,$12.23B
6 Nov 2021,$12.14B
13 Nov 2021,$12.43B
20 Nov 2021,$12.3B
27 Nov 2021,$12.16B
4 Dec 2021,$12.26B
10 Dec 2021,$12.79B
