timeline,Obayashi
31 Jan 2001,$2.75B
28 Feb 2001,$3.17B
30 Mar 2001,$3.1B
30 Apr 2001,$4.11B
31 May 2001,$3.08B
29 Jun 2001,$3.11B
31 Jul 2001,$3.17B
31 Aug 2001,$3.34B
28 Sep 2001,$3.43B
31 Oct 2001,$3.4B
30 Nov 2001,$2.9B
31 Dec 2001,$2.39B
31 Jan 2002,$2.2B
28 Feb 2002,$2.21B
29 Mar 2002,$2.4B
30 Apr 2002,$2.16B
31 May 2002,$2.42B
28 Jun 2002,$2.18B
31 Jul 2002,$2.09B
30 Aug 2002,$2.01B
30 Sep 2002,$2.02B
31 Oct 2002,$1.7B
29 Nov 2002,$1.73B
31 Dec 2002,$1.69B
28 Feb 2003,$1.81B
31 Mar 2003,$1.83B
30 Apr 2003,$2.07B
30 May 2003,$2.26B
30 Jun 2003,$2.34B
31 Jul 2003,$2.55B
29 Aug 2003,$2.43B
30 Sep 2003,$2.9B
31 Oct 2003,$3.19B
28 Nov 2003,$2.67B
31 Dec 2003,$3.05B
27 Feb 2004,$3.19B
31 Mar 2004,$3.62B
30 Apr 2004,$3.4B
31 May 2004,$3.42B
30 Jun 2004,$3.74B
30 Jul 2004,$3.37B
31 Aug 2004,$3.42B
30 Sep 2004,$3.49B
29 Oct 2004,$3.63B
30 Nov 2004,$4.07B
31 Dec 2004,$4.11B
31 Jan 2005,$4.22B
31 Mar 2005,$4.21B
29 Apr 2005,$3.91B
31 May 2005,$3.51B
30 Jun 2005,$3.8B
29 Jul 2005,$4.02B
31 Aug 2005,$4.35B
30 Sep 2005,$4.99B
31 Oct 2005,$5.4B
30 Nov 2005,$5.38B
30 Dec 2005,$5.53B
31 Jan 2006,$6B
28 Feb 2006,$5.55B
31 Mar 2006,$6.1B
28 Apr 2006,$5.54B
31 May 2006,$5.04B
30 Jun 2006,$5.01B
31 Jul 2006,$4.72B
31 Aug 2006,$5.17B
29 Sep 2006,$5.29B
31 Oct 2006,$4.88B
30 Nov 2006,$4.65B
29 Dec 2006,$4.91B
31 Jan 2007,$4.67B
28 Feb 2007,$5.07B
30 Mar 2007,$4.84B
30 Apr 2007,$4.82B
31 May 2007,$4.31B
29 Jun 2007,$4.28B
31 Jul 2007,$4.03B
31 Aug 2007,$3.81B
28 Sep 2007,$3.39B
31 Oct 2007,$3.68B
30 Nov 2007,$3.57B
31 Dec 2007,$3.58B
31 Jan 2008,$3.84B
29 Feb 2008,$3.22B
31 Mar 2008,$2.65B
30 Apr 2008,$3.19B
30 May 2008,$3.42B
30 Jun 2008,$3.05B
