timeline,Kajima
31 Jan 2001,$2.36B
28 Feb 2001,$2.67B
30 Mar 2001,$2.89B
30 Apr 2001,$3.61B
31 May 2001,$2.8B
29 Jun 2001,$2.7B
31 Jul 2001,$2.89B
31 Aug 2001,$3.21B
28 Sep 2001,$3.6B
31 Oct 2001,$3.43B
30 Nov 2001,$3.31B
31 Dec 2001,$3.02B
31 Jan 2002,$2.8B
28 Feb 2002,$2.82B
29 Mar 2002,$2.7B
30 Apr 2002,$2.71B
31 May 2002,$3.24B
28 Jun 2002,$2.88B
31 Jul 2002,$3.02B
30 Aug 2002,$2.85B
30 Sep 2002,$3.14B
31 Oct 2002,$3B
29 Nov 2002,$2.61B
31 Dec 2002,$2.25B
31 Jan 2003,$2.1B
28 Feb 2003,$2.01B
31 Mar 2003,$1.86B
30 Apr 2003,$2.15B
30 May 2003,$2.25B
30 Jun 2003,$2.42B
31 Jul 2003,$2.72B
29 Aug 2003,$2.7B
30 Sep 2003,$3.21B
31 Oct 2003,$3.49B
28 Nov 2003,$2.96B
31 Dec 2003,$2.95B
30 Jan 2004,$3.19B
27 Feb 2004,$3.24B
31 Mar 2004,$4.17B
30 Apr 2004,$3.6B
31 May 2004,$3.37B
30 Jun 2004,$3.78B
30 Jul 2004,$3.51B
31 Aug 2004,$3.53B
30 Sep 2004,$3.36B
29 Oct 2004,$3.73B
30 Nov 2004,$4.16B
31 Dec 2004,$4.11B
31 Jan 2005,$4.26B
28 Feb 2005,$4.02B
31 Mar 2005,$4.13B
29 Apr 2005,$3.72B
31 May 2005,$3.47B
30 Jun 2005,$3.82B
29 Jul 2005,$3.8B
31 Aug 2005,$4.13B
30 Sep 2005,$5.04B
31 Oct 2005,$5.6B
30 Dec 2005,$6.32B
31 Jan 2006,$7.19B
28 Feb 2006,$6.4B
31 Mar 2006,$6.85B
28 Apr 2006,$6.01B
31 May 2006,$5.12B
30 Jun 2006,$4.9B
31 Jul 2006,$4.5B
31 Aug 2006,$5.07B
29 Sep 2006,$5.04B
31 Oct 2006,$5.21B
30 Nov 2006,$5.11B
29 Dec 2006,$4.87B
31 Jan 2007,$5.2B
28 Feb 2007,$5.86B
30 Mar 2007,$5.61B
30 Apr 2007,$5.54B
31 May 2007,$4.63B
29 Jun 2007,$4.81B
31 Jul 2007,$4.56B
31 Aug 2007,$4.5B
28 Sep 2007,$3.68B
31 Oct 2007,$3.79B
30 Nov 2007,$3.39B
31 Dec 2007,$3.4B
31 Jan 2008,$3.18B
29 Feb 2008,$3.06B
31 Mar 2008,$2.63B
30 Apr 2008,$3.25B
30 May 2008,$4.01B
30 Jun 2008,$3.46B
31 Jul 2008,$3.28B
29 Aug 2008,$3.17B
30 Sep 2008,$2.92B
31 Oct 2008,$2.58B
31 Dec 2008,$2.89B
30 Jan 2009,$2.26B
27 Feb 2009,$1.92B
31 Mar 2009,$2.17B
30 Apr 2009,$2.54B
29 May 2009,$2.64B
30 Jun 2009,$2.7B
31 Jul 2009,$2.39B
31 Aug 2009,$2.34B
30 Sep 2009,$2.06B
30 Oct 2009,$1.93B
30 Nov 2009,$1.5B
31 Dec 2009,$1.68B
29 Jan 2010,$1.69B
26 Feb 2010,$1.86B
31 Mar 2010,$2.1B
30 Apr 2010,$2.19B
31 May 2010,$1.97B
30 Jun 2010,$1.86B
30 Jul 2010,$1.89B
31 Aug 2010,$1.81B
30 Sep 2010,$1.84B
29 Oct 2010,$1.73B
30 Nov 2010,$1.92B
31 Dec 2010,$1.98B
28 Feb 2011,$2B
31 Mar 2011,$2.14B
29 Apr 2011,$2.12B
31 May 2011,$2.08B
30 Jun 2011,$2.11B
29 Jul 2011,$2.19B
31 Aug 2011,$2.22B
30 Sep 2011,$2.36B
31 Oct 2011,$2.32B
30 Nov 2011,$2.1B
30 Dec 2011,$2.16B
31 Jan 2012,$2.36B
29 Feb 2012,$2.3B
30 Mar 2012,$2.31B
30 Apr 2012,$2.09B
31 May 2012,$1.88B
29 Jun 2012,$2.14B
31 Jul 2012,$2.06B
31 Aug 2012,$1.99B
28 Sep 2012,$1.95B
31 Oct 2012,$2.03B
30 Nov 2012,$2.17B
31 Dec 2012,$2.6B
31 Jan 2013,$2.51B
29 Mar 2013,$2.35B
30 Apr 2013,$2.85B
31 May 2013,$2.75B
28 Jun 2013,$3.01B
31 Jul 2013,$3.16B
30 Aug 2013,$3.22B
30 Sep 2013,$3.66B
31 Oct 2013,$3.8B
29 Nov 2013,$3.51B
31 Dec 2013,$3.62B
31 Jan 2014,$3.5B
28 Feb 2014,$3.28B
31 Mar 2014,$3.32B
30 Apr 2014,$3.56B
30 May 2014,$3.87B
30 Jun 2014,$4.1B
31 Jul 2014,$4.43B
29 Aug 2014,$4.87B
30 Sep 2014,$4.81B
31 Oct 2014,$4.51B
28 Nov 2014,$4.3B
31 Dec 2014,$4.57B
30 Jan 2015,$4.3B
27 Feb 2015,$5.19B
31 Mar 2015,$5.11B
30 Apr 2015,$5.25B
29 May 2015,$5.01B
30 Jun 2015,$5.27B
31 Jul 2015,$5.64B
31 Aug 2015,$6.25B
30 Sep 2015,$5.8B
30 Oct 2015,$6.38B
30 Nov 2015,$6.19B
31 Dec 2015,$6.63B
29 Jan 2016,$6.19B
29 Feb 2016,$5.93B
31 Mar 2016,$6.47B
29 Apr 2016,$6.27B
31 May 2016,$6.91B
30 Jun 2016,$6.48B
29 Jul 2016,$6.98B
31 Aug 2016,$6.36B
30 Sep 2016,$6.45B
31 Oct 2016,$6.49B
30 Nov 2016,$7.34B
30 Dec 2016,$7.41B
31 Jan 2017,$7.21B
