timeline,TODA corp
31 Mar 2006,$1.49B
28 Apr 2006,$1.41B
31 May 2006,$1.46B
30 Jun 2006,$1.56B
31 Jul 2006,$1.52B
31 Aug 2006,$1.59B
29 Sep 2006,$1.56B
31 Oct 2006,$1.45B
30 Nov 2006,$1.43B
31 Jan 2007,$1.5B
28 Feb 2007,$1.57B
30 Mar 2007,$1.59B
30 Apr 2007,$1.65B
31 May 2007,$1.96B
29 Jun 2007,$1.85B
31 Jul 2007,$1.83B
31 Aug 2007,$1.77B
28 Sep 2007,$1.71B
31 Oct 2007,$1.69B
30 Nov 2007,$1.67B
31 Dec 2007,$1.52B
31 Jan 2008,$1.56B
29 Feb 2008,$1.28B
31 Mar 2008,$1.16B
30 Apr 2008,$1.42B
30 May 2008,$1.25B
30 Jun 2008,$1.09B
31 Jul 2008,$1.05B
29 Aug 2008,$1.11B
30 Sep 2008,$1.18B
31 Oct 2008,$0.99B
28 Nov 2008,$0.92B
30 Jan 2009,$0.88B
27 Feb 2009,$0.73B
31 Mar 2009,$0.84B
30 Apr 2009,$0.89B
29 May 2009,$1.09B
31 Jul 2009,$1B
31 Aug 2009,$1.03B
30 Sep 2009,$0.87B
30 Oct 2009,$0.84B
30 Nov 2009,$0.71B
31 Dec 2009,$0.82B
29 Jan 2010,$0.85B
26 Feb 2010,$0.87B
31 Mar 2010,$0.93B
30 Apr 2010,$0.94B
31 May 2010,$0.85B
30 Jun 2010,$0.79B
30 Jul 2010,$0.77B
31 Aug 2010,$0.73B
30 Sep 2010,$0.75B
30 Nov 2010,$0.81B
31 Dec 2010,$0.83B
31 Jan 2011,$0.87B
28 Feb 2011,$0.86B
31 Mar 2011,$0.91B
29 Apr 2011,$0.83B
31 May 2011,$0.81B
30 Jun 2011,$0.79B
29 Jul 2011,$0.8B
31 Aug 2011,$0.76B
30 Sep 2011,$0.83B
31 Oct 2011,$0.76B
31 Jan 2012,$0.83B
29 Feb 2012,$0.8B
30 Mar 2012,$0.76B
30 Apr 2012,$0.7B
31 May 2012,$0.57B
29 Jun 2012,$0.68B
31 Jul 2012,$0.66B
31 Aug 2012,$0.63B
28 Sep 2012,$0.65B
31 Oct 2012,$0.66B
30 Nov 2012,$0.55B
31 Dec 2012,$0.72B
31 Jan 2013,$0.69B
28 Feb 2013,$0.57B
29 Mar 2013,$0.61B
30 Apr 2013,$0.79B
31 May 2013,$0.75B
31 Jul 2013,$0.77B
30 Aug 2013,$0.81B
30 Sep 2013,$0.92B
31 Oct 2013,$0.98B
29 Nov 2013,$0.95B
31 Dec 2013,$1B
31 Jan 2014,$0.94B
28 Feb 2014,$0.88B
31 Mar 2014,$0.93B
30 Apr 2014,$0.98B
30 May 2014,$0.89B
30 Jun 2014,$1.08B
31 Jul 2014,$1.22B
29 Aug 2014,$1.5B
30 Sep 2014,$1.51B
31 Oct 2014,$1.34B
28 Nov 2014,$1.35B
31 Dec 2014,$1.31B
30 Jan 2015,$1.16B
27 Feb 2015,$1.31B
31 Mar 2015,$1.37B
30 Apr 2015,$1.34B
29 May 2015,$1.35B
30 Jun 2015,$1.52B
31 Jul 2015,$1.54B
31 Aug 2015,$1.67B
30 Sep 2015,$1.43B
30 Oct 2015,$1.79B
30 Nov 2015,$1.89B
31 Dec 2015,$1.76B
29 Jan 2016,$1.56B
29 Feb 2016,$1.26B
31 Mar 2016,$1.47B
29 Apr 2016,$1.4B
31 May 2016,$1.36B
30 Jun 2016,$1.19B
29 Jul 2016,$1.4B
31 Aug 2016,$1.43B
