timeline,Sekisui House
31 Jan 2001,$6.38B
28 Feb 2001,$6.1B
30 Mar 2001,$6.42B
30 Apr 2001,$6.76B
31 May 2001,$6.92B
29 Jun 2001,$6.73B
31 Jul 2001,$6.56B
31 Aug 2001,$6.46B
28 Sep 2001,$5.89B
31 Oct 2001,$6.27B
30 Nov 2001,$5.98B
31 Dec 2001,$6.04B
31 Jan 2002,$5.8B
28 Feb 2002,$5.4B
29 Mar 2002,$5.78B
30 Apr 2002,$5.52B
31 May 2002,$5.8B
28 Jun 2002,$5.51B
31 Jul 2002,$5.72B
30 Aug 2002,$5.42B
30 Sep 2002,$5.69B
31 Oct 2002,$5.64B
29 Nov 2002,$5.55B
31 Dec 2002,$5.25B
31 Jan 2003,$5.37B
28 Feb 2003,$5.22B
31 Mar 2003,$5.28B
30 Apr 2003,$5.48B
30 May 2003,$5.61B
30 Jun 2003,$5.69B
31 Jul 2003,$5.9B
29 Aug 2003,$6.41B
30 Sep 2003,$6.32B
31 Oct 2003,$6.75B
28 Nov 2003,$6.46B
31 Dec 2003,$6.92B
30 Jan 2004,$6.5B
27 Feb 2004,$6.52B
31 Mar 2004,$7.34B
30 Apr 2004,$7.32B
31 May 2004,$7.21B
30 Jun 2004,$7.57B
30 Jul 2004,$7.01B
31 Aug 2004,$6.88B
30 Sep 2004,$6.58B
29 Oct 2004,$6.84B
30 Nov 2004,$7.11B
31 Dec 2004,$7.47B
31 Jan 2005,$7.51B
28 Feb 2005,$7.21B
31 Mar 2005,$7.16B
29 Apr 2005,$6.94B
31 May 2005,$6.67B
30 Jun 2005,$7.01B
29 Jul 2005,$7.1B
31 Aug 2005,$7.6B
30 Sep 2005,$8.7B
31 Oct 2005,$9.04B
30 Nov 2005,$8.91B
30 Dec 2005,$9.28B
31 Jan 2006,$11.43B
28 Feb 2006,$11.1B
31 Mar 2006,$10.98B
28 Apr 2006,$11.03B
31 May 2006,$9.85B
30 Jun 2006,$9.83B
31 Jul 2006,$10.16B
31 Aug 2006,$10.89B
29 Sep 2006,$11.18B
31 Oct 2006,$11.56B
30 Nov 2006,$10.95B
29 Dec 2006,$10.84B
31 Jan 2007,$10.58B
28 Feb 2007,$11.07B
30 Mar 2007,$11.47B
30 Apr 2007,$11.11B
31 May 2007,$11.21B
29 Jun 2007,$10.29B
31 Jul 2007,$9.29B
31 Aug 2007,$9.41B
28 Sep 2007,$9.04B
31 Oct 2007,$9.17B
30 Nov 2007,$8.86B
31 Dec 2007,$7.56B
31 Jan 2008,$7.37B
29 Feb 2008,$6.84B
31 Mar 2008,$5.77B
30 Apr 2008,$6.19B
30 May 2008,$6.97B
30 Jun 2008,$6.2B
31 Jul 2008,$6.36B
29 Aug 2008,$6.52B
30 Sep 2008,$5.97B
31 Oct 2008,$6.04B
28 Nov 2008,$4.86B
31 Dec 2008,$4.87B
30 Jan 2009,$4.58B
27 Feb 2009,$3.87B
31 Mar 2009,$4.43B
30 Apr 2009,$5.05B
29 May 2009,$5.49B
30 Jun 2009,$5.84B
31 Jul 2009,$5.31B
31 Aug 2009,$5.33B
30 Sep 2009,$4.83B
30 Oct 2009,$4.75B
30 Nov 2009,$4.54B
31 Dec 2009,$5B
29 Jan 2010,$5.09B
26 Feb 2010,$5.17B
31 Mar 2010,$5.56B
30 Apr 2010,$5.36B
31 May 2010,$4.9B
30 Jun 2010,$4.55B
30 Jul 2010,$4.57B
31 Aug 2010,$4.34B
30 Sep 2010,$4.47B
29 Oct 2010,$4.51B
30 Nov 2010,$4.74B
31 Dec 2010,$4.89B
31 Jan 2011,$4.76B
28 Feb 2011,$5.03B
31 Mar 2011,$4.65B
29 Apr 2011,$4.63B
31 May 2011,$4.61B
30 Jun 2011,$4.44B
29 Jul 2011,$4.38B
31 Aug 2011,$4.09B
30 Sep 2011,$4.38B
31 Oct 2011,$4.2B
30 Nov 2011,$3.96B
30 Dec 2011,$4.07B
31 Jan 2012,$4.24B
29 Feb 2012,$4.56B
30 Mar 2012,$4.8B
30 Apr 2012,$4.41B
31 May 2012,$3.93B
29 Jun 2012,$4.43B
31 Jul 2012,$4.46B
31 Aug 2012,$4.34B
28 Sep 2012,$4.59B
31 Oct 2012,$4.83B
30 Nov 2012,$4.58B
31 Dec 2012,$5.58B
31 Jan 2013,$5.96B
28 Feb 2013,$6.35B
29 Mar 2013,$7.57B
30 Apr 2013,$8.65B
31 May 2013,$7.87B
28 Jun 2013,$8.49B
31 Jul 2013,$7.5B
30 Aug 2013,$7.05B
30 Sep 2013,$7.8B
31 Oct 2013,$8.31B
29 Nov 2013,$8.37B
31 Dec 2013,$8.7B
31 Jan 2014,$8.66B
28 Feb 2014,$7.7B
31 Mar 2014,$7.74B
30 Apr 2014,$7.41B
30 May 2014,$8.09B
30 Jun 2014,$8.39B
31 Jul 2014,$8.31B
29 Aug 2014,$7.98B
30 Sep 2014,$7.88B
31 Oct 2014,$8.31B
28 Nov 2014,$9.73B
31 Dec 2014,$9.68B
30 Jan 2015,$9.31B
27 Feb 2015,$9.94B
31 Mar 2015,$10.76B
30 Apr 2015,$11.66B
29 May 2015,$12.96B
30 Jun 2015,$12.15B
31 Jul 2015,$11.53B
31 Aug 2015,$11.33B
30 Sep 2015,$11.66B
30 Oct 2015,$12.66B
30 Nov 2015,$13.02B
31 Dec 2015,$12.8B
29 Jan 2016,$11.72B
29 Feb 2016,$11.37B
31 Mar 2016,$11.74B
29 Apr 2016,$11.94B
31 May 2016,$12.27B
30 Jun 2016,$11B
29 Jul 2016,$10.68B
31 Aug 2016,$10.3B
30 Sep 2016,$10.57B
31 Oct 2016,$10.73B
30 Nov 2016,$11.56B
30 Dec 2016,$12.02B
31 Jan 2017,$11.12B
28 Feb 2017,$10.92B
31 Mar 2017,$11.14B
28 Apr 2017,$10.94B
31 May 2017,$11.24B
30 Jun 2017,$11.71B
31 Jul 2017,$11.31B
31 Aug 2017,$11.26B
29 Sep 2017,$11.22B
31 Oct 2017,$12.49B
30 Nov 2017,$12.39B
29 Dec 2017,$12.04B
31 Jan 2018,$12.16B
28 Feb 2018,$11.43B
30 Mar 2018,$11.82B
30 Apr 2018,$12.2B
31 May 2018,$11.82B
29 Jun 2018,$11.92B
31 Jul 2018,$11.57B
31 Aug 2018,$11.03B
28 Sep 2018,$10.54B
31 Oct 2018,$10.09B
30 Nov 2018,$10.38B
31 Dec 2018,$9.82B
31 Jan 2019,$9.86B
28 Feb 2019,$10.15B
29 Mar 2019,$11.11B
30 Apr 2019,$10.87B
31 May 2019,$10.57B
28 Jun 2019,$10.77B
31 Jul 2019,$11.14B
30 Aug 2019,$11.44B
30 Sep 2019,$12.81B
31 Oct 2019,$14.11B
29 Nov 2019,$14.25B
31 Dec 2019,$14.06B
31 Jan 2020,$14.23B
28 Feb 2020,$12.76B
31 Mar 2020,$10.74B
30 Apr 2020,$11.17B
29 May 2020,$12.34B
9 Jul 2020,$12.36B
31 Jul 2020,$11.53B
4 Aug 2020,$12.15B
11 Aug 2020,$12.58B
20 Aug 2020,$12.65B
4 Sep 2020,$12.49B
17 Sep 2020,$11.72B
30 Sep 2020,$11.17B
23 Oct 2020,$10.66B
30 Oct 2020,$10.38B
6 Nov 2020,$10.75B
20 Nov 2020,$11.43B
27 Nov 2020,$11.66B
30 Nov 2020,$11.28B
15 Dec 2020,$11.91B
22 Dec 2020,$12B
31 Dec 2020,$12.61B
8 Jan 2021,$12.64B
18 Jan 2021,$12.39B
22 Jan 2021,$12.78B
5 Feb 2021,$12.42B
12 Feb 2021,$12.58B
26 Feb 2021,$11.99B
11 Mar 2021,$13.46B
18 Mar 2021,$14.01B
30 Mar 2021,$14.39B
5 Apr 2021,$14.07B
9 Apr 2021,$14.23B
22 Apr 2021,$13.66B
30 Apr 2021,$13.24B
12 May 2021,$13.46B
18 May 2021,$13.73B
24 May 2021,$13.78B
4 Jun 2021,$13.39B
11 Jun 2021,$13.19B
30 Jun 2021,$13.63B
16 Jul 2021,$13.61B
21 Jul 2021,$13.45B
6 Aug 2021,$13.33B
13 Aug 2021,$13.5B
20 Aug 2021,$13.13B
27 Aug 2021,$13.12B
3 Sep 2021,$13.91B
17 Sep 2021,$14.89B
24 Sep 2021,$14.65B
2 Oct 2021,$13.84B
9 Oct 2021,$14.11B
16 Oct 2021,$14.4B
30 Oct 2021,$14.03B
6 Nov 2021,$14.38B
13 Nov 2021,$14.23B
20 Nov 2021,$14.16B
4 Dec 2021,$13.79B
9 Dec 2021,$14.09B
