timeline,Nisshin Seifun Group
31 Mar 2005,$2.13B
29 Apr 2005,$2.05B
31 May 2005,$2B
30 Jun 2005,$2.15B
29 Jul 2005,$2.21B
31 Aug 2005,$2.24B
30 Sep 2005,$2.27B
31 Oct 2005,$2.43B
30 Nov 2005,$2.4B
30 Dec 2005,$2.56B
31 Jan 2006,$2.55B
28 Feb 2006,$2.44B
31 Mar 2006,$2.72B
28 Apr 2006,$2.76B
31 May 2006,$2.74B
30 Jun 2006,$2.89B
31 Jul 2006,$2.93B
31 Aug 2006,$2.84B
29 Sep 2006,$2.79B
31 Oct 2006,$2.78B
30 Nov 2006,$2.59B
29 Dec 2006,$2.78B
31 Jan 2007,$2.81B
28 Feb 2007,$2.8B
30 Mar 2007,$2.71B
30 Apr 2007,$2.93B
31 May 2007,$2.84B
29 Jun 2007,$2.76B
31 Jul 2007,$2.51B
31 Aug 2007,$2.4B
28 Sep 2007,$2.45B
31 Oct 2007,$2.35B
30 Nov 2007,$2.48B
31 Dec 2007,$2.54B
31 Jan 2008,$2.36B
30 Apr 2008,$2.47B
30 May 2008,$2.78B
30 Jun 2008,$2.96B
31 Jul 2008,$3.29B
29 Aug 2008,$3.36B
30 Sep 2008,$3.12B
31 Oct 2008,$2.32B
28 Nov 2008,$2.37B
31 Dec 2008,$2.6B
30 Jan 2009,$2.2B
27 Feb 2009,$2.21B
31 Mar 2009,$2.34B
30 Apr 2009,$2.25B
29 May 2009,$2.39B
30 Jun 2009,$2.55B
31 Aug 2009,$2.74B
30 Sep 2009,$2.79B
30 Oct 2009,$2.71B
30 Nov 2009,$2.6B
31 Dec 2009,$2.79B
29 Jan 2010,$2.68B
26 Feb 2010,$2.6B
31 Mar 2010,$2.65B
30 Apr 2010,$2.54B
31 May 2010,$2.24B
30 Jun 2010,$2.21B
30 Jul 2010,$2.32B
31 Aug 2010,$2.35B
30 Sep 2010,$2.4B
29 Oct 2010,$2.18B
30 Nov 2010,$2.22B
31 Dec 2010,$2.26B
28 Feb 2011,$2.35B
31 Mar 2011,$2.1B
29 Apr 2011,$2.21B
31 May 2011,$2.19B
30 Jun 2011,$2.2B
29 Jul 2011,$2.16B
31 Aug 2011,$2.12B
30 Sep 2011,$2.23B
