timeline,Yakult
31 Mar 2006,$4.34B
28 Apr 2006,$4.57B
31 May 2006,$4.17B
30 Jun 2006,$4.78B
31 Jul 2006,$4.58B
31 Aug 2006,$4.92B
29 Sep 2006,$5.34B
31 Oct 2006,$4.83B
30 Nov 2006,$4.52B
29 Dec 2006,$5.26B
31 Jan 2007,$5.31B
28 Feb 2007,$5.51B
30 Mar 2007,$4.63B
30 Apr 2007,$4.93B
31 May 2007,$4.49B
29 Jun 2007,$4.79B
31 Jul 2007,$4.32B
31 Aug 2007,$4.09B
28 Sep 2007,$4.02B
31 Oct 2007,$4.09B
30 Nov 2007,$4.18B
31 Dec 2007,$3.97B
31 Jan 2008,$4.43B
29 Feb 2008,$4.52B
31 Mar 2008,$4.75B
30 Apr 2008,$4.26B
30 May 2008,$4.25B
30 Jun 2008,$4.59B
31 Jul 2008,$4.75B
29 Aug 2008,$4.78B
30 Sep 2008,$5.02B
31 Oct 2008,$3.73B
28 Nov 2008,$2.69B
31 Dec 2008,$2.93B
30 Jan 2009,$2.84B
27 Feb 2009,$2.43B
31 Mar 2009,$2.66B
30 Apr 2009,$2.56B
29 May 2009,$2.61B
30 Jun 2009,$2.79B
31 Jul 2009,$3.16B
31 Aug 2009,$3.49B
30 Sep 2009,$3.63B
30 Oct 2009,$3.61B
30 Nov 2009,$4.09B
31 Dec 2009,$4.26B
29 Jan 2010,$3.97B
26 Feb 2010,$4.09B
31 Mar 2010,$3.82B
30 Apr 2010,$3.73B
31 May 2010,$3.38B
30 Jun 2010,$3.67B
30 Jul 2010,$3.79B
31 Aug 2010,$3.8B
30 Sep 2010,$3.91B
29 Oct 2010,$3.57B
30 Nov 2010,$3.6B
31 Dec 2010,$3.55B
31 Jan 2011,$3.51B
28 Feb 2011,$3.5B
31 Mar 2011,$3.23B
29 Apr 2011,$3.4B
31 May 2011,$3.41B
30 Jun 2011,$3.52B
29 Jul 2011,$3.34B
31 Aug 2011,$3.38B
30 Sep 2011,$3.67B
31 Oct 2011,$3.38B
30 Nov 2011,$3.58B
30 Dec 2011,$3.68B
31 Jan 2012,$3.54B
29 Feb 2012,$3.81B
30 Mar 2012,$4.32B
30 Apr 2012,$4.57B
31 May 2012,$4.24B
29 Jun 2012,$4.84B
31 Jul 2012,$4.57B
31 Aug 2012,$5.1B
28 Sep 2012,$5.62B
31 Oct 2012,$5.65B
30 Nov 2012,$5.49B
31 Dec 2012,$5.73B
31 Jan 2013,$5.85B
28 Feb 2013,$5.23B
29 Mar 2013,$5.78B
30 Apr 2013,$6.46B
31 May 2013,$6.6B
28 Jun 2013,$6.25B
31 Jul 2013,$6.95B
30 Aug 2013,$6.34B
30 Sep 2013,$7.48B
31 Oct 2013,$7.57B
29 Nov 2013,$7.93B
31 Dec 2013,$8.08B
31 Jan 2014,$7.68B
28 Feb 2014,$7.43B
31 Mar 2014,$7.55B
30 Apr 2014,$8.05B
30 May 2014,$7.44B
30 Jun 2014,$7.48B
31 Jul 2014,$8.02B
29 Aug 2014,$8.33B
30 Sep 2014,$8.4B
31 Oct 2014,$8.84B
28 Nov 2014,$9.19B
31 Dec 2014,$9.3B
30 Jan 2015,$10.47B
27 Feb 2015,$11.05B
31 Mar 2015,$12.2B
30 Apr 2015,$10.98B
29 May 2015,$10.09B
30 Jun 2015,$10.59B
31 Jul 2015,$12B
31 Aug 2015,$9.89B
30 Sep 2015,$8.66B
30 Oct 2015,$9.39B
30 Nov 2015,$8.87B
31 Dec 2015,$8.69B
29 Jan 2016,$7.99B
29 Feb 2016,$7.86B
31 Mar 2016,$7.27B
29 Apr 2016,$8.03B
31 May 2016,$7.93B
30 Jun 2016,$7.7B
29 Jul 2016,$7.2B
31 Aug 2016,$6.65B
30 Sep 2016,$6.62B
31 Oct 2016,$7.14B
30 Nov 2016,$7.32B
30 Dec 2016,$7.9B
31 Jan 2017,$8.45B
28 Feb 2017,$8.94B
31 Mar 2017,$9.01B
28 Apr 2017,$9.25B
31 May 2017,$11.42B
30 Jun 2017,$11.16B
31 Jul 2017,$10.97B
31 Aug 2017,$11.11B
29 Sep 2017,$11.83B
31 Oct 2017,$13.62B
30 Nov 2017,$12.78B
29 Dec 2017,$12.4B
31 Jan 2018,$13.3B
28 Feb 2018,$10.86B
30 Mar 2018,$11.14B
30 Apr 2018,$11.04B
31 May 2018,$10.14B
29 Jun 2018,$10.48B
31 Jul 2018,$11.38B
31 Aug 2018,$11.18B
28 Sep 2018,$13.18B
31 Oct 2018,$11.34B
30 Nov 2018,$12.1B
31 Dec 2018,$10.93B
31 Jan 2019,$10.24B
28 Feb 2019,$10.57B
29 Mar 2019,$10.96B
30 Apr 2019,$10.67B
31 May 2019,$8.73B
28 Jun 2019,$8.97B
31 Jul 2019,$8.72B
30 Aug 2019,$8.65B
30 Sep 2019,$8.54B
31 Oct 2019,$8.79B
29 Nov 2019,$9.07B
31 Dec 2019,$8.52B
31 Jan 2020,$7.84B
28 Feb 2020,$6.97B
31 Mar 2020,$9.03B
30 Apr 2020,$8.86B
2 Jun 2020,$9.34B
30 Jun 2020,$8.97B
14 Jul 2020,$8.92B
31 Jul 2020,$8.49B
21 Aug 2020,$8.62B
31 Aug 2020,$8.55B
25 Sep 2020,$8.37B
30 Sep 2020,$8.27B
22 Oct 2020,$7.39B
30 Oct 2020,$7.15B
6 Nov 2020,$7.28B
16 Nov 2020,$7.16B
20 Nov 2020,$7.18B
30 Nov 2020,$7.03B
4 Dec 2020,$7.39B
11 Dec 2020,$7.56B
18 Dec 2020,$7.43B
31 Dec 2020,$7.35B
8 Jan 2021,$7.43B
15 Jan 2021,$7.63B
22 Jan 2021,$7.73B
29 Jan 2021,$7.55B
12 Feb 2021,$7.38B
19 Feb 2021,$7.93B
2 Mar 2021,$7.53B
11 Mar 2021,$7.94B
17 Mar 2021,$7.91B
26 Mar 2021,$8.17B
2 Apr 2021,$7.91B
8 Apr 2021,$7.84B
16 Apr 2021,$7.77B
22 Apr 2021,$7.5B
28 Apr 2021,$7.49B
30 Apr 2021,$7.52B
14 May 2021,$7.98B
20 May 2021,$8.25B
31 May 2021,$8.35B
4 Jun 2021,$8.44B
11 Jun 2021,$8.87B
30 Jun 2021,$8.9B
9 Jul 2021,$8.93B
16 Jul 2021,$8.99B
21 Jul 2021,$9.04B
30 Jul 2021,$9.11B
6 Aug 2021,$9.19B
13 Aug 2021,$9.55B
20 Aug 2021,$9.23B
27 Aug 2021,$9.18B
3 Sep 2021,$9.34B
10 Sep 2021,$8.34B
17 Sep 2021,$8.54B
24 Sep 2021,$8.36B
2 Oct 2021,$8.14B
9 Oct 2021,$8.22B
16 Oct 2021,$8.15B
23 Oct 2021,$8.08B
30 Oct 2021,$8.11B
6 Nov 2021,$8.25B
13 Nov 2021,$7.95B
20 Nov 2021,$8.07B
27 Nov 2021,$8.24B
4 Dec 2021,$8.06B
10 Dec 2021,$8.25B
