timeline,Meiji Holdings
30 Apr 2009,$8.72B
29 May 2009,$9.24B
30 Jun 2009,$11.23B
31 Jul 2009,$11.06B
31 Aug 2009,$11B
30 Sep 2009,$11.09B
30 Oct 2009,$10.71B
30 Nov 2009,$9.96B
30 Dec 2009,$10.16B
29 Jan 2010,$9.85B
26 Feb 2010,$10.34B
31 Mar 2010,$2.36B
30 Apr 2010,$2.21B
31 May 2010,$2.14B
30 Jun 2010,$2.37B
30 Jul 2010,$2.41B
31 Aug 2010,$2.54B
30 Sep 2010,$2.55B
29 Oct 2010,$2.41B
30 Nov 2010,$2.36B
31 Dec 2010,$2.38B
31 Jan 2011,$2.41B
28 Feb 2011,$2.5B
31 Mar 2011,$2.17B
29 Apr 2011,$2.25B
31 May 2011,$2.24B
30 Jun 2011,$2.28B
31 Aug 2011,$2.27B
30 Sep 2011,$2.48B
31 Oct 2011,$2.33B
30 Nov 2011,$2.23B
30 Dec 2011,$2.15B
31 Jan 2012,$2.24B
29 Feb 2012,$2.32B
30 Mar 2012,$2.35B
30 Apr 2012,$2.3B
31 May 2012,$2.12B
29 Jun 2012,$2.37B
31 Jul 2012,$2.33B
31 Aug 2012,$2.37B
28 Sep 2012,$2.52B
31 Oct 2012,$2.37B
30 Nov 2012,$2.38B
31 Dec 2012,$2.43B
31 Jan 2013,$2.63B
28 Feb 2013,$2.59B
29 Mar 2013,$2.83B
30 Apr 2013,$2.85B
31 May 2013,$2.9B
28 Jun 2013,$3.09B
31 Jul 2013,$2.99B
30 Aug 2013,$3.31B
30 Sep 2013,$3.49B
31 Oct 2013,$3.56B
29 Nov 2013,$3.71B
31 Dec 2013,$4.39B
31 Jan 2014,$4.19B
28 Feb 2014,$4.35B
31 Mar 2014,$4.23B
30 Apr 2014,$4.07B
30 May 2014,$4.16B
30 Jun 2014,$4.36B
31 Jul 2014,$4.82B
29 Aug 2014,$5.56B
30 Sep 2014,$5.63B
31 Oct 2014,$6B
28 Nov 2014,$6.91B
31 Dec 2014,$7.15B
30 Jan 2015,$8.45B
27 Feb 2015,$9.26B
31 Mar 2015,$9.51B
30 Apr 2015,$8.91B
29 May 2015,$9.19B
30 Jun 2015,$10.26B
31 Jul 2015,$11.44B
31 Aug 2015,$12.82B
30 Sep 2015,$11.35B
30 Oct 2015,$12.45B
30 Nov 2015,$12.79B
31 Dec 2015,$13.05B
29 Jan 2016,$12.97B
29 Feb 2016,$11.76B
31 Mar 2016,$11.75B
29 Apr 2016,$11.14B
31 May 2016,$12.99B
30 Jun 2016,$13.54B
29 Jul 2016,$13.97B
31 Aug 2016,$12.08B
30 Sep 2016,$12.97B
31 Oct 2016,$13.6B
30 Nov 2016,$11.84B
30 Dec 2016,$11.89B
31 Jan 2017,$11.34B
28 Feb 2017,$11.66B
31 Mar 2017,$11.97B
28 Apr 2017,$12.22B
31 May 2017,$11.7B
30 Jun 2017,$11.66B
31 Jul 2017,$11.23B
31 Aug 2017,$11.2B
29 Sep 2017,$11.4B
31 Oct 2017,$11.84B
30 Nov 2017,$12.5B
29 Dec 2017,$12.26B
31 Jan 2018,$11.67B
28 Feb 2018,$10.01B
30 Mar 2018,$10.36B
30 Apr 2018,$11.22B
31 May 2018,$11.85B
29 Jun 2018,$11.94B
31 Jul 2018,$11.22B
31 Aug 2018,$9.43B
28 Sep 2018,$9.75B
31 Oct 2018,$9.59B
30 Nov 2018,$11.42B
31 Dec 2018,$11.45B
31 Jan 2019,$10.75B
28 Feb 2019,$11.28B
29 Mar 2019,$11.49B
30 Apr 2019,$11.19B
31 May 2019,$9.73B
28 Jun 2019,$9.85B
31 Jul 2019,$9.68B
30 Aug 2019,$9.44B
30 Sep 2019,$10.08B
31 Oct 2019,$10B
29 Nov 2019,$9.51B
31 Dec 2019,$9.44B
31 Jan 2020,$9.87B
28 Feb 2020,$8.23B
1 Apr 2020,$9.5B
30 Apr 2020,$9.55B
29 May 2020,$10.37B
30 Jun 2020,$10.97B
17 Jul 2020,$10.88B
31 Jul 2020,$10.56B
20 Aug 2020,$11.1B
31 Aug 2020,$10.95B
16 Sep 2020,$10.26B
23 Sep 2020,$10.36B
30 Sep 2020,$10.28B
15 Oct 2020,$9.84B
22 Oct 2020,$9.5B
30 Oct 2020,$9.67B
5 Nov 2020,$9.84B
12 Nov 2020,$9.71B
19 Nov 2020,$9.78B
30 Nov 2020,$9.44B
3 Dec 2020,$9.27B
10 Dec 2020,$9.55B
17 Dec 2020,$9.27B
24 Dec 2020,$9.29B
8 Jan 2021,$9.36B
22 Jan 2021,$9.02B
29 Jan 2021,$9.13B
12 Feb 2021,$9.08B
26 Feb 2021,$8.65B
3 Mar 2021,$8.68B
18 Mar 2021,$9.13B
24 Mar 2021,$9.11B
2 Apr 2021,$9.03B
9 Apr 2021,$8.88B
22 Apr 2021,$8.74B
30 Apr 2021,$8.66B
12 May 2021,$8.56B
21 May 2021,$8.8B
28 May 2021,$8.75B
31 May 2021,$8.7B
4 Jun 2021,$8.58B
11 Jun 2021,$8.71B
30 Jun 2021,$8.51B
12 Jul 2021,$8.7B
16 Jul 2021,$8.69B
21 Jul 2021,$8.83B
30 Jul 2021,$9.01B
6 Aug 2021,$9.12B
13 Aug 2021,$8.74B
20 Aug 2021,$9.01B
27 Aug 2021,$8.88B
3 Sep 2021,$9.15B
10 Sep 2021,$9.36B
17 Sep 2021,$9.78B
24 Sep 2021,$9.63B
2 Oct 2021,$9.29B
9 Oct 2021,$9.34B
23 Oct 2021,$8.95B
30 Oct 2021,$9.18B
6 Nov 2021,$9.27B
13 Nov 2021,$9.14B
20 Nov 2021,$8.88B
27 Nov 2021,$8.75B
4 Dec 2021,$8.64B
9 Dec 2021,$8.89B
