timeline,ALSOK
31 Mar 2006,$1.68B
28 Apr 2006,$1.66B
31 May 2006,$1.69B
30 Jun 2006,$1.93B
31 Jul 2006,$1.87B
31 Aug 2006,$1.93B
29 Sep 2006,$1.87B
31 Oct 2006,$1.86B
30 Nov 2006,$2.03B
29 Dec 2006,$2.14B
31 Jan 2007,$2.1B
28 Feb 2007,$2.03B
30 Mar 2007,$1.93B
30 Apr 2007,$2.08B
31 May 2007,$2.03B
29 Jun 2007,$1.94B
31 Jul 2007,$1.76B
31 Aug 2007,$1.64B
28 Sep 2007,$1.68B
31 Oct 2007,$1.72B
30 Nov 2007,$1.65B
31 Dec 2007,$1.58B
31 Jan 2008,$1.53B
29 Feb 2008,$1.31B
31 Mar 2008,$1.25B
30 Apr 2008,$1.31B
30 May 2008,$1.3B
30 Jun 2008,$1.16B
31 Jul 2008,$1.14B
29 Aug 2008,$1.12B
30 Sep 2008,$1B
31 Oct 2008,$0.82B
28 Nov 2008,$0.9B
31 Dec 2008,$0.84B
30 Jan 2009,$0.77B
27 Feb 2009,$0.72B
31 Mar 2009,$0.75B
30 Apr 2009,$0.79B
29 May 2009,$0.77B
30 Jun 2009,$0.9B
31 Jul 2009,$0.95B
31 Aug 2009,$1.03B
30 Sep 2009,$0.94B
30 Nov 2009,$0.88B
31 Dec 2009,$0.92B
26 Feb 2010,$0.9B
31 Mar 2010,$0.96B
30 Apr 2010,$0.93B
31 May 2010,$0.84B
30 Jun 2010,$0.8B
30 Jul 2010,$0.78B
31 Aug 2010,$0.73B
30 Sep 2010,$0.77B
29 Oct 2010,$0.75B
30 Nov 2010,$0.78B
31 Dec 2010,$0.85B
31 Jan 2011,$0.88B
31 Mar 2011,$0.8B
29 Apr 2011,$0.82B
31 May 2011,$0.76B
30 Jun 2011,$0.8B
29 Jul 2011,$0.79B
31 Aug 2011,$0.75B
30 Sep 2011,$0.78B
31 Oct 2011,$0.74B
30 Nov 2011,$0.72B
31 Jan 2012,$0.75B
29 Feb 2012,$0.86B
30 Mar 2012,$0.87B
30 Apr 2012,$0.82B
31 May 2012,$0.91B
29 Jun 2012,$0.96B
31 Jul 2012,$0.94B
31 Aug 2012,$1.02B
28 Sep 2012,$0.97B
31 Oct 2012,$0.99B
30 Nov 2012,$0.96B
31 Dec 2012,$0.95B
31 Jan 2013,$1.07B
28 Feb 2013,$1.1B
29 Mar 2013,$1.22B
30 Apr 2013,$1.38B
31 May 2013,$1.47B
28 Jun 2013,$1.59B
31 Jul 2013,$1.55B
