timeline,Suntory
31 Jul 2013,$6.57B
30 Aug 2013,$9.58B
30 Sep 2013,$9.03B
31 Oct 2013,$8.8B
31 Dec 2013,$9.14B
28 Feb 2014,$9.77B
31 Mar 2014,$9.68B
30 Apr 2014,$9.71B
30 May 2014,$10.58B
30 Jun 2014,$10.83B
31 Jul 2014,$10.57B
29 Aug 2014,$10.39B
30 Sep 2014,$10.6B
31 Oct 2014,$10.83B
28 Nov 2014,$11.41B
31 Dec 2014,$11.36B
30 Jan 2015,$11.29B
27 Feb 2015,$12.23B
31 Mar 2015,$14.03B
30 Apr 2015,$13.92B
29 May 2015,$14.11B
30 Jun 2015,$13.28B
31 Jul 2015,$14.28B
31 Aug 2015,$13.98B
30 Sep 2015,$12.49B
30 Oct 2015,$13.38B
30 Nov 2015,$13.09B
31 Dec 2015,$14.49B
29 Jan 2016,$15.04B
29 Feb 2016,$13.04B
31 Mar 2016,$13.81B
29 Apr 2016,$13.05B
31 May 2016,$14.25B
30 Jun 2016,$12.59B
29 Jul 2016,$12.19B
31 Aug 2016,$11.18B
30 Sep 2016,$11.85B
31 Oct 2016,$12.52B
30 Nov 2016,$13.34B
30 Dec 2016,$13.23B
31 Jan 2017,$13.06B
28 Feb 2017,$12.83B
31 Mar 2017,$12.78B
28 Apr 2017,$13.58B
31 May 2017,$14.66B
30 Jun 2017,$14.22B
31 Jul 2017,$14.74B
31 Aug 2017,$13.84B
29 Sep 2017,$13.65B
31 Oct 2017,$14.14B
30 Nov 2017,$13.24B
29 Dec 2017,$13.65B
31 Jan 2018,$14.19B
28 Feb 2018,$13.57B
30 Mar 2018,$14.08B
30 Apr 2018,$14.68B
31 May 2018,$13.19B
29 Jun 2018,$12.89B
31 Jul 2018,$12.95B
31 Aug 2018,$12.41B
28 Sep 2018,$13.1B
31 Oct 2018,$12.55B
30 Nov 2018,$12.97B
31 Dec 2018,$13.51B
31 Jan 2019,$13.12B
28 Feb 2019,$13.38B
29 Mar 2019,$14.17B
30 Apr 2019,$13.35B
31 May 2019,$12.3B
28 Jun 2019,$12.76B
31 Jul 2019,$11.81B
30 Aug 2019,$12.48B
30 Sep 2019,$12.59B
29 Nov 2019,$12.94B
31 Dec 2019,$12.38B
31 Jan 2020,$12.65B
20 Feb 2020,$12.68B
28 Feb 2020,$11.2B
26 Mar 2020,$10.91B
31 Mar 2020,$11.13B
30 Apr 2020,$11.05B
29 May 2020,$11.99B
30 Jun 2020,$11.46B
31 Jul 2020,$10.83B
12 Aug 2020,$10.68B
21 Aug 2020,$10.49B
31 Aug 2020,$11.14B
2 Sep 2020,$10.72B
17 Sep 2020,$10.79B
30 Sep 2020,$10.76B
16 Oct 2020,$10.52B
22 Oct 2020,$10.62B
29 Oct 2020,$10.13B
30 Oct 2020,$9.81B
6 Nov 2020,$9.98B
12 Nov 2020,$10.45B
19 Nov 2020,$10.62B
27 Nov 2020,$10.57B
30 Nov 2020,$10.39B
18 Dec 2020,$10.35B
30 Dec 2020,$9.94B
8 Jan 2021,$9.89B
22 Jan 2021,$9.9B
29 Jan 2021,$9.96B
12 Feb 2021,$10.31B
26 Feb 2021,$9.93B
18 Mar 2021,$11.18B
30 Mar 2021,$11.33B
31 Mar 2021,$11.21B
5 Apr 2021,$10.84B
16 Apr 2021,$10.52B
22 Apr 2021,$10.24B
30 Apr 2021,$10.05B
12 May 2021,$10.19B
18 May 2021,$11.06B
28 May 2021,$11.16B
31 May 2021,$10.99B
4 Jun 2021,$11.78B
11 Jun 2021,$11.56B
30 Jun 2021,$11.39B
12 Jul 2021,$11.32B
16 Jul 2021,$11.24B
30 Jul 2021,$11.04B
6 Aug 2021,$10.86B
12 Aug 2021,$10.84B
13 Aug 2021,$12B
20 Aug 2021,$12.11B
27 Aug 2021,$11.96B
3 Sep 2021,$12.73B
10 Sep 2021,$13.22B
17 Sep 2021,$13.74B
24 Sep 2021,$13.57B
2 Oct 2021,$12.76B
9 Oct 2021,$12.79B
16 Oct 2021,$12.35B
23 Oct 2021,$11.98B
30 Oct 2021,$12.01B
6 Nov 2021,$11.84B
13 Nov 2021,$12.12B
20 Nov 2021,$12.13B
27 Nov 2021,$11.39B
4 Dec 2021,$11.18B
9 Dec 2021,$11.43B
