timeline,Lawson
28 Feb 2006,$3.92B
31 Mar 2006,$4B
28 Apr 2006,$3.9B
31 May 2006,$3.68B
30 Jun 2006,$3.76B
31 Jul 2006,$3.53B
31 Aug 2006,$3.7B
29 Sep 2006,$3.74B
31 Oct 2006,$3.58B
30 Nov 2006,$3.65B
29 Dec 2006,$3.84B
31 Jan 2007,$3.94B
28 Feb 2007,$4.18B
30 Mar 2007,$4.17B
30 Apr 2007,$4.07B
31 May 2007,$4B
29 Jun 2007,$3.92B
31 Jul 2007,$3.76B
31 Aug 2007,$3.55B
28 Sep 2007,$3.34B
31 Oct 2007,$3.67B
30 Nov 2007,$3.73B
31 Dec 2007,$3.65B
31 Jan 2008,$3.5B
31 Mar 2008,$3.86B
30 Apr 2008,$3.93B
30 May 2008,$4.07B
30 Jun 2008,$4.52B
31 Jul 2008,$4.88B
29 Aug 2008,$4.37B
30 Sep 2008,$4.27B
31 Oct 2008,$4.17B
28 Nov 2008,$4.18B
31 Dec 2008,$4.54B
30 Jan 2009,$3.9B
27 Feb 2009,$3.72B
31 Mar 2009,$3.57B
30 Apr 2009,$3.34B
29 May 2009,$3.46B
30 Jun 2009,$3.71B
31 Jul 2009,$3.44B
31 Aug 2009,$3.53B
30 Sep 2009,$3.65B
30 Oct 2009,$3.54B
30 Nov 2009,$3.74B
31 Dec 2009,$3.59B
26 Feb 2010,$3.4B
31 Mar 2010,$3.49B
30 Apr 2010,$3.64B
31 May 2010,$3.39B
30 Jun 2010,$3.4B
30 Jul 2010,$3.47B
31 Aug 2010,$3.35B
29 Oct 2010,$3.2B
30 Nov 2010,$3.25B
31 Dec 2010,$3.51B
31 Jan 2011,$3.58B
28 Feb 2011,$3.52B
31 Mar 2011,$3.51B
29 Apr 2011,$3.47B
31 May 2011,$3.55B
30 Jun 2011,$3.71B
29 Jul 2011,$3.67B
30 Sep 2011,$3.86B
31 Oct 2011,$3.91B
30 Nov 2011,$4.03B
30 Dec 2011,$4.23B
31 Jan 2012,$4.08B
29 Feb 2012,$4.21B
30 Mar 2012,$4.59B
30 Apr 2012,$4.66B
31 May 2012,$4.84B
29 Jun 2012,$4.92B
31 Jul 2012,$4.95B
31 Aug 2012,$5.29B
31 Oct 2012,$5.17B
30 Nov 2012,$4.92B
31 Dec 2012,$5.17B
31 Jan 2013,$5.84B
28 Feb 2013,$6.07B
29 Mar 2013,$6.39B
30 Apr 2013,$6.77B
31 May 2013,$6.47B
28 Jun 2013,$6.67B
31 Jul 2013,$6.77B
30 Aug 2013,$6.52B
30 Sep 2013,$6.78B
31 Oct 2013,$6.93B
29 Nov 2013,$6.62B
31 Dec 2013,$6.93B
31 Jan 2014,$6.59B
28 Feb 2014,$6.22B
31 Mar 2014,$6.43B
30 Apr 2014,$6.26B
30 May 2014,$6.44B
30 Jun 2014,$6.7B
31 Jul 2014,$6.82B
29 Aug 2014,$6.58B
30 Sep 2014,$6.76B
31 Oct 2014,$6.62B
28 Nov 2014,$6.45B
31 Dec 2014,$6.42B
30 Jan 2015,$6.8B
27 Feb 2015,$6.89B
31 Mar 2015,$7.35B
30 Apr 2015,$7.6B
29 May 2015,$7.66B
30 Jun 2015,$7.39B
31 Jul 2015,$8.14B
31 Aug 2015,$7.64B
30 Sep 2015,$7.77B
30 Oct 2015,$7.93B
30 Nov 2015,$8.25B
31 Dec 2015,$8.69B
29 Jan 2016,$8.33B
29 Feb 2016,$7.67B
31 Mar 2016,$8.31B
29 Apr 2016,$7.5B
31 May 2016,$7.74B
30 Jun 2016,$7.21B
29 Jul 2016,$6.98B
31 Aug 2016,$6.4B
30 Sep 2016,$7.03B
31 Oct 2016,$7.04B
30 Nov 2016,$6.99B
30 Dec 2016,$7.24B
31 Jan 2017,$7.27B
28 Feb 2017,$6.84B
31 Mar 2017,$6.66B
28 Apr 2017,$6.53B
31 May 2017,$6.66B
30 Jun 2017,$6.93B
31 Jul 2017,$6.63B
31 Aug 2017,$6.52B
29 Sep 2017,$6.57B
31 Oct 2017,$6.53B
30 Nov 2017,$6.83B
29 Dec 2017,$6.61B
31 Jan 2018,$6.51B
28 Feb 2018,$6.17B
30 Mar 2018,$6.4B
30 Apr 2018,$6.38B
31 May 2018,$6.26B
29 Jun 2018,$6.11B
31 Jul 2018,$5.92B
31 Aug 2018,$5.75B
28 Sep 2018,$6.11B
31 Oct 2018,$6.3B
30 Nov 2018,$6.56B
31 Dec 2018,$6.13B
31 Jan 2019,$5.92B
28 Feb 2019,$5.96B
29 Mar 2019,$5.42B
30 Apr 2019,$4.58B
31 May 2019,$4.47B
28 Jun 2019,$4.56B
31 Jul 2019,$4.81B
30 Aug 2019,$4.65B
30 Sep 2019,$4.88B
31 Oct 2019,$5.28B
29 Nov 2019,$5.26B
31 Dec 2019,$5.46B
31 Jan 2020,$5.6B
28 Feb 2020,$5.06B
31 Mar 2020,$5.23B
