timeline,McDonald's Japan
29 Dec 2006,$2.33B
31 Jan 2007,$2.41B
28 Feb 2007,$2.31B
30 Mar 2007,$2.23B
30 Apr 2007,$2.26B
31 May 2007,$2.35B
29 Jun 2007,$2.36B
31 Jul 2007,$2.39B
31 Aug 2007,$2.31B
28 Sep 2007,$2.35B
30 Nov 2007,$2.2B
31 Dec 2007,$2.19B
31 Jan 2008,$2.03B
29 Feb 2008,$1.98B
31 Mar 2008,$1.87B
30 Apr 2008,$1.92B
30 May 2008,$2.03B
30 Jun 2008,$1.89B
31 Jul 2008,$1.87B
29 Aug 2008,$1.77B
30 Sep 2008,$1.69B
31 Oct 2008,$1.75B
28 Nov 2008,$2.05B
31 Dec 2008,$2.11B
30 Jan 2009,$2.1B
27 Feb 2009,$2.09B
31 Mar 2009,$1.97B
30 Apr 2009,$1.99B
29 May 2009,$2.19B
30 Jun 2009,$2.1B
31 Jul 2009,$2.02B
31 Aug 2009,$2.04B
30 Sep 2009,$2.11B
30 Oct 2009,$2.14B
30 Nov 2009,$2.17B
31 Dec 2009,$2.09B
29 Jan 2010,$2.15B
26 Feb 2010,$2.11B
31 Mar 2010,$2.23B
30 Apr 2010,$2.35B
31 May 2010,$2.37B
30 Jun 2010,$2.33B
30 Jul 2010,$2.27B
31 Aug 2010,$2.35B
30 Sep 2010,$2.36B
29 Oct 2010,$2.4B
30 Nov 2010,$2.44B
31 Dec 2010,$2.39B
31 Jan 2011,$2.35B
29 Apr 2011,$2.43B
31 May 2011,$2.46B
30 Jun 2011,$2.4B
29 Jul 2011,$2.37B
31 Aug 2011,$2.39B
30 Sep 2011,$2.41B
31 Oct 2011,$2.43B
30 Nov 2011,$2.44B
31 Jan 2012,$2.43B
29 Feb 2012,$2.49B
30 Mar 2012,$2.58B
30 Apr 2012,$2.66B
31 May 2012,$2.68B
29 Jun 2012,$2.64B
31 Jul 2012,$2.65B
31 Aug 2012,$2.6B
28 Sep 2012,$2.61B
31 Oct 2012,$2.6B
30 Nov 2012,$2.76B
31 Dec 2012,$2.68B
31 Jan 2013,$2.75B
28 Feb 2013,$2.72B
29 Mar 2013,$3B
30 Apr 2013,$3.33B
31 May 2013,$3.28B
28 Jun 2013,$3.23B
31 Jul 2013,$3.19B
30 Aug 2013,$3.02B
30 Sep 2013,$3.18B
31 Oct 2013,$3.19B
29 Nov 2013,$3.3B
31 Dec 2013,$3.15B
28 Feb 2014,$3.19B
31 Mar 2014,$3.26B
30 Apr 2014,$3.32B
30 May 2014,$3.38B
30 Jun 2014,$3.34B
31 Jul 2014,$3.04B
29 Aug 2014,$3.01B
30 Sep 2014,$3.18B
31 Oct 2014,$3.19B
28 Nov 2014,$3.18B
31 Dec 2014,$3.08B
30 Jan 2015,$3.03B
27 Feb 2015,$3.09B
31 Mar 2015,$3.12B
30 Apr 2015,$3.04B
29 May 2015,$3.05B
30 Jun 2015,$3.03B
