timeline,Kikkoman
30 Mar 2007,$2.63B
30 Apr 2007,$3.05B
31 May 2007,$3.17B
29 Jun 2007,$3.19B
31 Jul 2007,$2.81B
31 Aug 2007,$2.72B
28 Sep 2007,$3.01B
31 Oct 2007,$2.53B
30 Nov 2007,$2.65B
31 Dec 2007,$2.67B
31 Jan 2008,$2.24B
29 Feb 2008,$2.11B
31 Mar 2008,$2.13B
30 Apr 2008,$2.15B
30 May 2008,$2.29B
30 Jun 2008,$2.26B
31 Jul 2008,$2.33B
29 Aug 2008,$2.36B
30 Sep 2008,$2.47B
31 Oct 2008,$1.68B
28 Nov 2008,$1.87B
31 Dec 2008,$1.83B
30 Jan 2009,$1.52B
27 Feb 2009,$1.31B
31 Mar 2009,$1.5B
30 Apr 2009,$1.6B
29 May 2009,$1.75B
30 Jun 2009,$1.77B
31 Jul 2009,$2.02B
31 Aug 2009,$2.1B
30 Sep 2009,$2.04B
30 Oct 2009,$1.93B
30 Nov 2009,$1.83B
31 Dec 2009,$2.07B
29 Jan 2010,$1.93B
26 Feb 2010,$1.92B
31 Mar 2010,$1.99B
30 Apr 2010,$1.91B
31 May 2010,$1.71B
30 Jun 2010,$1.7B
30 Jul 2010,$1.67B
31 Aug 2010,$1.56B
30 Sep 2010,$1.68B
29 Oct 2010,$1.58B
30 Nov 2010,$1.64B
31 Dec 2010,$1.66B
31 Jan 2011,$1.62B
28 Feb 2011,$1.63B
31 Mar 2011,$1.42B
29 Apr 2011,$1.45B
31 May 2011,$1.5B
30 Jun 2011,$1.53B
29 Jul 2011,$1.54B
31 Aug 2011,$1.48B
30 Sep 2011,$1.61B
31 Oct 2011,$1.58B
30 Nov 2011,$1.52B
30 Dec 2011,$1.6B
29 Feb 2012,$1.62B
30 Mar 2012,$1.73B
30 Apr 2012,$1.7B
31 May 2012,$1.68B
29 Jun 2012,$1.78B
31 Aug 2012,$1.87B
28 Sep 2012,$1.93B
31 Oct 2012,$1.92B
30 Nov 2012,$2.11B
31 Dec 2012,$2.22B
31 Jan 2013,$2.47B
28 Feb 2013,$2.61B
29 Mar 2013,$3B
30 Apr 2013,$3.26B
31 May 2013,$2.93B
28 Jun 2013,$2.91B
31 Jul 2013,$2.97B
30 Aug 2013,$2.95B
30 Sep 2013,$3.16B
31 Oct 2013,$3.15B
29 Nov 2013,$3.46B
31 Dec 2013,$3.5B
31 Jan 2014,$3.23B
28 Feb 2014,$3.48B
31 Mar 2014,$3.43B
30 Apr 2014,$3.66B
30 May 2014,$3.61B
30 Jun 2014,$3.72B
31 Jul 2014,$4.02B
30 Sep 2014,$4.11B
31 Oct 2014,$4.45B
28 Nov 2014,$4.98B
31 Dec 2014,$5.23B
30 Jan 2015,$6.16B
27 Feb 2015,$6.11B
31 Mar 2015,$6.57B
30 Apr 2015,$5.92B
29 May 2015,$5.99B
30 Jun 2015,$6.59B
31 Jul 2015,$7.47B
31 Aug 2015,$6.73B
30 Sep 2015,$5.65B
30 Oct 2015,$6.57B
30 Nov 2015,$6.98B
31 Dec 2015,$7.28B
29 Jan 2016,$6.82B
29 Feb 2016,$6.4B
31 Mar 2016,$6.29B
29 Apr 2016,$6.01B
31 May 2016,$6.77B
30 Jun 2016,$6.37B
29 Jul 2016,$6.21B
31 Aug 2016,$5.53B
30 Sep 2016,$5.47B
31 Oct 2016,$5.69B
30 Nov 2016,$5.95B
30 Dec 2016,$6.36B
31 Jan 2017,$6.04B
