timeline,Toyo Suisan
31 Mar 2009,$1.82B
30 Apr 2009,$1.73B
29 May 2009,$1.89B
30 Jun 2009,$1.79B
31 Jul 2009,$2.13B
30 Sep 2009,$2.18B
30 Oct 2009,$2.14B
30 Nov 2009,$2.12B
31 Dec 2009,$1.92B
29 Jan 2010,$2.14B
26 Feb 2010,$2.23B
31 Mar 2010,$2.17B
30 Apr 2010,$2.04B
31 May 2010,$1.81B
30 Jun 2010,$1.91B
30 Jul 2010,$1.68B
31 Aug 2010,$1.59B
30 Sep 2010,$1.55B
30 Nov 2010,$1.59B
31 Dec 2010,$1.62B
31 Jan 2011,$1.57B
28 Feb 2011,$1.66B
31 Mar 2011,$1.62B
29 Apr 2011,$1.68B
31 May 2011,$1.71B
29 Jul 2011,$1.72B
31 Aug 2011,$1.82B
30 Sep 2011,$1.91B
31 Oct 2011,$1.81B
30 Nov 2011,$1.7B
30 Dec 2011,$1.68B
31 Jan 2012,$1.69B
29 Feb 2012,$1.88B
30 Mar 2012,$1.94B
30 Apr 2012,$1.85B
31 May 2012,$1.81B
29 Jun 2012,$1.92B
31 Jul 2012,$1.7B
31 Aug 2012,$1.75B
28 Sep 2012,$1.76B
31 Oct 2012,$1.79B
30 Nov 2012,$2.04B
31 Dec 2012,$2.07B
31 Jan 2013,$2.29B
28 Feb 2013,$2.45B
29 Mar 2013,$2.6B
30 Apr 2013,$2.98B
31 May 2013,$2.94B
28 Jun 2013,$2.97B
31 Jul 2013,$2.76B
30 Aug 2013,$2.67B
30 Sep 2013,$2.59B
31 Oct 2013,$2.81B
29 Nov 2013,$2.69B
31 Dec 2013,$2.85B
31 Jan 2014,$2.92B
28 Feb 2014,$3.08B
31 Mar 2014,$3.1B
30 Apr 2014,$2.95B
30 May 2014,$2.79B
30 Jun 2014,$2.82B
31 Jul 2014,$2.83B
29 Aug 2014,$2.93B
30 Sep 2014,$3.28B
31 Oct 2014,$3.45B
28 Nov 2014,$3.62B
31 Dec 2014,$3.51B
30 Jan 2015,$3.76B
27 Feb 2015,$3.85B
31 Mar 2015,$3.81B
30 Apr 2015,$3.77B
29 May 2015,$3.89B
30 Jun 2015,$4.02B
31 Jul 2015,$4.22B
31 Aug 2015,$4.1B
30 Sep 2015,$4.07B
30 Oct 2015,$4.04B
30 Nov 2015,$3.96B
31 Dec 2015,$3.81B
29 Jan 2016,$3.73B
29 Feb 2016,$3.64B
29 Apr 2016,$3.51B
31 May 2016,$3.87B
30 Jun 2016,$3.73B
29 Jul 2016,$4.13B
31 Aug 2016,$3.82B
30 Sep 2016,$3.85B
31 Oct 2016,$3.83B
30 Nov 2016,$3.65B
30 Dec 2016,$3.82B
31 Jan 2017,$3.63B
28 Feb 2017,$3.71B
31 Mar 2017,$3.73B
28 Apr 2017,$3.77B
31 May 2017,$3.89B
30 Jun 2017,$3.88B
31 Jul 2017,$3.61B
31 Aug 2017,$3.66B
29 Sep 2017,$3.72B
31 Oct 2017,$3.92B
30 Nov 2017,$4.31B
29 Dec 2017,$4.34B
31 Jan 2018,$3.99B
28 Feb 2018,$3.77B
30 Mar 2018,$3.72B
