timeline,Nissin Foods
31 Mar 2006,$3.9B
28 Apr 2006,$3.89B
31 May 2006,$4.21B
30 Jun 2006,$4.33B
31 Jul 2006,$4.5B
31 Aug 2006,$4.24B
29 Sep 2006,$4.03B
31 Oct 2006,$3.78B
30 Nov 2006,$4.21B
29 Dec 2006,$4.72B
31 Jan 2007,$4.7B
28 Feb 2007,$4.53B
30 Mar 2007,$4.63B
30 Apr 2007,$4.85B
31 May 2007,$4.73B
29 Jun 2007,$4.45B
31 Jul 2007,$3.93B
31 Aug 2007,$3.97B
28 Sep 2007,$4.42B
31 Oct 2007,$3.9B
30 Nov 2007,$4.27B
31 Dec 2007,$3.89B
31 Jan 2008,$3.83B
29 Feb 2008,$3.74B
31 Mar 2008,$3.62B
30 Apr 2008,$3.94B
30 May 2008,$4.12B
30 Jun 2008,$3.84B
31 Jul 2008,$3.82B
29 Aug 2008,$3.89B
30 Sep 2008,$4.05B
31 Oct 2008,$3B
28 Nov 2008,$3.67B
31 Dec 2008,$3.36B
30 Jan 2009,$3.34B
27 Feb 2009,$3.22B
31 Mar 2009,$3.13B
30 Apr 2009,$2.88B
29 May 2009,$3.2B
30 Jun 2009,$3.15B
31 Jul 2009,$3.26B
31 Aug 2009,$3.31B
30 Sep 2009,$3.72B
30 Oct 2009,$3.46B
30 Nov 2009,$3.42B
31 Dec 2009,$3.27B
29 Jan 2010,$3.22B
26 Feb 2010,$3.32B
31 Mar 2010,$3.39B
30 Apr 2010,$3.4B
31 May 2010,$3.25B
30 Jun 2010,$3.52B
30 Jul 2010,$3.26B
31 Aug 2010,$3.23B
30 Sep 2010,$3.25B
29 Oct 2010,$3.14B
30 Nov 2010,$3.11B
31 Dec 2010,$3.14B
28 Feb 2011,$3.16B
29 Apr 2011,$3.09B
31 May 2011,$3.17B
30 Jun 2011,$2.86B
29 Jul 2011,$2.87B
31 Aug 2011,$2.89B
30 Sep 2011,$3.05B
31 Oct 2011,$2.94B
30 Nov 2011,$2.88B
30 Dec 2011,$2.94B
31 Jan 2012,$2.83B
29 Feb 2012,$2.98B
30 Mar 2012,$3.2B
30 Apr 2012,$3.11B
31 May 2012,$2.96B
29 Jun 2012,$3.14B
31 Jul 2012,$3.1B
31 Aug 2012,$3.13B
28 Sep 2012,$3.17B
31 Oct 2012,$2.93B
30 Nov 2012,$3.16B
31 Dec 2012,$3.18B
31 Jan 2013,$3.38B
28 Feb 2013,$3.58B
29 Mar 2013,$4.26B
30 Apr 2013,$4.25B
31 May 2013,$3.79B
28 Jun 2013,$3.9B
31 Jul 2013,$3.79B
30 Aug 2013,$3.77B
30 Sep 2013,$3.92B
31 Oct 2013,$4.08B
29 Nov 2013,$4B
31 Dec 2013,$4.32B
31 Jan 2014,$4.33B
28 Feb 2014,$4.42B
31 Mar 2014,$4.53B
30 Apr 2014,$4.75B
30 May 2014,$4.81B
30 Jun 2014,$5.07B
31 Jul 2014,$5.53B
29 Aug 2014,$5.79B
30 Sep 2014,$5.54B
31 Oct 2014,$5.7B
28 Nov 2014,$5.78B
31 Dec 2014,$5.61B
30 Jan 2015,$6.2B
27 Feb 2015,$5.77B
31 Mar 2015,$5.75B
30 Apr 2015,$5.58B
29 May 2015,$5.15B
30 Jun 2015,$5.22B
31 Jul 2015,$5.44B
31 Aug 2015,$5.6B
30 Sep 2015,$5.34B
30 Oct 2015,$5.45B
30 Nov 2015,$6.08B
31 Dec 2015,$6.25B
29 Jan 2016,$5.93B
29 Feb 2016,$5.04B
29 Apr 2016,$4.84B
31 May 2016,$5.3B
30 Jun 2016,$5.33B
29 Jul 2016,$5.56B
31 Aug 2016,$5.47B
30 Sep 2016,$5.84B
31 Oct 2016,$5.79B
30 Nov 2016,$5.68B
30 Dec 2016,$5.85B
31 Jan 2017,$5.68B
28 Feb 2017,$5.99B
31 Mar 2017,$5.66B
28 Apr 2017,$5.86B
31 May 2017,$6.42B
30 Jun 2017,$6.45B
31 Jul 2017,$6.36B
31 Aug 2017,$6.22B
29 Sep 2017,$6.28B
31 Oct 2017,$6.55B
30 Nov 2017,$7.45B
29 Dec 2017,$7.56B
31 Jan 2018,$7.42B
28 Feb 2018,$6.72B
30 Mar 2018,$6.78B
30 Apr 2018,$7.39B
31 May 2018,$7.44B
29 Jun 2018,$6.53B
31 Jul 2018,$6.28B
31 Aug 2018,$5.78B
28 Sep 2018,$6.36B
31 Oct 2018,$5.94B
30 Nov 2018,$5.97B
31 Dec 2018,$5.62B
31 Jan 2019,$5.63B
28 Feb 2019,$6.3B
29 Mar 2019,$6.19B
30 Apr 2019,$6.73B
31 May 2019,$6.05B
28 Jun 2019,$6.38B
31 Jul 2019,$6.24B
30 Aug 2019,$6.77B
30 Sep 2019,$7.17B
31 Oct 2019,$7.53B
31 Dec 2019,$7.46B
31 Jan 2020,$7.59B
28 Feb 2020,$7.81B
26 Mar 2020,$8.14B
31 Mar 2020,$8.27B
1 May 2020,$8.28B
29 May 2020,$8.27B
30 Jun 2020,$8.77B
8 Jul 2020,$8.75B
14 Jul 2020,$8.81B
31 Jul 2020,$8.71B
12 Aug 2020,$9.72B
19 Aug 2020,$9.94B
31 Aug 2020,$9.74B
2 Sep 2020,$9.73B
17 Sep 2020,$9.12B
25 Sep 2020,$9.39B
30 Sep 2020,$9.1B
16 Oct 2020,$8.69B
22 Oct 2020,$8.49B
30 Oct 2020,$8.31B
6 Nov 2020,$8.42B
13 Nov 2020,$7.96B
20 Nov 2020,$8.04B
30 Nov 2020,$7.92B
4 Dec 2020,$7.95B
18 Dec 2020,$7.88B
31 Dec 2020,$8.12B
8 Jan 2021,$8.37B
29 Jan 2021,$8.32B
4 Feb 2021,$7.77B
5 Feb 2021,$7.82B
12 Feb 2021,$7.86B
19 Feb 2021,$7.81B
26 Feb 2021,$7.4B
12 Mar 2021,$7.37B
18 Mar 2021,$7.48B
24 Mar 2021,$7.68B
31 Mar 2021,$7.54B
9 Apr 2021,$7.44B
16 Apr 2021,$7.33B
22 Apr 2021,$7.27B
6 May 2021,$7.19B
12 May 2021,$7.35B
18 May 2021,$7.4B
31 May 2021,$7.29B
4 Jun 2021,$7.1B
11 Jun 2021,$7.25B
30 Jun 2021,$7.35B
16 Jul 2021,$7.23B
30 Jul 2021,$7.38B
6 Aug 2021,$7.65B
13 Aug 2021,$7.57B
20 Aug 2021,$7.97B
27 Aug 2021,$8.02B
3 Sep 2021,$8.07B
10 Sep 2021,$8.51B
17 Sep 2021,$8.72B
24 Sep 2021,$8.67B
2 Oct 2021,$8.22B
9 Oct 2021,$8.17B
16 Oct 2021,$8.01B
23 Oct 2021,$7.9B
6 Nov 2021,$8.06B
13 Nov 2021,$8.08B
20 Nov 2021,$7.74B
27 Nov 2021,$7.64B
4 Dec 2021,$7.62B
10 Dec 2021,$7.55B
