timeline,Monotaro
29 Dec 2006,$0.15B
31 Jan 2007,$0.13B
28 Feb 2007,$0.1B
30 Apr 2007,$94.1M
31 May 2007,$76.2M
29 Jun 2007,$81.1M
31 Jul 2007,$76.2M
31 Aug 2007,$71M
28 Sep 2007,$73.8M
31 Oct 2007,$79.5M
30 Nov 2007,$66.9M
31 Dec 2007,$53.1M
31 Jan 2008,$43M
29 Feb 2008,$77.9M
31 Mar 2008,$77.1M
30 Apr 2008,$84.8M
30 May 2008,$0.17B
30 Jun 2008,$0.15B
30 Sep 2008,$0.14B
31 Oct 2008,$0.1B
31 Dec 2008,$93.7M
30 Jan 2009,$99.3M
27 Feb 2009,$68.1M
31 Mar 2009,$77.9M
30 Apr 2009,$73.6M
29 May 2009,$83.1M
30 Jun 2009,$96.3M
31 Jul 2009,$0.11B
31 Aug 2009,$0.14B
30 Sep 2009,$0.12B
30 Oct 2009,$0.11B
30 Nov 2009,$88.5M
31 Dec 2009,$69.2M
29 Jan 2010,$79.5M
26 Feb 2010,$76.3M
31 Mar 2010,$0.1B
30 Apr 2010,$0.11B
31 May 2010,$0.1B
30 Jun 2010,$89.9M
30 Jul 2010,$0.1B
31 Aug 2010,$97.1M
30 Sep 2010,$99.1M
29 Oct 2010,$99.2M
30 Nov 2010,$94.1M
31 Dec 2010,$0.1B
31 Jan 2011,$0.11B
28 Feb 2011,$0.13B
31 May 2011,$0.18B
30 Jun 2011,$0.19B
29 Jul 2011,$0.24B
31 Aug 2011,$0.22B
30 Sep 2011,$0.2B
30 Dec 2011,$0.21B
31 Jan 2012,$0.23B
29 Feb 2012,$0.26B
30 Mar 2012,$0.34B
30 Apr 2012,$0.38B
31 May 2012,$0.42B
29 Jun 2012,$0.46B
31 Jul 2012,$0.42B
31 Aug 2012,$0.44B
28 Sep 2012,$0.56B
30 Nov 2012,$0.64B
31 Dec 2012,$0.74B
31 Jan 2013,$0.9B
28 Feb 2013,$1.08B
29 Mar 2013,$1.21B
30 Apr 2013,$1.32B
31 May 2013,$1.49B
28 Jun 2013,$1.29B
31 Jul 2013,$1.22B
30 Aug 2013,$1.31B
30 Sep 2013,$1.54B
31 Oct 2013,$1.23B
29 Nov 2013,$1.11B
31 Dec 2013,$1.15B
31 Jan 2014,$1.19B
28 Feb 2014,$1.23B
31 Mar 2014,$1.41B
30 Apr 2014,$1.11B
30 May 2014,$1.26B
30 Jun 2014,$1.51B
31 Jul 2014,$1.5B
29 Aug 2014,$1.56B
30 Sep 2014,$1.48B
31 Oct 2014,$1.56B
28 Nov 2014,$1.53B
31 Dec 2014,$1.33B
30 Jan 2015,$1.63B
27 Feb 2015,$2.15B
31 Mar 2015,$2.37B
30 Apr 2015,$2.25B
29 May 2015,$2.43B
30 Jun 2015,$2.92B
31 Jul 2015,$3.55B
31 Aug 2015,$3.33B
30 Sep 2015,$2.96B
30 Oct 2015,$3.41B
30 Nov 2015,$3.84B
31 Dec 2015,$3.67B
29 Jan 2016,$2.98B
29 Feb 2016,$2.89B
31 Mar 2016,$3.64B
29 Apr 2016,$3.66B
31 May 2016,$4.18B
30 Jun 2016,$3.66B
29 Jul 2016,$3.27B
31 Aug 2016,$2.85B
30 Sep 2016,$2.95B
31 Oct 2016,$2.8B
30 Nov 2016,$2.67B
30 Dec 2016,$2.61B
31 Jan 2017,$3.24B
28 Feb 2017,$3.47B
31 Mar 2017,$3.76B
28 Apr 2017,$3.97B
31 May 2017,$4.08B
30 Jun 2017,$3.96B
31 Jul 2017,$3.98B
31 Aug 2017,$3.68B
29 Sep 2017,$3.29B
31 Oct 2017,$3.4B
30 Nov 2017,$3.49B
29 Dec 2017,$3.94B
31 Jan 2018,$3.77B
30 Mar 2018,$4.18B
30 Apr 2018,$4.19B
31 May 2018,$4.79B
29 Jun 2018,$5.36B
31 Jul 2018,$6.14B
31 Aug 2018,$6.91B
28 Sep 2018,$7.02B
31 Oct 2018,$5.45B
30 Nov 2018,$6.73B
31 Dec 2018,$5.95B
31 Jan 2019,$5.06B
28 Feb 2019,$5.75B
29 Mar 2019,$5.39B
30 Apr 2019,$5.61B
31 May 2019,$5.08B
28 Jun 2019,$5.75B
31 Jul 2019,$5.25B
30 Aug 2019,$5.72B
30 Sep 2019,$6.19B
31 Oct 2019,$7.24B
29 Nov 2019,$6.75B
31 Dec 2019,$6.4B
31 Jan 2020,$5.85B
28 Feb 2020,$5.26B
31 Mar 2020,$6.28B
1 May 2020,$7.82B
29 May 2020,$8.57B
30 Jun 2020,$9.46B
10 Jul 2020,$9.94B
31 Jul 2020,$9.87B
7 Aug 2020,$9.12B
20 Aug 2020,$9.45B
31 Aug 2020,$9.18B
10 Sep 2020,$9.46B
30 Sep 2020,$11.43B
15 Oct 2020,$12.55B
22 Oct 2020,$12.31B
30 Oct 2020,$12.7B
5 Nov 2020,$13.21B
12 Nov 2020,$12.29B
16 Nov 2020,$12.07B
20 Nov 2020,$12.18B
30 Nov 2020,$13.95B
4 Dec 2020,$12.81B
11 Dec 2020,$11.83B
31 Dec 2020,$11.5B
5 Feb 2021,$12.75B
12 Feb 2021,$13.82B
26 Feb 2021,$13.4B
5 Mar 2021,$13.47B
11 Mar 2021,$12.42B
18 Mar 2021,$13.32B
24 Mar 2021,$12.77B
31 Mar 2021,$13.11B
5 Apr 2021,$13.47B
16 Apr 2021,$12.82B
28 Apr 2021,$12.11B
30 Apr 2021,$12.22B
13 May 2021,$10.42B
20 May 2021,$10.75B
28 May 2021,$11.26B
4 Jun 2021,$10.87B
11 Jun 2021,$11.28B
30 Jun 2021,$11.52B
16 Jul 2021,$11.3B
20 Jul 2021,$11.1B
30 Jul 2021,$11.5B
6 Aug 2021,$11.08B
13 Aug 2021,$10.56B
20 Aug 2021,$11.01B
27 Aug 2021,$10.83B
3 Sep 2021,$11.03B
10 Sep 2021,$11.88B
17 Sep 2021,$11.6B
24 Sep 2021,$11.53B
2 Oct 2021,$11.11B
9 Oct 2021,$10.99B
16 Oct 2021,$11.08B
23 Oct 2021,$11.26B
30 Oct 2021,$11.28B
6 Nov 2021,$10.69B
13 Nov 2021,$10.46B
20 Nov 2021,$10.26B
27 Nov 2021,$10.14B
4 Dec 2021,$9.96B
9 Dec 2021,$10B
