timeline,ZOZO
31 Mar 2008,$0.37B
30 Apr 2008,$0.39B
30 May 2008,$0.36B
30 Jun 2008,$0.33B
31 Jul 2008,$0.35B
29 Aug 2008,$0.43B
30 Sep 2008,$0.31B
31 Oct 2008,$0.2B
28 Nov 2008,$0.28B
31 Dec 2008,$0.33B
30 Jan 2009,$0.3B
27 Feb 2009,$0.24B
31 Mar 2009,$0.27B
30 Apr 2009,$0.28B
29 May 2009,$0.35B
30 Jun 2009,$0.42B
31 Jul 2009,$0.52B
31 Aug 2009,$0.46B
30 Sep 2009,$0.58B
30 Nov 2009,$0.56B
31 Dec 2009,$0.55B
26 Feb 2010,$0.46B
31 Mar 2010,$0.55B
30 Apr 2010,$0.71B
31 May 2010,$0.65B
30 Jun 2010,$0.78B
30 Jul 2010,$0.86B
31 Aug 2010,$0.67B
30 Sep 2010,$0.75B
29 Oct 2010,$0.8B
30 Nov 2010,$0.88B
31 Dec 2010,$1.04B
31 Jan 2011,$1.22B
28 Feb 2011,$1.31B
31 Mar 2011,$1.24B
29 Apr 2011,$1.35B
31 May 2011,$1.64B
30 Jun 2011,$1.55B
29 Jul 2011,$1.85B
31 Aug 2011,$1.99B
30 Sep 2011,$1.66B
31 Oct 2011,$1.62B
30 Nov 2011,$1.41B
30 Dec 2011,$1.75B
31 Jan 2012,$1.44B
30 Mar 2012,$1.48B
30 Apr 2012,$1.2B
31 May 2012,$1.12B
29 Jun 2012,$1.08B
31 Jul 2012,$1.01B
31 Aug 2012,$1.1B
28 Sep 2012,$1.09B
31 Oct 2012,$0.85B
30 Nov 2012,$0.83B
31 Dec 2012,$0.78B
31 Jan 2013,$0.85B
28 Feb 2013,$0.96B
29 Mar 2013,$1.13B
30 Apr 2013,$1.39B
31 May 2013,$1.42B
28 Jun 2013,$1.83B
31 Jul 2013,$1.91B
30 Aug 2013,$2.07B
30 Sep 2013,$2.61B
31 Oct 2013,$2.58B
29 Nov 2013,$2.48B
31 Dec 2013,$2.46B
31 Jan 2014,$2.16B
28 Feb 2014,$2.36B
31 Mar 2014,$2.5B
30 Apr 2014,$2.02B
30 May 2014,$2.39B
30 Jun 2014,$2.52B
31 Jul 2014,$2.61B
29 Aug 2014,$2.34B
30 Sep 2014,$2.26B
31 Oct 2014,$2.25B
28 Nov 2014,$2.42B
31 Dec 2014,$2.39B
30 Jan 2015,$2.27B
27 Feb 2015,$2.75B
31 Mar 2015,$3B
30 Apr 2015,$2.81B
29 May 2015,$3.18B
30 Jun 2015,$3.25B
31 Jul 2015,$3.77B
31 Aug 2015,$3.51B
30 Sep 2015,$3.74B
30 Oct 2015,$3.87B
30 Nov 2015,$4.06B
31 Dec 2015,$3.64B
29 Jan 2016,$3.51B
29 Feb 2016,$3.31B
31 Mar 2016,$4.16B
29 Apr 2016,$4.25B
31 May 2016,$4.64B
30 Jun 2016,$4.93B
29 Jul 2016,$4.49B
31 Aug 2016,$4.4B
30 Sep 2016,$4.76B
31 Oct 2016,$5.07B
30 Nov 2016,$4.83B
30 Dec 2016,$5.55B
31 Jan 2017,$5.84B
28 Feb 2017,$6.45B
31 Mar 2017,$6.77B
28 Apr 2017,$6.54B
31 May 2017,$7.6B
31 Jul 2017,$8.56B
31 Aug 2017,$9.4B
29 Sep 2017,$9.8B
31 Oct 2017,$8.49B
30 Nov 2017,$9.41B
31 Jan 2018,$8.81B
28 Feb 2018,$7.65B
30 Mar 2018,$7.81B
30 Apr 2018,$8.69B
31 May 2018,$10.19B
29 Jun 2018,$10.81B
31 Jul 2018,$12.08B
31 Aug 2018,$10.31B
28 Sep 2018,$9.26B
31 Oct 2018,$7.32B
30 Nov 2018,$6.8B
31 Dec 2018,$5.41B
31 Jan 2019,$5.91B
28 Feb 2019,$5.64B
29 Mar 2019,$5.62B
30 Apr 2019,$5.29B
31 May 2019,$5.03B
28 Jun 2019,$5.44B
31 Jul 2019,$5.56B
30 Aug 2019,$5.71B
30 Sep 2019,$6.71B
31 Oct 2019,$6.82B
29 Nov 2019,$5.87B
31 Dec 2019,$5.62B
31 Jan 2020,$4.91B
28 Feb 2020,$4.08B
31 Mar 2020,$3.91B
30 Apr 2020,$4.69B
29 May 2020,$5.34B
30 Jun 2020,$6.45B
9 Jul 2020,$6.98B
31 Jul 2020,$7.7B
4 Aug 2020,$8.32B
11 Aug 2020,$7.5B
18 Aug 2020,$8.04B
28 Aug 2020,$7.94B
31 Aug 2020,$8.04B
7 Sep 2020,$7.64B
11 Sep 2020,$7.46B
18 Sep 2020,$7.47B
30 Sep 2020,$7.88B
8 Oct 2020,$8.25B
16 Oct 2020,$8.28B
23 Oct 2020,$7.63B
30 Oct 2020,$7.14B
6 Nov 2020,$7.69B
16 Nov 2020,$7.26B
20 Nov 2020,$6.65B
26 Nov 2020,$6.83B
4 Dec 2020,$6.77B
11 Dec 2020,$7.29B
18 Dec 2020,$6.84B
31 Dec 2020,$6.86B
8 Jan 2021,$7.36B
29 Jan 2021,$7.9B
5 Feb 2021,$9.65B
12 Feb 2021,$9.33B
19 Feb 2021,$9.76B
26 Feb 2021,$8.97B
5 Mar 2021,$8.94B
11 Mar 2021,$8.83B
18 Mar 2021,$9.09B
25 Mar 2021,$8.52B
1 Apr 2021,$8.85B
7 Apr 2021,$9.22B
16 Apr 2021,$9.29B
30 Apr 2021,$9.94B
7 May 2021,$9.64B
13 May 2021,$9.21B
19 May 2021,$9.86B
26 May 2021,$10.33B
31 May 2021,$9.7B
4 Jun 2021,$9.78B
11 Jun 2021,$9.58B
30 Jun 2021,$10.17B
12 Jul 2021,$9.52B
16 Jul 2021,$9.25B
21 Jul 2021,$9.23B
30 Jul 2021,$10.19B
6 Aug 2021,$10.87B
13 Aug 2021,$11.36B
20 Aug 2021,$11.04B
27 Aug 2021,$11.25B
3 Sep 2021,$11.35B
10 Sep 2021,$11.24B
17 Sep 2021,$11.74B
24 Sep 2021,$11.8B
2 Oct 2021,$11.05B
9 Oct 2021,$10.58B
16 Oct 2021,$10.87B
23 Oct 2021,$10.94B
30 Oct 2021,$9.52B
6 Nov 2021,$9.7B
13 Nov 2021,$9.68B
20 Nov 2021,$9.88B
27 Nov 2021,$9.51B
4 Dec 2021,$9.33B
10 Dec 2021,$9.2B
