timeline,GLP J-REIT
30 Aug 2013,$1.56B
30 Sep 2013,$1.78B
31 Oct 2013,$1.66B
29 Nov 2013,$1.9B
31 Jan 2014,$1.97B
28 Feb 2014,$1.98B
31 Mar 2014,$1.92B
30 Apr 2014,$1.87B
30 May 2014,$1.99B
30 Jun 2014,$2.1B
31 Jul 2014,$2.12B
29 Aug 2014,$2.3B
30 Sep 2014,$2.34B
31 Oct 2014,$2.32B
28 Nov 2014,$2.88B
31 Dec 2014,$2.82B
27 Feb 2015,$2.76B
31 Mar 2015,$2.62B
30 Apr 2015,$2.59B
29 May 2015,$2.57B
30 Jun 2015,$2.47B
31 Jul 2015,$2.52B
31 Aug 2015,$2.4B
30 Sep 2015,$2.41B
30 Oct 2015,$2.54B
30 Nov 2015,$2.75B
31 Dec 2015,$2.67B
29 Jan 2016,$2.68B
29 Feb 2016,$2.75B
31 Mar 2016,$2.94B
29 Apr 2016,$3.01B
31 May 2016,$2.91B
30 Jun 2016,$2.97B
29 Jul 2016,$2.98B
31 Aug 2016,$2.94B
30 Sep 2016,$3.08B
31 Oct 2016,$3.01B
30 Nov 2016,$3.23B
30 Dec 2016,$3.39B
31 Jan 2017,$3.26B
28 Feb 2017,$3.23B
31 Mar 2017,$3.24B
28 Apr 2017,$3.16B
31 May 2017,$3.14B
30 Jun 2017,$3.05B
31 Jul 2017,$3.02B
31 Aug 2017,$2.95B
31 Oct 2017,$2.87B
30 Nov 2017,$3.06B
29 Dec 2017,$3.07B
31 Jan 2018,$3.19B
28 Feb 2018,$2.84B
30 Mar 2018,$2.91B
30 Apr 2018,$2.96B
31 May 2018,$3.65B
29 Jun 2018,$3.53B
31 Jul 2018,$3.58B
31 Aug 2018,$3.34B
28 Sep 2018,$3.32B
31 Oct 2018,$3.35B
30 Nov 2018,$3.86B
31 Dec 2018,$3.78B
31 Jan 2019,$3.91B
28 Feb 2019,$3.93B
29 Mar 2019,$4.01B
30 Apr 2019,$4.05B
31 May 2019,$4.08B
28 Jun 2019,$4.15B
31 Jul 2019,$4.1B
30 Aug 2019,$4.43B
30 Sep 2019,$4.85B
31 Oct 2019,$4.76B
29 Nov 2019,$4.92B
31 Dec 2019,$4.56B
31 Jan 2020,$4.91B
21 Feb 2020,$5.11B
28 Feb 2020,$4.63B
31 Mar 2020,$4.11B
30 Apr 2020,$4.69B
29 May 2020,$4.86B
18 Jun 2020,$4.92B
30 Jun 2020,$5.29B
13 Jul 2020,$5.53B
31 Jul 2020,$5.94B
7 Aug 2020,$5.91B
20 Aug 2020,$5.86B
31 Aug 2020,$5.53B
30 Sep 2020,$5.5B
9 Oct 2020,$5.54B
30 Oct 2020,$5.44B
13 Nov 2020,$5.48B
20 Nov 2020,$5.41B
26 Nov 2020,$5.49B
30 Nov 2020,$5.55B
2 Dec 2020,$5.47B
9 Dec 2020,$5.45B
16 Dec 2020,$5.53B
23 Dec 2020,$5.64B
30 Dec 2020,$5.71B
8 Jan 2021,$5.96B
12 Jan 2021,$5.97B
22 Jan 2021,$5.99B
29 Jan 2021,$5.9B
1 Feb 2021,$5.85B
5 Feb 2021,$5.94B
12 Feb 2021,$6.16B
19 Feb 2021,$6.32B
26 Feb 2021,$6.06B
12 Mar 2021,$5.65B
18 Mar 2021,$6.08B
24 Mar 2021,$6.31B
31 Mar 2021,$6.39B
5 Apr 2021,$6.3B
12 Apr 2021,$6.31B
30 Apr 2021,$6.44B
6 May 2021,$6.36B
12 May 2021,$6.37B
18 May 2021,$6.42B
24 May 2021,$6.46B
28 May 2021,$7.15B
31 May 2021,$7.16B
11 Jun 2021,$7.19B
30 Jun 2021,$7.34B
6 Jul 2021,$7.28B
19 Jul 2021,$7.31B
30 Jul 2021,$7.79B
6 Aug 2021,$7.98B
13 Aug 2021,$7.94B
20 Aug 2021,$7.91B
27 Aug 2021,$7.86B
3 Sep 2021,$7.93B
10 Sep 2021,$7.6B
17 Sep 2021,$7.75B
24 Sep 2021,$7.38B
2 Oct 2021,$7.25B
9 Oct 2021,$7.17B
16 Oct 2021,$7.39B
23 Oct 2021,$7.33B
30 Oct 2021,$7.34B
6 Nov 2021,$7.37B
13 Nov 2021,$7.27B
20 Nov 2021,$7.24B
27 Nov 2021,$7.43B
4 Dec 2021,$7.27B
10 Dec 2021,$7.68B
