timeline,Nippon Prologis REIT
29 Nov 2013,$2.43B
31 Dec 2013,$2.47B
31 Jan 2014,$2.55B
28 Feb 2014,$3.01B
31 Mar 2014,$2.87B
30 Apr 2014,$2.98B
30 May 2014,$3.07B
30 Jun 2014,$3.26B
31 Jul 2014,$3.31B
29 Aug 2014,$3.48B
30 Sep 2014,$3.52B
31 Oct 2014,$3.57B
31 Dec 2014,$3.98B
30 Jan 2015,$4.23B
27 Feb 2015,$4.21B
31 Mar 2015,$4.03B
30 Apr 2015,$3.95B
29 May 2015,$3.65B
30 Jun 2015,$3.44B
31 Jul 2015,$3.73B
31 Aug 2015,$3.36B
30 Sep 2015,$3.31B
30 Oct 2015,$3.25B
30 Nov 2015,$3.29B
31 Dec 2015,$3.33B
29 Jan 2016,$3.26B
29 Feb 2016,$3.65B
31 Mar 2016,$3.84B
29 Apr 2016,$3.98B
31 May 2016,$3.9B
30 Jun 2016,$4.08B
29 Jul 2016,$4.14B
31 Aug 2016,$4.03B
30 Sep 2016,$4.16B
31 Oct 2016,$3.85B
30 Dec 2016,$3.88B
31 Jan 2017,$3.83B
28 Feb 2017,$4.06B
28 Apr 2017,$3.96B
31 May 2017,$4.05B
30 Jun 2017,$4.02B
31 Jul 2017,$3.91B
31 Aug 2017,$4.32B
29 Sep 2017,$4.28B
31 Oct 2017,$4.32B
30 Nov 2017,$4.37B
29 Dec 2017,$4.32B
31 Jan 2018,$4.54B
28 Feb 2018,$4.39B
30 Mar 2018,$4.15B
30 Apr 2018,$4.18B
31 May 2018,$4.37B
29 Jun 2018,$4.43B
31 Jul 2018,$4.36B
31 Aug 2018,$4.17B
28 Sep 2018,$4.33B
31 Oct 2018,$4.39B
30 Nov 2018,$4.53B
31 Dec 2018,$4.47B
31 Jan 2019,$4.58B
28 Feb 2019,$4.56B
29 Mar 2019,$4.54B
30 Apr 2019,$4.61B
31 May 2019,$4.55B
28 Jun 2019,$4.8B
31 Jul 2019,$5.04B
30 Aug 2019,$5.96B
30 Sep 2019,$6.13B
31 Oct 2019,$6.25B
29 Nov 2019,$6.08B
31 Dec 2019,$5.72B
31 Jan 2020,$6.46B
21 Feb 2020,$6.58B
28 Feb 2020,$6.36B
31 Mar 2020,$5.9B
1 May 2020,$6.35B
29 May 2020,$6.61B
5 Jun 2020,$6.24B
30 Jun 2020,$7.13B
31 Jul 2020,$7.92B
20 Aug 2020,$7.69B
31 Aug 2020,$7.54B
25 Sep 2020,$7.73B
16 Oct 2020,$7.38B
30 Oct 2020,$7.48B
13 Nov 2020,$7.79B
20 Nov 2020,$7.45B
27 Nov 2020,$7.07B
30 Nov 2020,$7.12B
4 Dec 2020,$6.78B
18 Dec 2020,$6.85B
25 Dec 2020,$6.78B
31 Dec 2020,$7B
8 Jan 2021,$7.23B
29 Jan 2021,$7.42B
5 Feb 2021,$7.14B
12 Feb 2021,$7.64B
19 Feb 2021,$7.76B
26 Feb 2021,$7.4B
1 Mar 2021,$7.52B
12 Mar 2021,$7.18B
18 Mar 2021,$7.67B
25 Mar 2021,$7.8B
1 Apr 2021,$7.84B
7 Apr 2021,$7.77B
13 Apr 2021,$7.9B
30 Apr 2021,$7.99B
7 May 2021,$7.89B
13 May 2021,$7.81B
19 May 2021,$7.93B
26 May 2021,$7.83B
1 Jun 2021,$7.65B
7 Jun 2021,$7.82B
30 Jun 2021,$8.05B
8 Jul 2021,$8.22B
14 Jul 2021,$8.11B
20 Jul 2021,$8.14B
30 Jul 2021,$8.66B
6 Aug 2021,$9.03B
13 Aug 2021,$8.92B
20 Aug 2021,$9.04B
27 Aug 2021,$9.19B
3 Sep 2021,$9.37B
10 Sep 2021,$9.27B
17 Sep 2021,$9.44B
24 Sep 2021,$9.1B
2 Oct 2021,$8.5B
9 Oct 2021,$8.35B
16 Oct 2021,$8.47B
23 Oct 2021,$8.57B
30 Oct 2021,$8.65B
6 Nov 2021,$8.7B
13 Nov 2021,$8.41B
20 Nov 2021,$8.65B
27 Nov 2021,$8.86B
4 Dec 2021,$8.43B
9 Dec 2021,$8.69B
