timeline,Tsuruha Holdings
31 May 2006,$0.86B
31 Jul 2006,$0.85B
31 Aug 2006,$0.87B
29 Sep 2006,$0.94B
31 Oct 2006,$0.89B
29 Dec 2006,$0.88B
31 Jan 2007,$0.91B
28 Feb 2007,$0.86B
30 Mar 2007,$0.92B
30 Apr 2007,$0.86B
31 May 2007,$0.82B
29 Jun 2007,$0.91B
31 Jul 2007,$0.93B
28 Sep 2007,$0.8B
31 Oct 2007,$0.83B
30 Nov 2007,$0.79B
31 Dec 2007,$0.9B
31 Jan 2008,$0.82B
29 Feb 2008,$0.71B
31 Mar 2008,$0.9B
30 Apr 2008,$0.81B
30 May 2008,$0.77B
30 Jun 2008,$0.73B
31 Jul 2008,$0.75B
29 Aug 2008,$0.76B
30 Sep 2008,$0.66B
31 Oct 2008,$0.49B
28 Nov 2008,$0.59B
31 Dec 2008,$0.72B
30 Jan 2009,$0.69B
27 Feb 2009,$0.65B
31 Mar 2009,$0.52B
30 Apr 2009,$0.51B
29 May 2009,$0.58B
30 Jun 2009,$0.61B
31 Jul 2009,$0.63B
31 Aug 2009,$0.76B
30 Sep 2009,$0.78B
30 Oct 2009,$0.74B
30 Nov 2009,$0.71B
31 Dec 2009,$0.69B
29 Jan 2010,$0.71B
26 Feb 2010,$0.72B
31 Mar 2010,$0.7B
30 Apr 2010,$0.71B
31 May 2010,$0.64B
30 Jun 2010,$0.66B
30 Jul 2010,$0.7B
31 Aug 2010,$0.72B
30 Sep 2010,$0.73B
29 Oct 2010,$0.72B
30 Nov 2010,$0.76B
31 Dec 2010,$0.81B
31 Jan 2011,$0.83B
28 Feb 2011,$0.84B
31 Mar 2011,$0.79B
29 Apr 2011,$0.8B
31 May 2011,$0.78B
30 Jun 2011,$0.8B
29 Jul 2011,$0.83B
31 Aug 2011,$0.82B
30 Sep 2011,$0.9B
31 Oct 2011,$0.85B
30 Nov 2011,$0.84B
30 Dec 2011,$0.9B
31 Jan 2012,$0.85B
29 Feb 2012,$0.87B
30 Mar 2012,$1.02B
30 Apr 2012,$1B
31 May 2012,$0.96B
29 Jun 2012,$1.03B
31 Jul 2012,$1.05B
31 Aug 2012,$1.06B
28 Sep 2012,$1.22B
31 Oct 2012,$1.26B
30 Nov 2012,$1.3B
31 Dec 2012,$1.42B
31 Jan 2013,$1.6B
28 Feb 2013,$1.68B
29 Mar 2013,$1.91B
30 Apr 2013,$1.98B
31 May 2013,$1.73B
28 Jun 2013,$1.97B
31 Jul 2013,$1.89B
30 Aug 2013,$1.87B
30 Sep 2013,$1.82B
31 Oct 2013,$1.87B
29 Nov 2013,$1.98B
31 Dec 2013,$2.03B
31 Jan 2014,$2.02B
28 Feb 2014,$1.99B
31 Mar 2014,$2.14B
30 Apr 2014,$2.16B
30 May 2014,$2.3B
30 Jun 2014,$2.36B
31 Jul 2014,$2.5B
29 Aug 2014,$2.4B
30 Sep 2014,$2.58B
31 Oct 2014,$2.77B
28 Nov 2014,$2.84B
31 Dec 2014,$2.96B
30 Jan 2015,$3.37B
27 Feb 2015,$3.43B
31 Mar 2015,$3.91B
30 Apr 2015,$3.7B
29 May 2015,$3.91B
30 Jun 2015,$3.98B
31 Jul 2015,$4.55B
31 Aug 2015,$4.13B
30 Sep 2015,$4.31B
30 Oct 2015,$4.03B
30 Nov 2015,$4.61B
31 Dec 2015,$4.4B
29 Jan 2016,$4.15B
29 Feb 2016,$4B
31 Mar 2016,$4.64B
29 Apr 2016,$4.43B
31 May 2016,$4.86B
30 Jun 2016,$5.22B
29 Jul 2016,$4.93B
31 Aug 2016,$4.29B
30 Sep 2016,$4.92B
31 Oct 2016,$5.12B
30 Nov 2016,$4.94B
30 Dec 2016,$4.7B
31 Jan 2017,$4.49B
28 Feb 2017,$4.41B
31 Mar 2017,$4.36B
28 Apr 2017,$4.79B
31 May 2017,$5.2B
30 Jun 2017,$5.06B
31 Jul 2017,$4.91B
31 Aug 2017,$5.55B
29 Sep 2017,$5.71B
31 Oct 2017,$5.95B
30 Nov 2017,$6.59B
29 Dec 2017,$6.51B
31 Jan 2018,$6.46B
28 Feb 2018,$6.59B
30 Mar 2018,$6.45B
30 Apr 2018,$6.68B
