timeline,Toray Industries
31 Jan 2001,$5.18B
28 Feb 2001,$5.3B
30 Mar 2001,$6.24B
30 Apr 2001,$6.86B
31 May 2001,$6.61B
29 Jun 2001,$6.15B
31 Jul 2001,$5.13B
31 Aug 2001,$4.86B
28 Sep 2001,$3.95B
31 Oct 2001,$4.16B
31 Dec 2001,$3.92B
31 Jan 2002,$3.86B
28 Feb 2002,$3.99B
29 Mar 2002,$4.35B
30 Apr 2002,$4.58B
31 May 2002,$4.47B
28 Jun 2002,$3.97B
31 Jul 2002,$3.76B
30 Aug 2002,$3.74B
30 Sep 2002,$3.66B
31 Oct 2002,$3.25B
29 Nov 2002,$3.43B
31 Dec 2002,$3.11B
31 Jan 2003,$3.15B
28 Feb 2003,$3.19B
31 Mar 2003,$3.25B
30 Apr 2003,$3.56B
30 May 2003,$3.24B
30 Jun 2003,$3.45B
31 Jul 2003,$3.5B
29 Aug 2003,$5.07B
30 Sep 2003,$4.95B
31 Oct 2003,$5.65B
28 Nov 2003,$5.26B
31 Dec 2003,$5.54B
30 Jan 2004,$5.14B
31 Mar 2004,$5.97B
30 Apr 2004,$6.24B
31 May 2004,$6.14B
30 Jun 2004,$6.35B
30 Jul 2004,$6.52B
31 Aug 2004,$6.4B
30 Sep 2004,$6.3B
29 Oct 2004,$6.12B
30 Nov 2004,$5.6B
31 Dec 2004,$5.93B
31 Jan 2005,$5.97B
28 Feb 2005,$6.09B
31 Mar 2005,$5.94B
29 Apr 2005,$5.78B
31 May 2005,$5.97B
30 Jun 2005,$6.5B
31 Aug 2005,$6.24B
30 Sep 2005,$7.46B
31 Oct 2005,$7.96B
30 Nov 2005,$10.13B
30 Dec 2005,$11.89B
31 Jan 2006,$12.11B
28 Feb 2006,$11.13B
31 Mar 2006,$11.91B
28 Apr 2006,$13.18B
31 May 2006,$12.21B
30 Jun 2006,$12.27B
31 Jul 2006,$11.9B
31 Aug 2006,$11.57B
29 Sep 2006,$10.98B
31 Oct 2006,$10.42B
30 Nov 2006,$10.64B
29 Dec 2006,$11.02B
31 Jan 2007,$11.33B
28 Feb 2007,$10.56B
30 Mar 2007,$10.53B
30 Apr 2007,$10.21B
31 May 2007,$10.16B
29 Jun 2007,$11.26B
31 Jul 2007,$11.78B
31 Aug 2007,$10.93B
28 Sep 2007,$11.27B
31 Oct 2007,$10.92B
30 Nov 2007,$11.07B
31 Dec 2007,$10.81B
31 Jan 2008,$8.88B
29 Feb 2008,$8.08B
31 Mar 2008,$7.99B
30 Apr 2008,$8.01B
30 May 2008,$8.54B
30 Jun 2008,$7.03B
31 Jul 2008,$6.71B
29 Aug 2008,$5.98B
30 Sep 2008,$6.02B
31 Oct 2008,$5.57B
28 Nov 2008,$5.71B
31 Dec 2008,$5.58B
30 Jan 2009,$4.88B
27 Feb 2009,$4.63B
31 Mar 2009,$4.87B
30 Apr 2009,$5.36B
29 May 2009,$5.81B
30 Jun 2009,$6.07B
31 Jul 2009,$5.85B
31 Aug 2009,$6.71B
30 Oct 2009,$6.47B
30 Nov 2009,$5.66B
31 Dec 2009,$6.21B
29 Jan 2010,$6.12B
26 Feb 2010,$6.05B
31 Mar 2010,$6.74B
30 Apr 2010,$6.7B
31 May 2010,$5.85B
30 Jun 2010,$6.15B
30 Jul 2010,$6.65B
31 Aug 2010,$6.38B
30 Sep 2010,$6.68B
29 Oct 2010,$6.69B
30 Nov 2010,$6.71B
31 Dec 2010,$6.97B
31 Jan 2011,$7.81B
28 Feb 2011,$8.89B
31 Mar 2011,$8.69B
29 Apr 2011,$8.55B
31 May 2011,$8.85B
30 Jun 2011,$8.5B
29 Jul 2011,$8.6B
31 Aug 2011,$8.3B
30 Sep 2011,$7.86B
31 Oct 2011,$8.1B
30 Nov 2011,$8.19B
30 Dec 2011,$7.92B
31 Jan 2012,$8.22B
29 Feb 2012,$8.3B
30 Mar 2012,$8.83B
30 Apr 2012,$8.87B
31 May 2012,$7.54B
29 Jun 2012,$7.78B
31 Jul 2012,$7.08B
31 Aug 2012,$6.87B
28 Sep 2012,$6.64B
31 Oct 2012,$6.69B
30 Nov 2012,$7.01B
31 Dec 2012,$7.57B
31 Jan 2013,$7.58B
28 Feb 2013,$8.2B
29 Mar 2013,$9.14B
30 Apr 2013,$9.83B
31 May 2013,$10.11B
28 Jun 2013,$9.22B
31 Jul 2013,$8.98B
30 Aug 2013,$8.68B
30 Sep 2013,$9.27B
31 Oct 2013,$8.79B
29 Nov 2013,$10.4B
31 Dec 2013,$10.46B
31 Jan 2014,$9.73B
28 Feb 2014,$10.07B
31 Mar 2014,$9.79B
30 Apr 2014,$9.58B
30 May 2014,$9.31B
30 Jun 2014,$9.56B
31 Jul 2014,$10.09B
29 Aug 2014,$10.2B
30 Sep 2014,$10.41B
31 Oct 2014,$10.61B
28 Nov 2014,$13.4B
31 Dec 2014,$13.9B
30 Jan 2015,$14.5B
27 Feb 2015,$14.26B
31 Mar 2015,$14.19B
30 Apr 2015,$14.68B
29 May 2015,$14.59B
31 Jul 2015,$13.91B
31 Aug 2015,$15.11B
30 Sep 2015,$14.52B
30 Oct 2015,$14.97B
30 Nov 2015,$15.77B
31 Dec 2015,$15.92B
29 Jan 2016,$14.34B
29 Feb 2016,$12.72B
31 Mar 2016,$13.52B
29 Apr 2016,$13.06B
31 May 2016,$13.52B
30 Jun 2016,$12.25B
29 Jul 2016,$13.26B
31 Aug 2016,$14.04B
30 Sep 2016,$13.8B
30 Nov 2016,$13.1B
30 Dec 2016,$13.34B
31 Jan 2017,$13.78B
28 Feb 2017,$14.16B
31 Mar 2017,$13.92B
28 Apr 2017,$13.9B
31 May 2017,$13.04B
30 Jun 2017,$13.26B
31 Jul 2017,$14.06B
31 Aug 2017,$14.76B
29 Sep 2017,$15.39B
31 Oct 2017,$16.12B
30 Nov 2017,$14.9B
29 Dec 2017,$14.98B
31 Jan 2018,$15.3B
28 Feb 2018,$15.31B
30 Mar 2018,$14.19B
30 Apr 2018,$14.41B
31 May 2018,$12.56B
29 Jun 2018,$12.32B
31 Jul 2018,$12.21B
31 Aug 2018,$11.76B
28 Sep 2018,$12.04B
31 Oct 2018,$11.31B
30 Nov 2018,$12.55B
31 Dec 2018,$10.89B
31 Jan 2019,$11.38B
28 Feb 2019,$10.94B
29 Mar 2019,$9.97B
30 Apr 2019,$10.69B
31 May 2019,$10.54B
28 Jun 2019,$11.55B
31 Jul 2019,$10.62B
30 Aug 2019,$10.69B
30 Sep 2019,$11.31B
31 Oct 2019,$10.87B
29 Nov 2019,$10.21B
31 Dec 2019,$10.45B
31 Jan 2020,$10.23B
27 Feb 2020,$9.19B
6 Mar 2020,$8.25B
31 Mar 2020,$6.62B
20 Apr 2020,$6.77B
30 Apr 2020,$7.04B
29 May 2020,$7.39B
30 Jun 2020,$7.16B
17 Jul 2020,$7.33B
31 Jul 2020,$6.41B
12 Aug 2020,$7.29B
19 Aug 2020,$7.03B
2 Sep 2020,$7.04B
16 Sep 2020,$6.93B
30 Sep 2020,$6.76B
22 Oct 2020,$7.04B
30 Oct 2020,$6.64B
12 Nov 2020,$7.52B
19 Nov 2020,$7.99B
3 Dec 2020,$8.57B
10 Dec 2020,$8.83B
24 Dec 2020,$8.52B
31 Dec 2020,$8.62B
8 Jan 2021,$9.16B
22 Jan 2021,$10.11B
29 Jan 2021,$9.61B
15 Feb 2021,$9.8B
22 Feb 2021,$9.97B
19 Mar 2021,$10.62B
25 Mar 2021,$10.18B
7 Apr 2021,$9.91B
13 Apr 2021,$9.93B
22 Apr 2021,$9.66B
30 Apr 2021,$9.58B
7 May 2021,$9.92B
19 May 2021,$9.37B
26 May 2021,$9.87B
4 Jun 2021,$10.79B
11 Jun 2021,$10.61B
30 Jun 2021,$10.43B
20 Jul 2021,$9.54B
