timeline,TIS
31 Mar 2009,$0.85B
30 Apr 2009,$0.9B
29 May 2009,$1.17B
30 Jun 2009,$1.29B
31 Jul 2009,$1.43B
31 Aug 2009,$0.99B
30 Sep 2009,$0.93B
30 Oct 2009,$0.85B
30 Nov 2009,$0.76B
31 Dec 2009,$0.79B
29 Jan 2010,$0.77B
26 Feb 2010,$0.74B
31 Mar 2010,$0.87B
30 Apr 2010,$1.02B
31 May 2010,$0.83B
30 Jun 2010,$0.82B
30 Jul 2010,$0.8B
31 Aug 2010,$0.73B
30 Sep 2010,$0.7B
29 Oct 2010,$0.69B
30 Nov 2010,$0.76B
31 Dec 2010,$0.84B
31 Jan 2011,$0.79B
28 Feb 2011,$0.72B
31 Mar 2011,$0.67B
29 Apr 2011,$0.61B
31 May 2011,$0.54B
30 Jun 2011,$0.55B
29 Jul 2011,$0.58B
31 Oct 2011,$0.63B
30 Nov 2011,$0.67B
30 Dec 2011,$0.72B
29 Feb 2012,$0.71B
30 Mar 2012,$0.75B
30 Apr 2012,$0.8B
31 May 2012,$0.68B
29 Jun 2012,$0.73B
31 Jul 2012,$0.63B
31 Aug 2012,$0.77B
28 Sep 2012,$0.79B
31 Oct 2012,$0.77B
30 Nov 2012,$0.78B
31 Dec 2012,$0.81B
31 Jan 2013,$1B
28 Feb 2013,$0.99B
29 Mar 2013,$0.96B
30 Apr 2013,$1.13B
31 May 2013,$1.09B
28 Jun 2013,$1.02B
31 Jul 2013,$0.88B
30 Aug 2013,$0.91B
30 Sep 2013,$0.96B
31 Oct 2013,$1.09B
29 Nov 2013,$1.2B
31 Dec 2013,$1.28B
31 Jan 2014,$1.32B
28 Feb 2014,$1.36B
31 Mar 2014,$1.31B
30 Apr 2014,$1.22B
30 May 2014,$1.34B
30 Jun 2014,$1.35B
31 Jul 2014,$1.47B
29 Aug 2014,$1.49B
31 Oct 2014,$1.39B
28 Nov 2014,$1.43B
31 Dec 2014,$1.41B
30 Jan 2015,$1.52B
27 Feb 2015,$1.63B
31 Mar 2015,$1.69B
30 Apr 2015,$1.84B
29 May 2015,$1.88B
30 Jun 2015,$2.01B
31 Jul 2015,$2.19B
30 Sep 2015,$2.09B
30 Oct 2015,$2.32B
30 Nov 2015,$2.3B
31 Dec 2015,$2.15B
29 Jan 2016,$2.03B
29 Feb 2016,$2B
31 Mar 2016,$2.04B
29 Apr 2016,$2.01B
31 May 2016,$2.06B
30 Jun 2016,$1.8B
29 Jul 2016,$2.05B
31 Aug 2016,$1.88B
30 Sep 2016,$2B
31 Oct 2016,$1.82B
30 Nov 2016,$1.84B
30 Dec 2016,$1.92B
31 Jan 2017,$1.96B
28 Feb 2017,$2.09B
31 Mar 2017,$2.15B
28 Apr 2017,$2.13B
31 May 2017,$2.44B
30 Jun 2017,$2.35B
31 Jul 2017,$2.51B
31 Aug 2017,$2.44B
29 Sep 2017,$2.49B
31 Oct 2017,$2.64B
30 Nov 2017,$2.87B
29 Dec 2017,$2.96B
31 Jan 2018,$2.9B
28 Feb 2018,$2.98B
30 Mar 2018,$3.16B
30 Apr 2018,$3.26B
31 May 2018,$3.86B
29 Jun 2018,$3.84B
31 Jul 2018,$4.01B
28 Sep 2018,$4.25B
31 Oct 2018,$3.79B
30 Nov 2018,$3.92B
31 Dec 2018,$3.24B
31 Jan 2019,$3.65B
28 Feb 2019,$3.88B
29 Mar 2019,$3.92B
30 Apr 2019,$3.77B
31 May 2019,$4.03B
28 Jun 2019,$4.1B
31 Jul 2019,$4.22B
30 Aug 2019,$4.62B
31 Oct 2019,$4.88B
29 Nov 2019,$4.82B
31 Dec 2019,$4.77B
31 Jan 2020,$4.89B
28 Feb 2020,$4.74B
31 Mar 2020,$3.96B
24 Apr 2020,$4.36B
30 Apr 2020,$4.6B
29 May 2020,$5.1B
30 Jun 2020,$5.03B
31 Jul 2020,$5.02B
5 Aug 2020,$5.21B
12 Aug 2020,$4.78B
19 Aug 2020,$4.88B
31 Aug 2020,$4.69B
2 Sep 2020,$4.77B
17 Sep 2020,$4.71B
25 Sep 2020,$4.84B
30 Sep 2020,$4.93B
22 Oct 2020,$4.75B
29 Oct 2020,$4.54B
30 Oct 2020,$4.42B
6 Nov 2020,$4.77B
13 Nov 2020,$4.57B
20 Nov 2020,$4.46B
26 Nov 2020,$4.62B
4 Dec 2020,$4.46B
18 Dec 2020,$4.47B
25 Dec 2020,$4.59B
31 Dec 2020,$4.67B
15 Jan 2021,$4.74B
29 Jan 2021,$5.15B
12 Feb 2021,$5.3B
18 Feb 2021,$5.07B
26 Feb 2021,$4.9B
3 Mar 2021,$5.04B
