timeline,GMO Payment Gateway
30 Sep 2005,$75.6M
31 Oct 2005,$80.5M
30 Nov 2005,$70M
30 Dec 2005,$0.34B
31 Jan 2006,$0.39B
28 Feb 2006,$0.32B
31 Mar 2006,$0.4B
28 Apr 2006,$0.33B
31 May 2006,$0.22B
30 Jun 2006,$0.24B
31 Aug 2006,$0.26B
29 Sep 2006,$0.19B
31 Oct 2006,$0.17B
30 Nov 2006,$0.19B
29 Dec 2006,$0.16B
28 Feb 2007,$0.15B
30 Apr 2007,$0.13B
31 May 2007,$0.12B
29 Jun 2007,$0.11B
31 Jul 2007,$95.4M
31 Aug 2007,$80.4M
28 Sep 2007,$68.2M
31 Oct 2007,$0.1B
31 Dec 2007,$0.11B
31 Jan 2008,$85M
29 Feb 2008,$88.8M
31 Mar 2008,$89.6M
30 Apr 2008,$87.3M
30 May 2008,$95.6M
30 Jun 2008,$85M
31 Jul 2008,$82.8M
29 Aug 2008,$76.5M
30 Sep 2008,$73.8M
31 Oct 2008,$59M
28 Nov 2008,$52.1M
31 Dec 2008,$54.3M
30 Jan 2009,$79.9M
27 Feb 2009,$59.3M
31 Mar 2009,$62M
30 Apr 2009,$68M
29 May 2009,$67.8M
30 Jun 2009,$82.8M
31 Jul 2009,$87M
31 Aug 2009,$88.4M
30 Sep 2009,$91.7M
30 Oct 2009,$89.7M
30 Nov 2009,$88.7M
31 Dec 2009,$91.1M
29 Jan 2010,$81.9M
26 Feb 2010,$83.4M
31 Mar 2010,$87.9M
30 Apr 2010,$0.12B
31 May 2010,$0.11B
31 Aug 2010,$0.1B
30 Sep 2010,$0.13B
29 Oct 2010,$0.12B
30 Nov 2010,$0.13B
31 Dec 2010,$0.15B
31 Jan 2011,$0.17B
28 Feb 2011,$0.2B
31 Mar 2011,$0.23B
29 Apr 2011,$0.22B
31 May 2011,$0.21B
30 Jun 2011,$0.22B
29 Jul 2011,$0.21B
30 Sep 2011,$0.27B
31 Oct 2011,$0.26B
30 Dec 2011,$0.24B
29 Feb 2012,$0.25B
30 Mar 2012,$0.26B
30 Apr 2012,$0.23B
31 May 2012,$0.21B
29 Jun 2012,$0.24B
31 Jul 2012,$0.23B
31 Aug 2012,$0.21B
31 Oct 2012,$0.2B
30 Nov 2012,$0.21B
31 Dec 2012,$0.2B
