timeline,SRA Holdings
31 Mar 2009,$87.3M
30 Apr 2009,$73.9M
29 May 2009,$96.4M
30 Jun 2009,$0.1B
31 Aug 2009,$98.5M
30 Sep 2009,$98.9M
30 Oct 2009,$97.5M
30 Nov 2009,$0.1B
29 Jan 2010,$98.4M
26 Feb 2010,$97.8M
31 Mar 2010,$0.1B
30 Apr 2010,$0.11B
31 May 2010,$0.1B
30 Jun 2010,$97.9M
30 Jul 2010,$96.8M
31 Aug 2010,$95.7M
30 Sep 2010,$93.6M
29 Oct 2010,$93.3M
30 Nov 2010,$97.8M
31 Dec 2010,$0.11B
31 Mar 2011,$0.1B
29 Apr 2011,$88.3M
31 May 2011,$91.6M
30 Jun 2011,$97M
29 Jul 2011,$96.2M
31 Aug 2011,$96.6M
30 Sep 2011,$96.3M
31 Oct 2011,$92.3M
30 Nov 2011,$92.9M
30 Dec 2011,$96.4M
31 Jan 2012,$0.1B
29 Feb 2012,$0.11B
31 May 2012,$96.9M
29 Jun 2012,$0.1B
31 Dec 2012,$0.11B
31 Jan 2013,$0.12B
30 Apr 2013,$0.13B
28 Jun 2013,$0.12B
31 Jul 2013,$0.13B
30 Aug 2013,$0.12B
30 Sep 2013,$0.13B
29 Nov 2013,$0.14B
31 Dec 2013,$0.15B
31 Jan 2014,$0.16B
31 Mar 2014,$0.15B
30 May 2014,$0.16B
31 Jul 2014,$0.19B
29 Aug 2014,$0.18B
30 Sep 2014,$0.17B
31 Oct 2014,$0.16B
28 Nov 2014,$0.15B
27 Feb 2015,$0.17B
31 Mar 2015,$0.18B
30 Apr 2015,$0.17B
29 May 2015,$0.2B
30 Jun 2015,$0.24B
31 Jul 2015,$0.25B
31 Aug 2015,$0.23B
30 Sep 2015,$0.2B
30 Oct 2015,$0.26B
30 Nov 2015,$0.29B
31 Dec 2015,$0.31B
29 Jan 2016,$0.3B
29 Feb 2016,$0.27B
31 Mar 2016,$0.28B
31 May 2016,$0.24B
30 Jun 2016,$0.21B
29 Jul 2016,$0.24B
30 Sep 2016,$0.23B
31 Oct 2016,$0.27B
30 Nov 2016,$0.25B
30 Dec 2016,$0.27B
31 Jan 2017,$0.28B
28 Feb 2017,$0.31B
31 Mar 2017,$0.32B
31 May 2017,$0.33B
31 Aug 2017,$0.31B
29 Sep 2017,$0.32B
31 Oct 2017,$0.35B
30 Nov 2017,$0.38B
29 Dec 2017,$0.43B
31 Jan 2018,$0.42B
28 Feb 2018,$0.37B
30 Mar 2018,$0.33B
30 Apr 2018,$0.34B
31 May 2018,$0.36B
29 Jun 2018,$0.33B
31 Jul 2018,$0.35B
31 Aug 2018,$0.36B
28 Sep 2018,$0.38B
31 Oct 2018,$0.35B
30 Nov 2018,$0.33B
31 Dec 2018,$0.28B
29 Mar 2019,$0.27B
30 Apr 2019,$0.26B
28 Jun 2019,$0.29B
31 Jul 2019,$0.27B
30 Aug 2019,$0.26B
31 Oct 2019,$0.29B
29 Nov 2019,$0.28B
31 Dec 2019,$0.29B
31 Jan 2020,$0.28B
28 Feb 2020,$0.25B
31 Mar 2020,$0.23B
29 May 2020,$0.27B
30 Jun 2020,$0.26B
10 Jul 2020,$0.25B
25 Aug 2020,$0.26B
29 Oct 2020,$0.25B
6 Nov 2020,$0.26B
13 Nov 2020,$0.27B
31 Dec 2020,$0.29B
8 Jan 2021,$0.28B
29 Jan 2021,$0.27B
5 Feb 2021,$0.28B
11 Mar 2021,$0.29B
18 Mar 2021,$0.3B
24 Mar 2021,$0.29B
30 Mar 2021,$0.3B
5 Apr 2021,$0.29B
22 Apr 2021,$0.28B
24 May 2021,$0.29B
31 May 2021,$0.28B
4 Jun 2021,$0.29B
11 Jun 2021,$0.3B
30 Jun 2021,$0.29B
12 Jul 2021,$0.3B
16 Jul 2021,$0.29B
30 Jul 2021,$0.3B
6 Aug 2021,$0.31B
3 Sep 2021,$0.32B
10 Sep 2021,$0.33B
17 Sep 2021,$0.34B
24 Sep 2021,$0.35B
2 Oct 2021,$0.32B
9 Oct 2021,$0.31B
30 Oct 2021,$0.32B
6 Nov 2021,$0.33B
13 Nov 2021,$0.32B
27 Nov 2021,$0.31B
10 Dec 2021,$0.32B
