timeline,kyowa Kirin
31 Jan 2001,$3.16B
28 Feb 2001,$3.09B
30 Mar 2001,$3.07B
30 Apr 2001,$3.41B
31 May 2001,$3.18B
31 Jul 2001,$3.01B
31 Aug 2001,$2.8B
28 Sep 2001,$2.65B
31 Oct 2001,$2.75B
30 Nov 2001,$2.55B
31 Dec 2001,$2.38B
31 Jan 2002,$2.34B
28 Feb 2002,$2.5B
29 Mar 2002,$2.62B
30 Apr 2002,$2.81B
31 May 2002,$2.74B
28 Jun 2002,$2.49B
31 Jul 2002,$2.36B
30 Aug 2002,$2.38B
30 Sep 2002,$2.24B
31 Oct 2002,$2.04B
29 Nov 2002,$1.92B
31 Dec 2002,$1.88B
31 Jan 2003,$1.91B
28 Feb 2003,$1.92B
31 Mar 2003,$1.94B
30 Apr 2003,$2.05B
30 May 2003,$2.28B
30 Jun 2003,$2.48B
31 Jul 2003,$2.49B
29 Aug 2003,$2.51B
30 Sep 2003,$2.5B
31 Oct 2003,$2.48B
28 Nov 2003,$2.37B
31 Dec 2003,$2.61B
30 Jan 2004,$2.54B
27 Feb 2004,$2.65B
31 Mar 2004,$2.64B
30 Apr 2004,$2.81B
31 May 2004,$2.79B
30 Jun 2004,$3.01B
30 Jul 2004,$2.97B
31 Aug 2004,$2.89B
30 Sep 2004,$2.75B
29 Oct 2004,$2.84B
30 Nov 2004,$2.82B
31 Dec 2004,$2.95B
31 Jan 2005,$3.05B
31 Mar 2005,$3.14B
29 Apr 2005,$2.98B
31 May 2005,$2.65B
30 Jun 2005,$2.75B
29 Jul 2005,$2.84B
31 Aug 2005,$3.12B
30 Sep 2005,$3.37B
31 Oct 2005,$3.43B
30 Nov 2005,$3.24B
30 Dec 2005,$3.15B
31 Jan 2006,$3.58B
28 Feb 2006,$3.38B
31 Mar 2006,$3.29B
28 Apr 2006,$3.04B
31 May 2006,$2.94B
30 Jun 2006,$2.95B
31 Jul 2006,$3.19B
31 Aug 2006,$3.29B
29 Sep 2006,$3.19B
31 Oct 2006,$3.45B
30 Nov 2006,$3.49B
29 Dec 2006,$3.9B
31 Jan 2007,$4.04B
28 Feb 2007,$4.14B
30 Mar 2007,$3.84B
30 Apr 2007,$3.95B
31 May 2007,$4.29B
29 Jun 2007,$4.09B
31 Jul 2007,$4.22B
31 Aug 2007,$3.96B
28 Sep 2007,$4.16B
31 Oct 2007,$4.42B
31 Dec 2007,$4.2B
31 Jan 2008,$3.73B
29 Feb 2008,$3.58B
31 Mar 2008,$3.35B
30 Apr 2008,$3.31B
30 May 2008,$3.6B
30 Jun 2008,$3.83B
31 Jul 2008,$4.26B
29 Aug 2008,$4.22B
30 Sep 2008,$3.85B
31 Oct 2008,$2.83B
28 Nov 2008,$2.85B
31 Dec 2008,$3.27B
30 Jan 2009,$2.88B
27 Feb 2009,$2.7B
31 Mar 2009,$4.2B
30 Apr 2009,$4.41B
29 May 2009,$5.07B
30 Jun 2009,$5.54B
31 Aug 2009,$5.74B
30 Sep 2009,$5.78B
30 Oct 2009,$5.4B
30 Nov 2009,$4.73B
31 Dec 2009,$5.01B
29 Jan 2010,$4.79B
26 Feb 2010,$4.68B
31 Mar 2010,$4.9B
30 Apr 2010,$5.05B
31 May 2010,$4.52B
30 Jun 2010,$4.3B
30 Jul 2010,$4.5B
31 Aug 2010,$4.18B
30 Sep 2010,$4.2B
29 Oct 2010,$4.01B
30 Nov 2010,$4.28B
31 Dec 2010,$4.2B
31 Jan 2011,$4.21B
28 Feb 2011,$4.18B
31 Mar 2011,$3.92B
29 Apr 2011,$4.05B
31 May 2011,$4B
30 Jun 2011,$3.84B
29 Jul 2011,$4.13B
31 Aug 2011,$4B
30 Sep 2011,$4.33B
31 Oct 2011,$4.46B
30 Nov 2011,$4.5B
30 Dec 2011,$4.61B
31 Jan 2012,$4.6B
29 Feb 2012,$4.25B
30 Mar 2012,$4.51B
30 Apr 2012,$4.13B
31 May 2012,$3.78B
29 Jun 2012,$4B
31 Jul 2012,$4.28B
28 Sep 2012,$4.62B
31 Oct 2012,$4.16B
30 Nov 2012,$4.12B
31 Dec 2012,$4.1B
31 Jan 2013,$4.17B
28 Feb 2013,$4.69B
29 Mar 2013,$5.18B
30 Apr 2013,$5.77B
31 May 2013,$5.5B
28 Jun 2013,$5.42B
31 Jul 2013,$4.72B
30 Aug 2013,$4.79B
30 Sep 2013,$4.86B
31 Oct 2013,$5.23B
29 Nov 2013,$5.76B
31 Dec 2013,$5.59B
31 Jan 2014,$5.06B
28 Feb 2014,$5.26B
31 Mar 2014,$5.31B
30 Apr 2014,$5.62B
30 May 2014,$5.95B
30 Jun 2014,$6.62B
31 Jul 2014,$6.85B
29 Aug 2014,$6.8B
30 Sep 2014,$6.49B
31 Oct 2014,$6.14B
28 Nov 2014,$6.22B
31 Dec 2014,$5.48B
30 Jan 2015,$6.5B
27 Feb 2015,$6.97B
31 Mar 2015,$7.56B
30 Apr 2015,$8.47B
29 May 2015,$7.57B
