timeline,Mitsubishi Chemical Holdings
31 Jan 2001,$5.7B
28 Feb 2001,$6.85B
30 Mar 2001,$6.53B
30 Apr 2001,$7.78B
31 May 2001,$6.78B
29 Jun 2001,$6.41B
31 Jul 2001,$6.39B
31 Aug 2001,$5.43B
28 Sep 2001,$4.82B
31 Oct 2001,$5.03B
30 Nov 2001,$5.3B
31 Dec 2001,$5.36B
31 Jan 2002,$5.74B
28 Feb 2002,$5.51B
29 Mar 2002,$5.41B
30 Apr 2002,$5.97B
31 May 2002,$5.86B
28 Jun 2002,$5.36B
31 Jul 2002,$4.53B
30 Aug 2002,$4.47B
30 Sep 2002,$4.28B
31 Oct 2002,$4.07B
29 Nov 2002,$4.82B
31 Dec 2002,$4.55B
31 Jan 2003,$4.47B
28 Feb 2003,$4.19B
31 Mar 2003,$4.03B
30 Apr 2003,$3.8B
30 May 2003,$4.26B
30 Jun 2003,$4.7B
31 Jul 2003,$4.51B
29 Aug 2003,$5.2B
30 Sep 2003,$4.67B
31 Oct 2003,$5.53B
28 Nov 2003,$4.8B
31 Dec 2003,$5.36B
30 Jan 2004,$5.38B
27 Feb 2004,$5.34B
31 Mar 2004,$6.11B
30 Apr 2004,$5.76B
31 May 2004,$5.03B
30 Jun 2004,$5.57B
30 Jul 2004,$5.07B
31 Aug 2004,$5.64B
30 Sep 2004,$6.41B
29 Oct 2004,$5.89B
31 Dec 2004,$5.99B
31 Jan 2005,$6.32B
28 Feb 2005,$6.82B
31 Mar 2005,$6.57B
29 Apr 2005,$6.39B
31 May 2005,$5.99B
30 Jun 2005,$6.24B
29 Jul 2005,$6.35B
31 Aug 2005,$6.8B
30 Sep 2005,$3.61B
31 Oct 2005,$6.95B
30 Nov 2005,$6.73B
30 Dec 2005,$7.13B
31 Jan 2006,$7.2B
28 Feb 2006,$6.8B
31 Mar 2006,$11.56B
28 Apr 2006,$11.47B
31 May 2006,$11.8B
30 Jun 2006,$11.39B
31 Jul 2006,$11.48B
31 Aug 2006,$12.26B
29 Sep 2006,$11.78B
31 Oct 2006,$11.91B
30 Nov 2006,$11.21B
29 Dec 2006,$11.94B
31 Jan 2007,$12.96B
28 Feb 2007,$15.27B
30 Mar 2007,$15.97B
30 Apr 2007,$15.38B
31 May 2007,$16.96B
29 Jun 2007,$18.03B
31 Jul 2007,$17.29B
31 Aug 2007,$17.26B
28 Sep 2007,$15.92B
31 Oct 2007,$15.08B
30 Nov 2007,$14.11B
31 Dec 2007,$13.66B
31 Jan 2008,$12.25B
29 Feb 2008,$11.31B
31 Mar 2008,$8.75B
30 Apr 2008,$9.16B
30 May 2008,$9.93B
30 Jun 2008,$8.21B
31 Jul 2008,$8.57B
29 Aug 2008,$8.25B
30 Sep 2008,$7.34B
31 Oct 2008,$5.18B
28 Nov 2008,$5.3B
31 Dec 2008,$5.22B
30 Jan 2009,$4.95B
27 Feb 2009,$4.46B
31 Mar 2009,$4.08B
30 Apr 2009,$4.53B
29 May 2009,$5.35B
30 Jun 2009,$4.96B
