timeline,Sekisui Chemical
31 Mar 2006,$4.66B
28 Apr 2006,$4.6B
31 May 2006,$4.44B
30 Jun 2006,$4.62B
31 Jul 2006,$4.63B
31 Aug 2006,$4.81B
29 Sep 2006,$4.65B
31 Oct 2006,$4.83B
30 Nov 2006,$4.57B
29 Dec 2006,$4.43B
31 Jan 2007,$4.34B
28 Feb 2007,$4.57B
30 Mar 2007,$4.39B
30 Apr 2007,$4.37B
31 May 2007,$4.26B
29 Jun 2007,$4.46B
31 Jul 2007,$4.36B
31 Aug 2007,$4.01B
28 Sep 2007,$3.94B
31 Oct 2007,$3.67B
30 Nov 2007,$3.54B
31 Dec 2007,$3.52B
31 Jan 2008,$3.26B
29 Feb 2008,$3.45B
31 Mar 2008,$2.82B
30 Apr 2008,$3.54B
30 May 2008,$3.61B
30 Jun 2008,$3.38B
31 Jul 2008,$3.22B
29 Aug 2008,$3.18B
30 Sep 2008,$2.9B
31 Oct 2008,$2.65B
28 Nov 2008,$2.47B
31 Dec 2008,$2.6B
30 Jan 2009,$2.37B
27 Feb 2009,$1.97B
31 Mar 2009,$2.29B
30 Apr 2009,$2.42B
29 May 2009,$2.71B
30 Jun 2009,$2.81B
31 Jul 2009,$2.59B
31 Aug 2009,$2.75B
30 Sep 2009,$2.42B
30 Oct 2009,$2.57B
30 Nov 2009,$2.38B
31 Dec 2009,$2.67B
29 Jan 2010,$2.83B
26 Feb 2010,$2.72B
31 Mar 2010,$2.94B
30 Apr 2010,$2.98B
31 May 2010,$2.6B
30 Jun 2010,$2.59B
30 Jul 2010,$2.72B
31 Aug 2010,$2.28B
30 Sep 2010,$2.34B
29 Oct 2010,$2.37B
30 Nov 2010,$2.66B
31 Dec 2010,$2.7B
31 Jan 2011,$2.92B
28 Feb 2011,$2.98B
31 Mar 2011,$3B
29 Apr 2011,$3.1B
31 May 2011,$2.98B
30 Jun 2011,$3.15B
29 Jul 2011,$3.28B
31 Aug 2011,$3.02B
31 Oct 2011,$2.86B
30 Nov 2011,$2.62B
30 Dec 2011,$2.92B
31 Jan 2012,$3.08B
29 Feb 2012,$3.21B
30 Mar 2012,$3.26B
30 Apr 2012,$3.27B
31 May 2012,$3.04B
29 Jun 2012,$3.31B
31 Jul 2012,$2.99B
31 Aug 2012,$2.87B
28 Sep 2012,$2.82B
31 Oct 2012,$2.94B
30 Nov 2012,$2.9B
31 Dec 2012,$3.36B
31 Jan 2013,$3.95B
28 Feb 2013,$4.03B
29 Mar 2013,$4.63B
30 Apr 2013,$5.58B
31 May 2013,$4.65B
28 Jun 2013,$4.8B
31 Jul 2013,$4.48B
30 Aug 2013,$4.12B
30 Sep 2013,$4.54B
31 Oct 2013,$5.18B
29 Nov 2013,$5.46B
31 Dec 2013,$5.87B
31 Jan 2014,$5.46B
28 Feb 2014,$5.28B
31 Mar 2014,$4.82B
30 Apr 2014,$4.66B
30 May 2014,$4.94B
30 Jun 2014,$5.27B
31 Jul 2014,$5.58B
29 Aug 2014,$5.52B
30 Sep 2014,$5.65B
31 Oct 2014,$6.08B
28 Nov 2014,$6.63B
31 Dec 2014,$6.38B
30 Jan 2015,$5.67B
27 Feb 2015,$6.73B
31 Mar 2015,$6.87B
30 Apr 2015,$7.07B
29 May 2015,$7.39B
30 Jun 2015,$6.62B
31 Jul 2015,$6.07B
31 Aug 2015,$5.9B
30 Sep 2015,$5.52B
30 Oct 2015,$6.33B
30 Nov 2015,$6.46B
31 Dec 2015,$6.87B
29 Jan 2016,$6.28B
29 Feb 2016,$5.4B
31 Mar 2016,$5.97B
31 May 2016,$6.23B
30 Jun 2016,$5.4B
29 Jul 2016,$6.5B
31 Aug 2016,$6.23B
30 Sep 2016,$6.22B
31 Oct 2016,$7.13B
30 Nov 2016,$7.46B
30 Dec 2016,$8.03B
31 Jan 2017,$7.94B
28 Feb 2017,$7.99B
31 Mar 2017,$7.9B
28 Apr 2017,$7.89B
31 May 2017,$8.21B
30 Jun 2017,$8.42B
31 Jul 2017,$8.51B
31 Aug 2017,$8.59B
29 Sep 2017,$9.27B
31 Oct 2017,$9.54B
30 Nov 2017,$9.07B
29 Dec 2017,$9.45B
31 Jan 2018,$8.7B
28 Feb 2018,$8.44B
30 Mar 2018,$7.74B
30 Apr 2018,$8.09B
31 May 2018,$7.46B
29 Jun 2018,$7.87B
31 Jul 2018,$8.21B
31 Aug 2018,$7.94B
28 Sep 2018,$8.61B
31 Oct 2018,$7.29B
30 Nov 2018,$7.57B
31 Dec 2018,$6.7B
31 Jan 2019,$6.95B
28 Feb 2019,$7.17B
29 Mar 2019,$7.3B
30 Apr 2019,$7.31B
31 May 2019,$6.52B
28 Jun 2019,$6.61B
31 Jul 2019,$6.62B
30 Aug 2019,$6.25B
30 Sep 2019,$6.78B
31 Oct 2019,$7.69B
29 Nov 2019,$7.72B
31 Dec 2019,$7.69B
31 Jan 2020,$7.45B
28 Feb 2020,$6.5B
6 Mar 2020,$6.05B
31 Mar 2020,$5.77B
30 Apr 2020,$5.54B
29 May 2020,$6.08B
30 Jun 2020,$6.2B
17 Jul 2020,$6.21B
31 Jul 2020,$5.76B
20 Aug 2020,$6.64B
31 Aug 2020,$6.78B
24 Sep 2020,$6.81B
30 Sep 2020,$6.7B
22 Oct 2020,$6.93B
30 Oct 2020,$6.47B
5 Nov 2020,$6.68B
12 Nov 2020,$7.02B
19 Nov 2020,$6.92B
30 Nov 2020,$7.2B
3 Dec 2020,$7.67B
10 Dec 2020,$7.66B
17 Dec 2020,$7.65B
24 Dec 2020,$7.42B
31 Dec 2020,$7.76B
8 Jan 2021,$7.96B
22 Jan 2021,$8B
29 Jan 2021,$7.48B
9 Feb 2021,$8B
19 Feb 2021,$7.98B
1 Mar 2021,$7.76B
5 Mar 2021,$8.03B
11 Mar 2021,$8.25B
19 Mar 2021,$8.63B
26 Mar 2021,$8.68B
1 Apr 2021,$8.41B
13 Apr 2021,$8.53B
22 Apr 2021,$8.31B
28 Apr 2021,$7.54B
30 Apr 2021,$7.55B
7 May 2021,$7.88B
13 May 2021,$7.47B
20 May 2021,$7.6B
31 May 2021,$7.4B
4 Jun 2021,$7.61B
11 Jun 2021,$7.41B
30 Jun 2021,$7.49B
16 Jul 2021,$7.46B
20 Jul 2021,$7.33B
30 Jul 2021,$7.69B
6 Aug 2021,$7.76B
13 Aug 2021,$7.98B
20 Aug 2021,$7.41B
27 Aug 2021,$7.43B
3 Sep 2021,$7.96B
10 Sep 2021,$8.2B
17 Sep 2021,$8.37B
24 Sep 2021,$8.13B
2 Oct 2021,$7.43B
9 Oct 2021,$7.25B
16 Oct 2021,$7.53B
23 Oct 2021,$6.98B
30 Oct 2021,$7.34B
6 Nov 2021,$7.67B
13 Nov 2021,$7.47B
20 Nov 2021,$7.45B
27 Nov 2021,$7.31B
4 Dec 2021,$7.55B
10 Dec 2021,$7.71B
