timeline,Dentsu
31 Mar 2003,$4B
30 Apr 2003,$4.35B
30 May 2003,$4.13B
30 Jun 2003,$4.59B
31 Jul 2003,$4.7B
29 Aug 2003,$6.29B
30 Sep 2003,$5.7B
31 Oct 2003,$6.07B
28 Nov 2003,$5.7B
31 Dec 2003,$6.62B
30 Jan 2004,$6.41B
27 Feb 2004,$6.81B
31 Mar 2004,$3.9B
30 Apr 2004,$3.79B
31 May 2004,$3.43B
30 Jun 2004,$3.45B
30 Jul 2004,$3.48B
31 Aug 2004,$3.24B
30 Sep 2004,$3.62B
29 Oct 2004,$3.48B
30 Nov 2004,$3.46B
31 Dec 2004,$3.38B
31 Jan 2005,$3.21B
28 Feb 2005,$3.41B
31 Mar 2005,$7.19B
29 Apr 2005,$6.57B
31 May 2005,$6.62B
30 Jun 2005,$6.72B
29 Jul 2005,$6.82B
31 Aug 2005,$7.14B
30 Sep 2005,$7.9B
31 Oct 2005,$7.7B
30 Nov 2005,$7.92B
30 Dec 2005,$9.42B
31 Jan 2006,$9.76B
28 Feb 2006,$9.59B
31 Mar 2006,$10.47B
28 Apr 2006,$9.71B
31 May 2006,$8B
30 Jun 2006,$7.75B
31 Jul 2006,$8.27B
31 Aug 2006,$8.36B
29 Sep 2006,$7.87B
31 Oct 2006,$7.9B
30 Nov 2006,$7.8B
29 Dec 2006,$8.56B
31 Jan 2007,$8.83B
28 Feb 2007,$8.09B
30 Mar 2007,$7.98B
30 Apr 2007,$8.25B
31 May 2007,$8.1B
29 Jun 2007,$8.44B
31 Jul 2007,$7.35B
31 Aug 2007,$7.81B
28 Sep 2007,$7.89B
31 Oct 2007,$7.28B
30 Nov 2007,$6.87B
31 Dec 2007,$7.16B
31 Jan 2008,$5.95B
29 Feb 2008,$5.88B
31 Mar 2008,$5.5B
30 Apr 2008,$5.79B
30 May 2008,$6.25B
30 Jun 2008,$5.45B
31 Jul 2008,$5.78B
29 Aug 2008,$5.34B
30 Sep 2008,$5.08B
31 Oct 2008,$3.83B
28 Nov 2008,$4.1B
31 Dec 2008,$4.28B
30 Jan 2009,$3.8B
27 Feb 2009,$3.5B
31 Mar 2009,$3.27B
30 Apr 2009,$3.97B
29 May 2009,$3.99B
30 Jun 2009,$4.44B
31 Jul 2009,$4.37B
31 Aug 2009,$4.69B
30 Sep 2009,$4.57B
30 Oct 2009,$4.33B
30 Nov 2009,$4.07B
31 Dec 2009,$4.67B
29 Jan 2010,$4.57B
26 Feb 2010,$4.62B
31 Mar 2010,$5.4B
30 Apr 2010,$5.69B
31 May 2010,$5.11B
30 Jun 2010,$5.22B
30 Jul 2010,$4.73B
31 Aug 2010,$4.21B
30 Sep 2010,$4.25B
29 Oct 2010,$4.17B
30 Nov 2010,$4.96B
31 Dec 2010,$5.54B
31 Jan 2011,$5.49B
28 Feb 2011,$5.7B
31 Mar 2011,$4.72B
31 May 2011,$4.79B
30 Jun 2011,$5.21B
29 Jul 2011,$5.29B
31 Aug 2011,$5.26B
30 Sep 2011,$5.43B
31 Oct 2011,$5.27B
30 Nov 2011,$4.82B
30 Dec 2011,$5.16B
31 Jan 2012,$5.59B
29 Feb 2012,$5.55B
30 Mar 2012,$5.79B
30 Apr 2012,$5.41B
31 May 2012,$4.83B
29 Jun 2012,$5.16B
31 Jul 2012,$4.59B
31 Aug 2012,$4.37B
28 Sep 2012,$4.35B
31 Oct 2012,$4.14B
30 Nov 2012,$4.43B
31 Dec 2012,$5.06B
31 Jan 2013,$5.61B
28 Feb 2013,$6.34B
29 Mar 2013,$6.13B
30 Apr 2013,$7.44B
31 May 2013,$6.86B
28 Jun 2013,$7.53B
31 Jul 2013,$6.88B
30 Aug 2013,$7.45B
30 Sep 2013,$8.53B
31 Oct 2013,$8.45B
29 Nov 2013,$9.74B
31 Dec 2013,$9.83B
31 Jan 2014,$9.34B
28 Feb 2014,$8.75B
31 Mar 2014,$9.95B
30 Apr 2014,$10.68B
30 May 2014,$10.21B
30 Jun 2014,$10.49B
29 Aug 2014,$10.74B
30 Sep 2014,$10.61B
31 Oct 2014,$10.28B
28 Nov 2014,$11.34B
31 Dec 2014,$12.94B
30 Jan 2015,$12.38B
27 Feb 2015,$13.25B
31 Mar 2015,$13.09B
30 Apr 2015,$14.19B
29 May 2015,$15.97B
30 Jun 2015,$16.12B
31 Jul 2015,$17.87B
31 Aug 2015,$15.81B
30 Sep 2015,$15.56B
30 Oct 2015,$17.41B
30 Nov 2015,$17.57B
31 Dec 2015,$16.79B
29 Jan 2016,$15.86B
29 Feb 2016,$13.2B
31 Mar 2016,$14.2B
29 Apr 2016,$14.25B
31 May 2016,$14.1B
30 Jun 2016,$11.99B
29 Jul 2016,$12.44B
31 Aug 2016,$14.3B
30 Sep 2016,$12.85B
31 Oct 2016,$13.17B
30 Nov 2016,$13.15B
30 Dec 2016,$13.83B
31 Jan 2017,$13.12B
28 Feb 2017,$15.64B
31 Mar 2017,$15.18B
28 Apr 2017,$15.79B
31 May 2017,$14.18B
30 Jun 2017,$13.5B
31 Jul 2017,$12.97B
31 Aug 2017,$11.56B
29 Sep 2017,$12.42B
31 Oct 2017,$12.13B
30 Nov 2017,$12.77B
29 Dec 2017,$12B
31 Jan 2018,$12.14B
28 Feb 2018,$12.29B
30 Mar 2018,$11.61B
30 Apr 2018,$12.87B
31 May 2018,$12.92B
29 Jun 2018,$13.05B
31 Jul 2018,$11.66B
31 Aug 2018,$12.9B
28 Sep 2018,$13.1B
31 Oct 2018,$13.02B
30 Nov 2018,$12.58B
31 Dec 2018,$12.19B
31 Jan 2019,$12.82B
28 Feb 2019,$11.56B
29 Mar 2019,$11.62B
30 Apr 2019,$11.27B
31 May 2019,$8.82B
28 Jun 2019,$9.34B
31 Jul 2019,$9B
30 Aug 2019,$9.02B
30 Sep 2019,$9.42B
31 Oct 2019,$9.57B
29 Nov 2019,$9.77B
31 Dec 2019,$9.21B
31 Jan 2020,$8.87B
21 Feb 2020,$8.06B
28 Feb 2020,$6.82B
31 Mar 2020,$5.05B
30 Apr 2020,$5.51B
