timeline,Mercari
29 Jun 2018,$4.86B
31 Jul 2018,$5.62B
31 Aug 2018,$4.41B
28 Sep 2018,$4.67B
31 Oct 2018,$3.56B
30 Nov 2018,$3.43B
31 Dec 2018,$2.36B
31 Jan 2019,$2.95B
28 Feb 2019,$4.01B
29 Mar 2019,$4.37B
30 Apr 2019,$4.54B
31 May 2019,$4.23B
28 Jun 2019,$3.78B
31 Jul 2019,$3.92B
30 Aug 2019,$3.32B
30 Sep 2019,$3.62B
31 Oct 2019,$3.31B
29 Nov 2019,$3.26B
31 Dec 2019,$3.03B
31 Jan 2020,$2.61B
28 Feb 2020,$3.34B
31 Mar 2020,$2.88B
24 Apr 2020,$3.45B
30 Apr 2020,$3.73B
29 May 2020,$4.41B
30 Jun 2020,$4.58B
10 Jul 2020,$5.54B
22 Jul 2020,$6.2B
31 Jul 2020,$6.08B
6 Aug 2020,$6.42B
19 Aug 2020,$6.91B
31 Aug 2020,$6.62B
28 Sep 2020,$6.42B
30 Sep 2020,$6.7B
23 Oct 2020,$6.76B
30 Oct 2020,$6.07B
6 Nov 2020,$6.23B
13 Nov 2020,$6B
19 Nov 2020,$5.93B
27 Nov 2020,$6.43B
30 Nov 2020,$6.61B
4 Dec 2020,$6.21B
18 Dec 2020,$6.18B
30 Dec 2020,$6.32B
31 Dec 2020,$6.33B
8 Jan 2021,$7.42B
22 Jan 2021,$7.27B
29 Jan 2021,$6.98B
5 Feb 2021,$6.88B
12 Feb 2021,$8.53B
19 Feb 2021,$7.66B
26 Feb 2021,$7.09B
1 Mar 2021,$7.29B
17 Mar 2021,$7.48B
25 Mar 2021,$7.04B
31 Mar 2021,$6.95B
1 Apr 2021,$7.15B
7 Apr 2021,$7.27B
16 Apr 2021,$7.47B
22 Apr 2021,$7.51B
7 May 2021,$7.17B
13 May 2021,$6.81B
19 May 2021,$6.78B
28 May 2021,$7.28B
31 May 2021,$7.21B
4 Jun 2021,$7.06B
11 Jun 2021,$7.38B
30 Jun 2021,$8.21B
12 Jul 2021,$8.48B
16 Jul 2021,$8.09B
20 Jul 2021,$7.73B
30 Jul 2021,$8.17B
6 Aug 2021,$8.62B
12 Aug 2021,$8.76B
13 Aug 2021,$8.26B
20 Aug 2021,$7.42B
27 Aug 2021,$7.58B
3 Sep 2021,$7.78B
10 Sep 2021,$8.64B
17 Sep 2021,$8.78B
24 Sep 2021,$8.92B
2 Oct 2021,$9.2B
9 Oct 2021,$9.46B
16 Oct 2021,$9.2B
23 Oct 2021,$9.4B
30 Oct 2021,$8.64B
6 Nov 2021,$9.83B
13 Nov 2021,$9.57B
20 Nov 2021,$9.79B
27 Nov 2021,$9.9B
4 Dec 2021,$9.65B
9 Dec 2021,$9.35B
