timeline,Sumitomo Dainippon Pharma
31 Mar 2006,$4.58B
28 Apr 2006,$4.87B
31 May 2006,$4.31B
30 Jun 2006,$4.51B
31 Jul 2006,$4.9B
31 Aug 2006,$4.89B
29 Sep 2006,$4.98B
31 Oct 2006,$5.3B
30 Nov 2006,$5.04B
29 Dec 2006,$4.86B
31 Jan 2007,$4.87B
28 Feb 2007,$4.6B
30 Mar 2007,$4.41B
30 Apr 2007,$4.63B
31 May 2007,$4.46B
29 Jun 2007,$4.33B
31 Jul 2007,$3.99B
31 Aug 2007,$3.85B
28 Sep 2007,$3.74B
31 Oct 2007,$3.75B
30 Nov 2007,$3.16B
31 Dec 2007,$2.87B
31 Jan 2008,$3.1B
29 Feb 2008,$3.07B
31 Mar 2008,$3.19B
30 Apr 2008,$2.78B
30 May 2008,$3.14B
30 Jun 2008,$3.01B
31 Jul 2008,$3.16B
29 Aug 2008,$3.4B
30 Sep 2008,$3.01B
31 Oct 2008,$2.69B
28 Nov 2008,$2.83B
31 Dec 2008,$2.92B
30 Jan 2009,$2.84B
27 Feb 2009,$2.87B
30 Apr 2009,$2.75B
29 May 2009,$2.72B
30 Jun 2009,$2.96B
31 Jul 2009,$3.08B
31 Aug 2009,$3.68B
30 Sep 2009,$3.43B
30 Oct 2009,$3.33B
30 Nov 2009,$3.11B
31 Dec 2009,$3.42B
29 Jan 2010,$3.37B
26 Feb 2010,$3.05B
31 Mar 2010,$3B
30 Apr 2010,$2.74B
31 May 2010,$2.48B
30 Jun 2010,$2.39B
30 Jul 2010,$2.26B
31 Aug 2010,$2.44B
30 Sep 2010,$2.45B
29 Oct 2010,$2.54B
31 Dec 2010,$2.59B
31 Jan 2011,$2.58B
28 Feb 2011,$2.78B
31 Mar 2011,$2.72B
29 Apr 2011,$2.71B
31 May 2011,$2.68B
30 Jun 2011,$2.67B
29 Jul 2011,$2.74B
31 Aug 2011,$2.72B
30 Sep 2011,$3B
31 Oct 2011,$3.03B
30 Nov 2011,$2.76B
30 Dec 2011,$3.07B
31 Jan 2012,$3.08B
29 Feb 2012,$2.95B
30 Mar 2012,$3.07B
30 Apr 2012,$2.81B
31 May 2012,$2.63B
29 Jun 2012,$2.84B
31 Jul 2012,$3.04B
31 Aug 2012,$3.03B
28 Sep 2012,$3.01B
31 Oct 2012,$3.21B
30 Nov 2012,$3.4B
31 Dec 2012,$3.63B
31 Jan 2013,$4.51B
28 Feb 2013,$4.69B
29 Mar 2013,$6.15B
30 Apr 2013,$6.27B
