timeline,Shionogi
31 Jan 2001,$6.28B
28 Feb 2001,$6.24B
30 Mar 2001,$5.97B
29 Mar 2002,$6.16B
30 Apr 2002,$5.81B
31 May 2002,$5.22B
28 Jun 2002,$4.73B
31 Jul 2002,$3.73B
30 Aug 2002,$3.83B
30 Sep 2002,$4.07B
31 Oct 2002,$4.35B
29 Nov 2002,$5.2B
31 Dec 2002,$5.19B
31 Jan 2003,$4.62B
28 Feb 2003,$5.32B
31 Mar 2003,$4.97B
30 Apr 2003,$4.38B
30 May 2003,$5.22B
30 Jun 2003,$5.04B
31 Jul 2003,$4.89B
29 Aug 2003,$5.31B
30 Sep 2003,$6.01B
31 Oct 2003,$5.71B
28 Nov 2003,$5.61B
31 Dec 2003,$6.18B
30 Jan 2004,$5.65B
27 Feb 2004,$5.94B
31 Mar 2004,$5.6B
30 Apr 2004,$5.3B
31 May 2004,$5.49B
30 Jun 2004,$5.72B
30 Jul 2004,$6.06B
31 Aug 2004,$5.4B
30 Sep 2004,$4.81B
29 Oct 2004,$5.02B
30 Nov 2004,$4.23B
31 Dec 2004,$4.32B
31 Jan 2005,$3.98B
28 Feb 2005,$4.25B
31 Mar 2005,$4.44B
29 Apr 2005,$4.39B
31 May 2005,$4.49B
30 Jun 2005,$4.3B
29 Jul 2005,$4.18B
31 Aug 2005,$4.31B
30 Sep 2005,$4.64B
31 Oct 2005,$4.24B
30 Nov 2005,$4.42B
30 Dec 2005,$4.99B
31 Jan 2006,$5.32B
28 Feb 2006,$4.82B
31 Mar 2006,$5.8B
28 Apr 2006,$5.77B
31 May 2006,$6.08B
30 Jun 2006,$6.13B
31 Jul 2006,$6.53B
31 Aug 2006,$6.34B
29 Sep 2006,$6.52B
31 Oct 2006,$7.04B
30 Nov 2006,$6.74B
29 Dec 2006,$7.03B
31 Jan 2007,$6.43B
28 Feb 2007,$6.88B
30 Mar 2007,$6.37B
30 Apr 2007,$7.02B
31 May 2007,$6.27B
29 Jun 2007,$6.03B
31 Jul 2007,$5.71B
31 Aug 2007,$5.06B
28 Sep 2007,$5.32B
31 Oct 2007,$5.87B
30 Nov 2007,$6.39B
31 Dec 2007,$5.93B
31 Jan 2008,$6B
29 Feb 2008,$5.39B
31 Mar 2008,$5.11B
30 Apr 2008,$5.99B
30 May 2008,$6.38B
30 Jun 2008,$6.29B
31 Jul 2008,$6.35B
29 Aug 2008,$7.43B
30 Sep 2008,$6.38B
31 Oct 2008,$4.97B
28 Nov 2008,$6.21B
31 Dec 2008,$6.89B
30 Jan 2009,$5.82B
27 Feb 2009,$4.82B
31 Mar 2009,$5.05B
30 Apr 2009,$5.09B
29 May 2009,$5.64B
30 Jun 2009,$5.6B
31 Jul 2009,$5.78B
31 Aug 2009,$6.73B
30 Sep 2009,$6.28B
30 Oct 2009,$5.82B
30 Nov 2009,$5.5B
31 Dec 2009,$5.94B
29 Jan 2010,$5.5B
26 Feb 2010,$5.36B
31 Mar 2010,$5.25B
30 Apr 2010,$5.03B
31 May 2010,$4.86B
30 Jun 2010,$5.44B
30 Jul 2010,$5.2B
31 Aug 2010,$4.33B
30 Sep 2010,$4.51B
29 Oct 2010,$4.14B
30 Nov 2010,$4.52B
31 Dec 2010,$4.73B
31 Jan 2011,$4.45B
28 Feb 2011,$4.57B
31 Mar 2011,$4.19B
29 Apr 2011,$3.87B
31 May 2011,$4.05B
30 Jun 2011,$3.88B
29 Jul 2011,$3.93B
31 Aug 2011,$3.62B
30 Sep 2011,$3.4B
31 Oct 2011,$3.17B
30 Nov 2011,$2.64B
30 Dec 2011,$2.92B
31 Jan 2012,$3B
29 Feb 2012,$3.32B
30 Mar 2012,$3.38B
30 Apr 2012,$3.09B
31 May 2012,$2.92B
29 Jun 2012,$3.19B
31 Jul 2012,$3.31B
31 Aug 2012,$3.33B
28 Sep 2012,$3.52B
31 Oct 2012,$3.91B
30 Nov 2012,$4.12B
31 Dec 2012,$4.24B
31 Jan 2013,$4.82B
28 Feb 2013,$5.58B
29 Mar 2013,$5.74B
30 Apr 2013,$7.08B
31 May 2013,$5.65B
28 Jun 2013,$6.11B
31 Jul 2013,$5.88B
30 Aug 2013,$5.67B
30 Sep 2013,$6.09B
31 Oct 2013,$6.4B
29 Nov 2013,$6.65B
31 Dec 2013,$6.73B
31 Jan 2014,$6.26B
28 Feb 2014,$6.5B
31 Mar 2014,$5.65B
30 Apr 2014,$5.29B
30 May 2014,$6.02B
30 Jun 2014,$6.24B
31 Jul 2014,$6.62B
29 Aug 2014,$7.23B
30 Sep 2014,$7.43B
31 Oct 2014,$8.42B
28 Nov 2014,$8.72B
31 Dec 2014,$9.23B
30 Jan 2015,$10.5B
27 Feb 2015,$10.38B
31 Mar 2015,$11.5B
30 Apr 2015,$11.32B
29 May 2015,$12.64B
30 Jun 2015,$13.62B
31 Jul 2015,$14.19B
31 Aug 2015,$13.66B
30 Sep 2015,$12.27B
30 Oct 2015,$14.33B
30 Nov 2015,$15.57B
31 Dec 2015,$15.8B
29 Jan 2016,$14.93B
29 Feb 2016,$13.88B
31 Mar 2016,$15.2B
29 Apr 2016,$16.2B
31 May 2016,$17.9B
30 Jun 2016,$15.98B
29 Jul 2016,$15.36B
31 Aug 2016,$13.26B
30 Sep 2016,$14.79B
31 Oct 2016,$14.86B
30 Nov 2016,$15.53B
30 Dec 2016,$16.07B
31 Jan 2017,$15.57B
28 Feb 2017,$14.72B
31 Mar 2017,$16.15B
28 Apr 2017,$16.11B
31 May 2017,$16.64B
30 Jun 2017,$17.59B
31 Jul 2017,$16.57B
31 Aug 2017,$16.29B
29 Sep 2017,$17.29B
31 Oct 2017,$17.11B
30 Nov 2017,$17.59B
29 Dec 2017,$17.14B
31 Jan 2018,$16.8B
28 Feb 2018,$15.5B
30 Mar 2018,$15.22B
30 Apr 2018,$15.61B
31 May 2018,$15.84B
29 Jun 2018,$15.77B
31 Jul 2018,$16.84B
31 Aug 2018,$17.82B
28 Sep 2018,$20.49B
31 Oct 2018,$19.98B
30 Nov 2018,$20.66B
31 Dec 2018,$17.19B
31 Jan 2019,$18.33B
28 Feb 2019,$19.51B
29 Mar 2019,$18.79B
30 Apr 2019,$17.77B
31 May 2019,$16.3B
28 Jun 2019,$17.04B
31 Jul 2019,$16.62B
30 Aug 2019,$15.63B
30 Sep 2019,$16.47B
31 Oct 2019,$17.79B
29 Nov 2019,$17.58B
31 Dec 2019,$18.3B
31 Jan 2020,$17.68B
28 Feb 2020,$15.8B
31 Mar 2020,$14.24B
30 Apr 2020,$15.88B
29 May 2020,$17.04B
30 Jun 2020,$17.77B
13 Jul 2020,$16.44B
22 Jul 2020,$16.77B
31 Jul 2020,$16.48B
14 Aug 2020,$16.41B
20 Aug 2020,$16.45B
2 Sep 2020,$15.48B
16 Sep 2020,$15.23B
30 Sep 2020,$14.82B
8 Oct 2020,$14.43B
15 Oct 2020,$13.95B
23 Oct 2020,$13.32B
30 Oct 2020,$12.96B
20 Nov 2020,$15.2B
26 Nov 2020,$15.59B
