timeline,Chugai Pharmaceutical
31 Dec 2003,$7.48B
30 Jan 2004,$8.1B
27 Feb 2004,$7.82B
31 Mar 2004,$8.04B
30 Apr 2004,$8.11B
31 May 2004,$8.21B
30 Jun 2004,$8.31B
30 Jul 2004,$8.49B
31 Aug 2004,$7.82B
30 Sep 2004,$7.71B
29 Oct 2004,$8.06B
30 Nov 2004,$7.84B
31 Dec 2004,$8.29B
31 Jan 2005,$8B
28 Feb 2005,$7.48B
31 Mar 2005,$8.06B
29 Apr 2005,$8.03B
31 May 2005,$7.86B
30 Jun 2005,$8.38B
29 Jul 2005,$9.31B
31 Aug 2005,$10.18B
30 Sep 2005,$10.59B
31 Oct 2005,$12.43B
30 Nov 2005,$13.24B
30 Dec 2005,$12.46B
31 Jan 2006,$11.72B
28 Feb 2006,$10.52B
28 Apr 2006,$12.14B
31 May 2006,$11.92B
30 Jun 2006,$11.5B
31 Jul 2006,$11.65B
31 Aug 2006,$12.81B
29 Sep 2006,$12.51B
31 Oct 2006,$11.82B
30 Nov 2006,$11.62B
29 Dec 2006,$12.09B
31 Jan 2007,$13.32B
28 Feb 2007,$14.46B
30 Mar 2007,$14.68B
30 Apr 2007,$15.07B
31 May 2007,$12.24B
29 Jun 2007,$10.91B
31 Jul 2007,$10.12B
31 Aug 2007,$10.24B
28 Sep 2007,$9.34B
31 Oct 2007,$9.8B
30 Nov 2007,$9.54B
31 Dec 2007,$7.89B
31 Jan 2008,$6.93B
29 Feb 2008,$6.02B
31 Mar 2008,$5.56B
30 Apr 2008,$7.13B
30 May 2008,$8.14B
30 Jun 2008,$8.38B
31 Jul 2008,$8.51B
29 Aug 2008,$8.91B
30 Sep 2008,$8.4B
31 Oct 2008,$6.81B
28 Nov 2008,$8.12B
31 Dec 2008,$8.5B
30 Jan 2009,$8.62B
27 Feb 2009,$8.32B
31 Mar 2009,$8.19B
30 Apr 2009,$9.01B
29 May 2009,$8.57B
30 Jun 2009,$9.08B
31 Jul 2009,$8.56B
31 Aug 2009,$9.38B
30 Sep 2009,$9.16B
30 Oct 2009,$8.82B
30 Nov 2009,$8.09B
31 Dec 2009,$8.35B
29 Jan 2010,$7.73B
26 Feb 2010,$8.23B
31 Mar 2010,$8.43B
30 Apr 2010,$8.18B
31 May 2010,$7.73B
30 Jun 2010,$7.6B
30 Jul 2010,$7.25B
31 Aug 2010,$6.88B
30 Sep 2010,$7.36B
29 Oct 2010,$6.76B
30 Nov 2010,$7.25B
31 Dec 2010,$7.15B
31 Jan 2011,$7.25B
28 Feb 2011,$7.53B
