timeline,Ono Pharmaceutical
31 Mar 2006,$5.71B
28 Apr 2006,$5.96B
31 May 2006,$5.7B
30 Jun 2006,$5.78B
31 Jul 2006,$5.82B
31 Aug 2006,$5.64B
29 Sep 2006,$5.39B
31 Oct 2006,$5.89B
30 Nov 2006,$6.1B
29 Dec 2006,$6.47B
31 Jan 2007,$6.2B
28 Feb 2007,$6.63B
30 Mar 2007,$6.77B
30 Apr 2007,$6.72B
31 May 2007,$7.07B
29 Jun 2007,$6.66B
31 Jul 2007,$6.23B
31 Aug 2007,$6.05B
28 Sep 2007,$6.25B
31 Oct 2007,$6.01B
30 Nov 2007,$5.83B
31 Dec 2007,$5.25B
31 Jan 2008,$5.28B
29 Feb 2008,$5.36B
31 Mar 2008,$4.73B
30 Apr 2008,$5.51B
30 May 2008,$6.07B
30 Jun 2008,$5.83B
31 Jul 2008,$5.96B
29 Aug 2008,$5.68B
30 Sep 2008,$4.73B
31 Oct 2008,$4.34B
28 Nov 2008,$4.07B
31 Dec 2008,$4.48B
30 Jan 2009,$4.54B
27 Feb 2009,$4.3B
31 Mar 2009,$4.43B
30 Apr 2009,$4.34B
29 May 2009,$4.45B
30 Jun 2009,$4.49B
31 Jul 2009,$4.34B
31 Aug 2009,$4.77B
30 Sep 2009,$4.84B
30 Oct 2009,$4.47B
30 Nov 2009,$4.1B
31 Dec 2009,$4.16B
29 Jan 2010,$4.17B
26 Feb 2010,$4.24B
31 Mar 2010,$4.31B
30 Apr 2010,$4.03B
31 May 2010,$3.81B
30 Jun 2010,$3.74B
30 Jul 2010,$3.72B
31 Aug 2010,$3.81B
30 Sep 2010,$3.74B
29 Oct 2010,$3.52B
30 Nov 2010,$3.85B
31 Dec 2010,$3.95B
31 Jan 2011,$4.14B
28 Feb 2011,$4.44B
31 Mar 2011,$4.23B
29 Apr 2011,$4.25B
31 May 2011,$4.4B
30 Jun 2011,$3.92B
29 Jul 2011,$3.9B
31 Aug 2011,$3.97B
30 Sep 2011,$4.16B
31 Oct 2011,$3.88B
30 Nov 2011,$3.6B
30 Dec 2011,$3.89B
31 Jan 2012,$3.88B
29 Feb 2012,$4.06B
30 Mar 2012,$4.32B
30 Apr 2012,$4.25B
31 May 2012,$4.1B
29 Jun 2012,$4.67B
31 Jul 2012,$4.65B
31 Aug 2012,$4.57B
28 Sep 2012,$4.39B
31 Oct 2012,$4.47B
30 Nov 2012,$4.22B
31 Dec 2012,$4.12B
31 Jan 2013,$4.53B
28 Feb 2013,$4.62B
29 Mar 2013,$5.29B
30 Apr 2013,$5.96B
31 May 2013,$6.63B
28 Jun 2013,$6.36B
31 Jul 2013,$5.88B
30 Aug 2013,$5.54B
30 Sep 2013,$5.64B
31 Oct 2013,$6.92B
29 Nov 2013,$7.25B
31 Dec 2013,$8.61B
31 Jan 2014,$8.35B
28 Feb 2014,$9.41B
31 Mar 2014,$8.36B
30 Apr 2014,$7.56B
30 May 2014,$7.29B
30 Jun 2014,$8.34B
31 Jul 2014,$8.23B
29 Aug 2014,$8.67B
30 Sep 2014,$9.1B
31 Oct 2014,$10.41B
28 Nov 2014,$9.5B
31 Dec 2014,$10.03B
30 Jan 2015,$11.68B
27 Feb 2015,$11.12B
31 Mar 2015,$12.69B
30 Apr 2015,$12.12B
29 May 2015,$12.71B
30 Jun 2015,$12.5B
31 Jul 2015,$13.97B
31 Aug 2015,$14.47B
30 Sep 2015,$13.21B
30 Oct 2015,$15.59B
30 Nov 2015,$18.42B
31 Dec 2015,$20.27B
29 Jan 2016,$17.92B
29 Feb 2016,$19.55B
31 Mar 2016,$22.27B
29 Apr 2016,$23.26B
31 May 2016,$23.01B
30 Jun 2016,$20.71B
29 Jul 2016,$17.3B
31 Aug 2016,$12.6B
30 Sep 2016,$13.11B
31 Oct 2016,$12.46B
30 Nov 2016,$11.84B
30 Dec 2016,$11.94B
31 Jan 2017,$10.78B
28 Feb 2017,$11.62B
31 Mar 2017,$10.77B
28 Apr 2017,$10.73B
31 May 2017,$10.76B
30 Jun 2017,$11.25B
31 Jul 2017,$10.98B
31 Aug 2017,$10.16B
29 Sep 2017,$11.56B
31 Oct 2017,$11.78B
30 Nov 2017,$11.6B
29 Dec 2017,$11.9B
31 Jan 2018,$12.21B
28 Feb 2018,$14.19B
30 Mar 2018,$14.93B
30 Apr 2018,$11.49B
31 May 2018,$12.24B
29 Jun 2018,$11.77B
31 Jul 2018,$11.94B
31 Aug 2018,$13.24B
28 Sep 2018,$14.57B
31 Oct 2018,$11.66B
30 Nov 2018,$12.44B
31 Dec 2018,$10.18B
31 Jan 2019,$10.74B
28 Feb 2019,$10.37B
29 Mar 2019,$9.83B
30 Apr 2019,$9.43B
31 May 2019,$8.7B
28 Jun 2019,$8.76B
31 Jul 2019,$8.86B
30 Aug 2019,$8.77B
30 Sep 2019,$8.61B
31 Oct 2019,$9.01B
29 Nov 2019,$10.48B
31 Dec 2019,$10.68B
31 Jan 2020,$10.84B
28 Feb 2020,$9.43B
31 Mar 2020,$10.94B
30 Apr 2020,$11.4B
2 Jun 2020,$13.24B
30 Jun 2020,$13.8B
8 Jul 2020,$13.26B
31 Jul 2020,$13.04B
20 Aug 2020,$14.51B
31 Aug 2020,$14.08B
17 Sep 2020,$14.92B
24 Sep 2020,$14.65B
30 Sep 2020,$14.54B
15 Oct 2020,$14.26B
22 Oct 2020,$14.01B
30 Oct 2020,$13.08B
5 Nov 2020,$14.27B
13 Nov 2020,$13.87B
20 Nov 2020,$13.95B
30 Nov 2020,$14.53B
4 Dec 2020,$14.35B
11 Dec 2020,$13.98B
31 Dec 2020,$13.68B
15 Jan 2021,$13.53B
22 Jan 2021,$13.44B
29 Jan 2021,$13.75B
10 Feb 2021,$13.85B
19 Feb 2021,$13.52B
26 Feb 2021,$12.6B
10 Mar 2021,$12.48B
17 Mar 2021,$12.88B
23 Mar 2021,$12.72B
9 Apr 2021,$12.33B
16 Apr 2021,$12.38B
22 Apr 2021,$12.93B
28 Apr 2021,$11.98B
30 Apr 2021,$12.11B
11 May 2021,$12.07B
17 May 2021,$10.94B
31 May 2021,$10.9B
4 Jun 2021,$10.62B
11 Jun 2021,$11B
30 Jun 2021,$10.91B
9 Jul 2021,$10.78B
16 Jul 2021,$11.01B
21 Jul 2021,$11.06B
30 Jul 2021,$11.27B
6 Aug 2021,$11.23B
13 Aug 2021,$11.35B
20 Aug 2021,$11.8B
27 Aug 2021,$11.69B
3 Sep 2021,$12.47B
10 Sep 2021,$12.19B
17 Sep 2021,$12.27B
24 Sep 2021,$12.09B
2 Oct 2021,$11.19B
9 Oct 2021,$10.81B
16 Oct 2021,$10.77B
23 Oct 2021,$10.78B
30 Oct 2021,$10.48B
6 Nov 2021,$10.96B
13 Nov 2021,$10.78B
20 Nov 2021,$10.65B
27 Nov 2021,$10.95B
4 Dec 2021,$11.38B
9 Dec 2021,$12.2B
