timeline,Terumo
29 Mar 2002,$3.01B
30 Apr 2002,$3.45B
31 May 2002,$3.37B
28 Jun 2002,$2.91B
31 Jul 2002,$2.71B
30 Aug 2002,$3.11B
30 Sep 2002,$3.27B
31 Oct 2002,$3.06B
29 Nov 2002,$2.98B
31 Jan 2003,$3.02B
28 Feb 2003,$3.33B
31 Mar 2003,$3.03B
30 Apr 2003,$3.51B
30 May 2003,$3.41B
30 Jun 2003,$3.53B
31 Jul 2003,$3.55B
29 Aug 2003,$3.99B
30 Sep 2003,$3.82B
31 Oct 2003,$3.7B
28 Nov 2003,$3.47B
31 Dec 2003,$3.6B
30 Jan 2004,$3.97B
27 Feb 2004,$4.03B
31 Mar 2004,$3.98B
30 Apr 2004,$4.12B
31 May 2004,$4.65B
30 Jun 2004,$4.81B
30 Jul 2004,$4.75B
31 Aug 2004,$4.35B
30 Sep 2004,$4.42B
29 Oct 2004,$4.65B
31 Dec 2004,$4.86B
31 Jan 2005,$5.27B
28 Feb 2005,$5.75B
31 Mar 2005,$5.65B
29 Apr 2005,$5.46B
31 May 2005,$5.01B
30 Jun 2005,$5.6B
29 Jul 2005,$5.51B
31 Aug 2005,$5.54B
30 Sep 2005,$6.38B
31 Oct 2005,$6.14B
30 Nov 2005,$5.8B
30 Dec 2005,$6.1B
31 Jan 2006,$5.86B
28 Feb 2006,$6.22B
31 Mar 2006,$6.93B
28 Apr 2006,$7.3B
31 May 2006,$7.14B
30 Jun 2006,$6.84B
31 Jul 2006,$7.41B
31 Aug 2006,$7.88B
29 Sep 2006,$8.02B
31 Oct 2006,$8.47B
30 Nov 2006,$8.41B
29 Dec 2006,$8.38B
31 Jan 2007,$8.68B
28 Feb 2007,$8.11B
30 Mar 2007,$8.04B
30 Apr 2007,$8.5B
31 May 2007,$8.34B
31 Jul 2007,$8.87B
31 Aug 2007,$9.53B
28 Sep 2007,$10.16B
31 Oct 2007,$9.83B
30 Nov 2007,$9.85B
31 Dec 2007,$10.31B
31 Jan 2008,$10.15B
29 Feb 2008,$10.02B
31 Mar 2008,$8.89B
30 Apr 2008,$8.75B
30 May 2008,$8.98B
30 Jun 2008,$9.27B
31 Jul 2008,$9.54B
29 Aug 2008,$10.45B
30 Sep 2008,$9.32B
31 Oct 2008,$6.87B
28 Nov 2008,$7.56B
31 Dec 2008,$7.13B
30 Jan 2009,$5.28B
27 Feb 2009,$5.18B
31 Mar 2009,$6.75B
30 Apr 2009,$6.92B
29 May 2009,$7.42B
30 Jun 2009,$7.13B
31 Jul 2009,$8.05B
31 Aug 2009,$8.2B
30 Sep 2009,$8.27B
30 Oct 2009,$8.07B
30 Nov 2009,$8.19B
31 Dec 2009,$9.38B
29 Jan 2010,$8.47B
26 Feb 2010,$8.07B
31 Mar 2010,$8.34B
30 Apr 2010,$8.04B
31 May 2010,$7.26B
30 Jun 2010,$7.17B
30 Jul 2010,$7.59B
31 Aug 2010,$6.96B
30 Sep 2010,$7.42B
29 Oct 2010,$6.84B
30 Nov 2010,$7.46B
31 Dec 2010,$7.65B
31 Jan 2011,$7.12B
28 Feb 2011,$7.48B
31 Mar 2011,$7.34B
29 Apr 2011,$7.53B
31 May 2011,$7.67B
30 Jun 2011,$7.26B
29 Jul 2011,$7.25B
31 Aug 2011,$6.72B
30 Sep 2011,$6.81B
31 Oct 2011,$6.75B
30 Nov 2011,$6.19B
30 Dec 2011,$5.4B
31 Jan 2012,$5.44B
29 Feb 2012,$5.83B
30 Mar 2012,$6.62B
30 Apr 2012,$6.15B
31 May 2012,$4.72B
29 Jun 2012,$5.46B
31 Jul 2012,$5.4B
31 Aug 2012,$5.8B
28 Sep 2012,$5.62B
31 Oct 2012,$5.76B
30 Nov 2012,$5.84B
31 Dec 2012,$5.7B
31 Jan 2013,$6.7B
28 Feb 2013,$6.81B
29 Mar 2013,$6.78B
30 Apr 2013,$8.1B
31 May 2013,$8.52B
28 Jun 2013,$8.26B
31 Jul 2013,$8.31B
30 Aug 2013,$7.9B
30 Sep 2013,$8.42B
31 Oct 2013,$7.93B
29 Nov 2013,$8.96B
31 Dec 2013,$8.49B
31 Jan 2014,$8.09B
28 Feb 2014,$7.26B
31 Mar 2014,$7.54B
30 Apr 2014,$6.79B
30 May 2014,$7.23B
30 Jun 2014,$7.58B
31 Jul 2014,$7.91B
29 Aug 2014,$8.77B
30 Sep 2014,$8.8B
31 Oct 2014,$9.15B
28 Nov 2014,$9.04B
31 Dec 2014,$9.23B
30 Jan 2015,$9.85B
27 Feb 2015,$11.05B
31 Mar 2015,$10.59B
30 Apr 2015,$10.32B
29 May 2015,$9.44B
30 Jun 2015,$9.81B
31 Jul 2015,$10.69B
31 Aug 2015,$11.07B
30 Sep 2015,$11.26B
30 Oct 2015,$12.06B
30 Nov 2015,$13.13B
31 Dec 2015,$12.62B
29 Feb 2016,$12.89B
31 Mar 2016,$12.91B
29 Apr 2016,$13.52B
31 May 2016,$14.91B
30 Jun 2016,$13.9B
29 Jul 2016,$14.19B
31 Aug 2016,$12.88B
30 Sep 2016,$12.37B
31 Oct 2016,$13.01B
30 Nov 2016,$12.88B
30 Dec 2016,$13.81B
31 Jan 2017,$13.34B
28 Feb 2017,$12.46B
31 Mar 2017,$11.99B
28 Apr 2017,$12.61B
31 May 2017,$13.96B
30 Jun 2017,$13.73B
31 Jul 2017,$12.96B
31 Aug 2017,$13.19B
29 Sep 2017,$13.73B
31 Oct 2017,$14.6B
30 Nov 2017,$16.7B
29 Dec 2017,$16.57B
28 Feb 2018,$17.91B
30 Mar 2018,$17.35B
30 Apr 2018,$19.33B
31 May 2018,$20.14B
29 Jun 2018,$19.8B
31 Jul 2018,$19.12B
28 Sep 2018,$20.99B
31 Oct 2018,$18.99B
30 Nov 2018,$20.85B
31 Dec 2018,$19.41B
31 Jan 2019,$19.36B
28 Feb 2019,$21.27B
29 Mar 2019,$21.08B
30 Apr 2019,$21.92B
31 May 2019,$20.23B
28 Jun 2019,$21.02B
31 Jul 2019,$20.84B
30 Aug 2019,$20.22B
30 Sep 2019,$22.79B
31 Oct 2019,$23.25B
29 Nov 2019,$25.16B
31 Dec 2019,$25.45B
31 Jan 2020,$26.1B
28 Feb 2020,$22.78B
31 Mar 2020,$24.67B
13 Apr 2020,$24.17B
30 Apr 2020,$23.69B
29 May 2020,$28.05B
30 Jun 2020,$27.07B
10 Jul 2020,$25.86B
31 Jul 2020,$26.36B
5 Aug 2020,$27.11B
19 Aug 2020,$28.49B
2 Sep 2020,$29.24B
10 Sep 2020,$28.49B
16 Sep 2020,$28.23B
23 Sep 2020,$27.49B
30 Sep 2020,$27.72B
15 Oct 2020,$26.95B
23 Oct 2020,$25.9B
30 Oct 2020,$25.45B
5 Nov 2020,$26.6B
12 Nov 2020,$28.87B
19 Nov 2020,$28.14B
30 Nov 2020,$27.5B
8 Dec 2020,$26.89B
15 Dec 2020,$26.46B
22 Dec 2020,$27.46B
31 Dec 2020,$28.6B
12 Jan 2021,$28.77B
29 Jan 2021,$26.96B
5 Feb 2021,$29.26B
12 Feb 2021,$29.93B
22 Feb 2021,$28.37B
26 Feb 2021,$26.2B
11 Mar 2021,$27.16B
19 Mar 2021,$26.26B
26 Mar 2021,$26.09B
1 Apr 2021,$26.49B
13 Apr 2021,$26.58B
28 Apr 2021,$27.4B
7 May 2021,$27.45B
13 May 2021,$25.52B
20 May 2021,$26.7B
31 May 2021,$27.97B
4 Jun 2021,$27.8B
11 Jun 2021,$29.69B
30 Jun 2021,$30.01B
16 Jul 2021,$28.23B
20 Jul 2021,$27.57B
30 Jul 2021,$29.22B
13 Aug 2021,$29.88B
20 Aug 2021,$31.24B
27 Aug 2021,$30.6B
3 Sep 2021,$34.01B
10 Sep 2021,$35.77B
17 Sep 2021,$37.6B
24 Sep 2021,$37.61B
9 Oct 2021,$33.79B
16 Oct 2021,$34.22B
23 Oct 2021,$33.51B
30 Oct 2021,$33.39B
6 Nov 2021,$32.34B
13 Nov 2021,$32.2B
20 Nov 2021,$33.15B
4 Dec 2021,$31.09B
9 Dec 2021,$32.13B
