timeline,Nippon Paint
31 Mar 2006,$1.37B
28 Apr 2006,$1.34B
31 May 2006,$1.23B
30 Jun 2006,$1.27B
31 Jul 2006,$1.23B
31 Aug 2006,$1.34B
29 Sep 2006,$1.44B
31 Oct 2006,$1.47B
30 Nov 2006,$1.45B
29 Dec 2006,$1.46B
31 Jan 2007,$1.49B
28 Feb 2007,$1.56B
30 Mar 2007,$1.55B
30 Apr 2007,$1.64B
31 May 2007,$1.51B
29 Jun 2007,$1.47B
31 Jul 2007,$1.41B
31 Aug 2007,$1.31B
28 Sep 2007,$1.39B
31 Oct 2007,$1.49B
30 Nov 2007,$1.39B
31 Dec 2007,$1.28B
31 Jan 2008,$1.19B
29 Feb 2008,$0.95B
31 Mar 2008,$0.84B
30 Apr 2008,$0.9B
30 May 2008,$1.05B
30 Jun 2008,$1.07B
31 Jul 2008,$1.05B
29 Aug 2008,$0.92B
30 Sep 2008,$1B
31 Oct 2008,$0.86B
28 Nov 2008,$0.83B
30 Jan 2009,$0.88B
27 Feb 2009,$0.83B
31 Mar 2009,$0.9B
30 Apr 2009,$0.85B
29 May 2009,$1.04B
30 Jun 2009,$1.16B
31 Jul 2009,$1.15B
31 Aug 2009,$1.23B
30 Sep 2009,$1.14B
30 Oct 2009,$1.28B
30 Nov 2009,$1.23B
31 Dec 2009,$1.31B
26 Feb 2010,$1.3B
31 Mar 2010,$1.43B
30 Apr 2010,$1.4B
31 May 2010,$1.37B
30 Jun 2010,$1.26B
30 Jul 2010,$1.19B
31 Aug 2010,$1.21B
30 Sep 2010,$1.31B
29 Oct 2010,$1.39B
30 Nov 2010,$1.45B
31 Jan 2011,$1.49B
28 Feb 2011,$1.4B
31 Mar 2011,$1.3B
29 Apr 2011,$1.32B
31 May 2011,$1.42B
30 Jun 2011,$1.5B
29 Jul 2011,$1.46B
31 Aug 2011,$1.41B
30 Sep 2011,$1.46B
31 Oct 2011,$1.41B
30 Nov 2011,$1.27B
30 Dec 2011,$1.24B
31 Jan 2012,$1.31B
29 Feb 2012,$1.48B
30 Mar 2012,$1.46B
30 Apr 2012,$1.42B
31 May 2012,$1.32B
29 Jun 2012,$1.51B
31 Aug 2012,$1.56B
28 Sep 2012,$1.53B
31 Oct 2012,$1.49B
30 Nov 2012,$1.6B
31 Dec 2012,$1.73B
31 Jan 2013,$1.92B
28 Feb 2013,$2.05B
29 Mar 2013,$2.19B
30 Apr 2013,$2.7B
31 May 2013,$2.4B
28 Jun 2013,$2.79B
31 Jul 2013,$2.91B
30 Aug 2013,$3.31B
30 Sep 2013,$3.66B
31 Oct 2013,$3.84B
29 Nov 2013,$3.87B
31 Dec 2013,$4.08B
31 Jan 2014,$3.98B
28 Feb 2014,$3.64B
31 Mar 2014,$3.6B
30 Apr 2014,$3.63B
30 May 2014,$3.73B
30 Jun 2014,$4.93B
31 Jul 2014,$5.53B
29 Aug 2014,$5.92B
30 Sep 2014,$5.67B
28 Nov 2014,$7.06B
31 Dec 2014,$9.95B
30 Jan 2015,$10.52B
27 Feb 2015,$11.73B
31 Mar 2015,$12.44B
30 Apr 2015,$11.39B
29 May 2015,$10.91B
30 Jun 2015,$9.77B
31 Jul 2015,$10.05B
31 Aug 2015,$7.06B
30 Sep 2015,$5.88B
30 Oct 2015,$7.29B
30 Nov 2015,$8.72B
31 Dec 2015,$8.36B
29 Jan 2016,$6.4B
29 Feb 2016,$6.39B
31 Mar 2016,$7.06B
29 Apr 2016,$8.35B
31 May 2016,$8.93B
30 Jun 2016,$7.07B
29 Jul 2016,$8.04B
31 Aug 2016,$10.48B
30 Sep 2016,$9.47B
31 Oct 2016,$10.12B
30 Nov 2016,$10.21B
30 Dec 2016,$9.01B
31 Jan 2017,$9.33B
28 Feb 2017,$10.25B
31 Mar 2017,$10.96B
28 Apr 2017,$12.09B
31 May 2017,$12.45B
30 Jun 2017,$12.02B
31 Jul 2017,$12.03B
31 Aug 2017,$10.6B
29 Sep 2017,$10.81B
31 Oct 2017,$11.25B
30 Nov 2017,$9.75B
29 Dec 2017,$10.08B
31 Jan 2018,$11.04B
28 Feb 2018,$11.06B
30 Mar 2018,$11.04B
30 Apr 2018,$12.67B
31 May 2018,$12.88B
29 Jun 2018,$13.49B
31 Jul 2018,$13.74B
31 Aug 2018,$12.41B
28 Sep 2018,$11.99B
31 Oct 2018,$9.99B
30 Nov 2018,$11.38B
31 Dec 2018,$10.63B
31 Jan 2019,$10.29B
28 Feb 2019,$12.1B
29 Mar 2019,$12.3B
30 Apr 2019,$11.92B
31 May 2019,$12.16B
28 Jun 2019,$11.82B
31 Jul 2019,$13.44B
30 Aug 2019,$14.22B
30 Sep 2019,$15.86B
31 Oct 2019,$16.82B
29 Nov 2019,$16.51B
31 Dec 2019,$15.95B
31 Jan 2020,$14.93B
21 Feb 2020,$14.34B
28 Feb 2020,$13.93B
26 Mar 2020,$15.58B
31 Mar 2020,$16.01B
30 Apr 2020,$17.56B
29 May 2020,$21.24B
30 Jun 2020,$22.17B
14 Jul 2020,$22.28B
31 Jul 2020,$20.3B
7 Aug 2020,$21.35B
14 Aug 2020,$23.84B
31 Aug 2020,$25.73B
2 Sep 2020,$26.33B
11 Sep 2020,$26.72B
16 Sep 2020,$28.22B
24 Sep 2020,$30.4B
30 Sep 2020,$30.57B
8 Oct 2020,$30.17B
15 Oct 2020,$29.41B
22 Oct 2020,$28B
29 Oct 2020,$27.09B
30 Oct 2020,$26.55B
16 Nov 2020,$30.4B
30 Nov 2020,$37.81B
4 Dec 2020,$35.18B
11 Dec 2020,$33.06B
18 Dec 2020,$32.86B
31 Dec 2020,$32.04B
22 Jan 2021,$27.01B
29 Jan 2021,$26.64B
5 Feb 2021,$26.47B
26 Feb 2021,$22.4B
12 Mar 2021,$24.41B
18 Mar 2021,$25.68B
24 Mar 2021,$23.53B
31 Mar 2021,$33.01B
5 Apr 2021,$33.86B
16 Apr 2021,$33.82B
22 Apr 2021,$33.72B
30 Apr 2021,$32.33B
12 May 2021,$32.23B
18 May 2021,$33.33B
31 May 2021,$32.79B
4 Jun 2021,$32.15B
11 Jun 2021,$34.28B
30 Jun 2021,$31.21B
16 Jul 2021,$28.4B
19 Jul 2021,$28.42B
30 Jul 2021,$29.99B
6 Aug 2021,$29.42B
13 Aug 2021,$29.22B
20 Aug 2021,$29.32B
27 Aug 2021,$29.09B
3 Sep 2021,$30.14B
10 Sep 2021,$29.8B
17 Sep 2021,$30.11B
24 Sep 2021,$26.86B
2 Oct 2021,$26.08B
9 Oct 2021,$25.16B
16 Oct 2021,$24.54B
23 Oct 2021,$25.97B
30 Oct 2021,$25.19B
6 Nov 2021,$24.67B
13 Nov 2021,$25.56B
20 Nov 2021,$26.71B
27 Nov 2021,$24.97B
4 Dec 2021,$24.64B
9 Dec 2021,$26.54B
