timeline,Kansai Paint
31 Mar 2006,$2.58B
28 Apr 2006,$2.69B
31 May 2006,$2.39B
30 Jun 2006,$2.18B
31 Jul 2006,$2.09B
31 Aug 2006,$2.21B
29 Sep 2006,$2.13B
31 Oct 2006,$2.34B
30 Nov 2006,$2.37B
29 Dec 2006,$2.25B
31 Jan 2007,$2.5B
28 Feb 2007,$2.46B
30 Mar 2007,$2.41B
30 Apr 2007,$2.32B
31 May 2007,$2.39B
29 Jun 2007,$2.58B
31 Jul 2007,$2.47B
31 Aug 2007,$2.14B
28 Sep 2007,$2.1B
31 Oct 2007,$2.06B
30 Nov 2007,$1.97B
31 Dec 2007,$1.93B
31 Jan 2008,$1.67B
29 Feb 2008,$1.82B
31 Mar 2008,$1.55B
30 Apr 2008,$1.7B
30 May 2008,$1.84B
30 Jun 2008,$1.76B
31 Jul 2008,$1.8B
29 Aug 2008,$1.66B
30 Sep 2008,$1.55B
31 Oct 2008,$1.28B
28 Nov 2008,$1.1B
31 Dec 2008,$1.09B
30 Jan 2009,$1.1B
27 Feb 2009,$1.22B
31 Mar 2009,$1.31B
30 Apr 2009,$1.26B
29 May 2009,$1.43B
30 Jun 2009,$1.62B
31 Jul 2009,$1.71B
31 Aug 2009,$1.78B
30 Sep 2009,$1.64B
30 Oct 2009,$1.82B
30 Nov 2009,$1.75B
31 Dec 2009,$1.82B
29 Jan 2010,$1.72B
26 Feb 2010,$1.69B
31 Mar 2010,$1.78B
30 Apr 2010,$1.67B
31 May 2010,$1.76B
30 Jun 2010,$1.79B
30 Jul 2010,$1.72B
31 Aug 2010,$1.64B
30 Sep 2010,$1.67B
29 Oct 2010,$1.76B
30 Nov 2010,$1.79B
31 Dec 2010,$1.84B
31 Jan 2011,$1.97B
28 Feb 2011,$1.82B
31 Mar 2011,$1.69B
29 Apr 2011,$1.7B
31 May 2011,$1.71B
29 Jul 2011,$1.67B
31 Aug 2011,$1.65B
30 Sep 2011,$1.75B
31 Oct 2011,$1.74B
30 Nov 2011,$1.7B
30 Dec 2011,$1.61B
31 Jan 2012,$1.68B
29 Feb 2012,$1.8B
30 Mar 2012,$1.96B
30 Apr 2012,$2.02B
31 May 2012,$1.76B
