timeline,Z Holdings
31 Oct 2003,$27.09B
28 Nov 2003,$23.93B
30 Jan 2004,$25.93B
27 Feb 2004,$33.41B
31 Mar 2004,$42.26B
30 Apr 2004,$41.59B
31 May 2004,$38.26B
30 Jun 2004,$35.27B
30 Jul 2004,$29.41B
31 Aug 2004,$34.94B
30 Sep 2004,$32.61B
29 Oct 2004,$31.87B
30 Nov 2004,$31.54B
31 Dec 2004,$32.74B
31 Jan 2005,$34.94B
31 Mar 2005,$33.43B
29 Apr 2005,$31.3B
31 May 2005,$29.17B
30 Jun 2005,$31.03B
29 Jul 2005,$32.23B
31 Aug 2005,$34.63B
30 Sep 2005,$35.43B
31 Oct 2005,$32.76B
30 Nov 2005,$38.63B
30 Dec 2005,$47.68B
31 Jan 2006,$42.35B
28 Feb 2006,$36.76B
31 Mar 2006,$38.28B
28 Apr 2006,$35.41B
31 May 2006,$31.51B
30 Jun 2006,$32.31B
31 Jul 2006,$25.86B
31 Aug 2006,$23.49B
29 Sep 2006,$23.7B
31 Oct 2006,$24.26B
30 Nov 2006,$24.31B
29 Dec 2006,$25.27B
31 Jan 2007,$24.1B
28 Feb 2007,$23.97B
30 Mar 2007,$21.68B
30 Apr 2007,$22.22B
31 May 2007,$22.24B
29 Jun 2007,$22.32B
31 Jul 2007,$19.82B
31 Aug 2007,$22.88B
28 Sep 2007,$23.2B
31 Oct 2007,$27.26B
30 Nov 2007,$28.43B
31 Dec 2007,$26.67B
31 Jan 2008,$21.76B
29 Feb 2008,$25.1B
31 Mar 2008,$27.63B
30 Apr 2008,$24.56B
30 May 2008,$24.19B
30 Jun 2008,$21.82B
31 Jul 2008,$21.95B
29 Aug 2008,$22.43B
30 Sep 2008,$17.98B
31 Oct 2008,$16.99B
28 Nov 2008,$16.54B
31 Dec 2008,$19.47B
30 Jan 2009,$15.46B
27 Feb 2009,$15.08B
31 Mar 2009,$13.26B
30 Apr 2009,$12.61B
29 May 2009,$13B
30 Jun 2009,$15.76B
31 Jul 2009,$15.91B
31 Aug 2009,$16.22B
30 Sep 2009,$15.63B
30 Oct 2009,$14.37B
30 Nov 2009,$13.24B
31 Dec 2009,$14.27B
29 Jan 2010,$17.55B
26 Feb 2010,$17.04B
31 Mar 2010,$17.42B
30 Apr 2010,$18.42B
31 May 2010,$16.37B
30 Jun 2010,$18.24B
30 Jul 2010,$17.01B
31 Aug 2010,$15.48B
30 Sep 2010,$14.76B
29 Oct 2010,$14.41B
30 Nov 2010,$15.35B
31 Dec 2010,$16.12B
31 Jan 2011,$15.84B
28 Feb 2011,$15.74B
31 Mar 2011,$15.22B
29 Apr 2011,$15.14B
31 May 2011,$13.76B
30 Jun 2011,$14.12B
29 Jul 2011,$13.98B
31 Aug 2011,$12.64B
30 Sep 2011,$12.41B
31 Oct 2011,$13B
30 Nov 2011,$12.32B
30 Dec 2011,$12.68B
31 Jan 2012,$11.91B
29 Feb 2012,$13.15B
30 Mar 2012,$13.74B
30 Apr 2012,$12.32B
31 May 2012,$11.71B
29 Jun 2012,$13.2B
31 Jul 2012,$14.63B
31 Aug 2012,$13.78B
28 Sep 2012,$15.21B
31 Oct 2012,$14.06B
30 Nov 2012,$14.16B
31 Dec 2012,$14.26B
31 Jan 2013,$18.4B
28 Feb 2013,$20.09B
29 Mar 2013,$22.16B
30 Apr 2013,$24.72B
31 May 2013,$23.48B
28 Jun 2013,$24.8B
31 Jul 2013,$26.48B
30 Aug 2013,$24.7B
30 Sep 2013,$0.28B
31 Oct 2013,$0.23B
29 Nov 2013,$25.06B
31 Dec 2013,$29.67B
31 Jan 2014,$29.62B
28 Feb 2014,$32.72B
31 Mar 2014,$25.41B
30 Apr 2014,$22.3B
30 May 2014,$23.55B
30 Jun 2014,$23.5B
31 Jul 2014,$23.76B
29 Aug 2014,$21.04B
30 Sep 2014,$20.94B
31 Oct 2014,$19.94B
28 Nov 2014,$21.75B
31 Dec 2014,$21.85B
30 Jan 2015,$20.04B
27 Feb 2015,$24.16B
31 Mar 2015,$24.9B
30 Apr 2015,$24.65B
29 May 2015,$27.92B
30 Jun 2015,$24.8B
31 Jul 2015,$27.26B
31 Aug 2015,$24.65B
30 Sep 2015,$22.79B
30 Oct 2015,$25.86B
30 Nov 2015,$25.46B
31 Dec 2015,$24.8B
29 Jan 2016,$22.85B
29 Feb 2016,$22.34B
31 Mar 2016,$24.05B
29 Apr 2016,$24.9B
31 May 2016,$25B
30 Jun 2016,$22.7B
29 Jul 2016,$22.85B
31 Aug 2016,$21.19B
30 Sep 2016,$20.18B
31 Oct 2016,$20.24B
30 Nov 2016,$20.89B
30 Dec 2016,$22.54B
31 Jan 2017,$23.8B
28 Feb 2017,$26.16B
31 Mar 2017,$25.81B
28 Apr 2017,$23.95B
31 May 2017,$25.01B
30 Jun 2017,$24.55B
31 Jul 2017,$25.11B
31 Aug 2017,$25.31B
29 Sep 2017,$26.82B
31 Oct 2017,$25.46B
30 Nov 2017,$25.76B
29 Dec 2017,$25.96B
31 Jan 2018,$26.37B
28 Feb 2018,$24.91B
30 Mar 2018,$24.81B
30 Apr 2018,$22.6B
31 May 2018,$19.89B
29 Jun 2018,$18.48B
31 Jul 2018,$21.35B
31 Aug 2018,$17.13B
28 Sep 2018,$18.34B
31 Oct 2018,$14.21B
30 Nov 2018,$13.01B
31 Dec 2018,$10.97B
31 Jan 2019,$11.73B
28 Feb 2019,$11.93B
29 Mar 2019,$10.85B
30 Apr 2019,$13.27B
31 May 2019,$14.04B
28 Jun 2019,$18.38B
31 Jul 2019,$13.48B
30 Aug 2019,$11.17B
30 Sep 2019,$12.77B
31 Oct 2019,$14.03B
29 Nov 2019,$15.84B
31 Dec 2019,$19.37B
31 Jan 2020,$18.4B
28 Feb 2020,$16.51B
6 Mar 2020,$16.55B
31 Mar 2020,$14.62B
30 Apr 2020,$17.6B
29 May 2020,$18.48B
30 Jun 2020,$22.1B
31 Jul 2020,$23.4B
20 Aug 2020,$27.48B
31 Aug 2020,$29.62B
24 Sep 2020,$27.69B
30 Sep 2020,$29.37B
15 Oct 2020,$32.19B
22 Oct 2020,$31.3B
30 Oct 2020,$30.47B
12 Nov 2020,$25.39B
