timeline,Trend Micro
31 Jan 2001,$0.71B
28 Feb 2001,$0.6B
30 Mar 2001,$0.61B
30 Apr 2001,$0.64B
31 May 2001,$0.6B
29 Jun 2001,$0.54B
31 Jul 2001,$0.31B
31 Aug 2001,$0.21B
28 Sep 2001,$0.23B
31 Oct 2001,$0.31B
30 Nov 2001,$0.37B
31 Dec 2001,$3.61B
31 Jan 2002,$3.65B
28 Feb 2002,$3.47B
29 Mar 2002,$3.94B
30 Apr 2002,$4.03B
31 May 2002,$4.29B
28 Jun 2002,$3.9B
31 Jul 2002,$3.49B
30 Aug 2002,$3.61B
30 Sep 2002,$3.73B
31 Oct 2002,$3.26B
29 Nov 2002,$3.28B
31 Dec 2002,$2.36B
31 Jan 2003,$2.31B
28 Feb 2003,$2.28B
31 Mar 2003,$1.93B
30 Apr 2003,$1.68B
30 May 2003,$2.39B
30 Jun 2003,$2.17B
31 Jul 2003,$2.16B
29 Aug 2003,$2.73B
30 Sep 2003,$2.65B
31 Oct 2003,$3.52B
28 Nov 2003,$3.22B
31 Dec 2003,$3.36B
30 Jan 2004,$3.49B
27 Feb 2004,$3.95B
31 Mar 2004,$4.2B
30 Apr 2004,$4.94B
31 May 2004,$4.71B
30 Jun 2004,$5.65B
30 Jul 2004,$5.32B
31 Aug 2004,$5.57B
30 Sep 2004,$5.54B
29 Oct 2004,$5.93B
30 Nov 2004,$6.31B
31 Dec 2004,$6.5B
31 Jan 2005,$5.46B
28 Feb 2005,$5.71B
31 Mar 2005,$5.41B
29 Apr 2005,$4.52B
31 May 2005,$3.99B
30 Jun 2005,$4.64B
29 Jul 2005,$4.73B
31 Aug 2005,$4.51B
30 Sep 2005,$4.22B
31 Oct 2005,$4.24B
30 Nov 2005,$4.76B
30 Dec 2005,$5.28B
31 Jan 2006,$4.62B
28 Feb 2006,$4.26B
31 Mar 2006,$4.88B
28 Apr 2006,$5.22B
31 May 2006,$4.54B
30 Jun 2006,$4.57B
31 Jul 2006,$4.45B
31 Aug 2006,$4B
29 Sep 2006,$4.09B
31 Oct 2006,$4.44B
30 Nov 2006,$4.14B
29 Dec 2006,$4.23B
31 Jan 2007,$4B
28 Feb 2007,$4.06B
30 Mar 2007,$3.9B
30 Apr 2007,$4.54B
31 May 2007,$4.86B
29 Jun 2007,$4.82B
31 Jul 2007,$4.43B
31 Aug 2007,$5.77B
28 Sep 2007,$6.02B
31 Oct 2007,$6.19B
30 Nov 2007,$5.42B
31 Dec 2007,$4.77B
31 Jan 2008,$4.49B
29 Feb 2008,$4.34B
31 Mar 2008,$4.66B
30 May 2008,$4.4B
30 Jun 2008,$4.17B
31 Jul 2008,$4.5B
29 Aug 2008,$4.43B
30 Sep 2008,$4.71B
31 Oct 2008,$2.8B
28 Nov 2008,$3.31B
31 Dec 2008,$3.68B
30 Jan 2009,$2.98B
27 Feb 2009,$2.68B
31 Mar 2009,$3.3B
30 Apr 2009,$3.56B
29 May 2009,$3.75B
30 Jun 2009,$3.68B
31 Jul 2009,$3.9B
31 Aug 2009,$4.36B
30 Sep 2009,$3.99B
30 Oct 2009,$3.81B
30 Nov 2009,$3.68B
31 Dec 2009,$4.16B
29 Jan 2010,$3.94B
26 Feb 2010,$3.61B
31 Mar 2010,$3.84B
30 Apr 2010,$3.77B
31 May 2010,$3.16B
30 Jun 2010,$2.84B
30 Jul 2010,$3B
31 Aug 2010,$2.68B
30 Sep 2010,$2.93B
29 Oct 2010,$2.68B
30 Nov 2010,$3.04B
31 Dec 2010,$3.16B
31 Jan 2011,$2.92B
28 Feb 2011,$2.98B
31 Mar 2011,$2.58B
29 Apr 2011,$2.68B
31 May 2011,$2.88B
30 Jun 2011,$2.89B
29 Jul 2011,$2.81B
31 Aug 2011,$2.79B
30 Sep 2011,$2.83B
31 Oct 2011,$3.3B
30 Nov 2011,$2.7B
30 Dec 2011,$2.67B
31 Jan 2012,$2.81B
29 Feb 2012,$2.75B
30 Mar 2012,$2.95B
30 Apr 2012,$2.82B
31 May 2012,$2.49B
29 Jun 2012,$2.71B
31 Jul 2012,$2.72B
31 Aug 2012,$2.52B
28 Sep 2012,$2.53B
31 Oct 2012,$2.59B
30 Nov 2012,$2.49B
31 Dec 2012,$3.01B
31 Jan 2013,$3.1B
28 Feb 2013,$3.04B
29 Mar 2013,$3.11B
30 Apr 2013,$3.17B
31 May 2013,$3.63B
28 Jun 2013,$3.66B
31 Jul 2013,$3.78B
30 Aug 2013,$3.99B
30 Sep 2013,$4.24B
31 Oct 2013,$4.22B
29 Nov 2013,$4.65B
31 Dec 2013,$4.38B
31 Jan 2014,$3.79B
28 Feb 2014,$4.06B
31 Mar 2014,$3.8B
30 Apr 2014,$3.93B
30 May 2014,$3.75B
30 Jun 2014,$3.97B
31 Jul 2014,$4.4B
29 Aug 2014,$3.99B
30 Sep 2014,$4.41B
31 Oct 2014,$4.37B
28 Nov 2014,$4.29B
31 Dec 2014,$3.97B
30 Jan 2015,$3.98B
27 Feb 2015,$4.84B
31 Mar 2015,$4.71B
30 Apr 2015,$4.83B
29 May 2015,$5.19B
30 Jun 2015,$4.98B
31 Jul 2015,$5.4B
31 Aug 2015,$5.13B
30 Sep 2015,$5.01B
30 Oct 2015,$5.63B
30 Nov 2015,$5.97B
31 Dec 2015,$5.95B
29 Jan 2016,$6.06B
29 Feb 2016,$4.96B
31 Mar 2016,$4.98B
29 Apr 2016,$5.05B
31 May 2016,$4.85B
30 Jun 2016,$4.4B
29 Jul 2016,$4.52B
31 Aug 2016,$4.43B
30 Sep 2016,$4.24B
31 Oct 2016,$4.47B
30 Nov 2016,$4.96B
30 Dec 2016,$5.02B
31 Jan 2017,$5.3B
28 Feb 2017,$5.95B
31 Mar 2017,$5.99B
28 Apr 2017,$5.93B
31 May 2017,$6.73B
30 Jun 2017,$7B
31 Jul 2017,$6.68B
31 Aug 2017,$6.16B
29 Sep 2017,$6.7B
31 Oct 2017,$7.32B
